#lambda/nm	C1
208.295	513.6
208.67	463
209.045	431.2
209.419	432.6
209.794	613.6
210.169	595.2
210.544	723.8
210.919	623
211.295	611.4
211.67	622.6
212.045	612.2
212.421	612.6
212.796	640.6
213.172	609
213.547	611.8
213.923	613.4
214.299	616.8
214.675	627
215.051	615.6
215.427	623
215.803	630
216.179	620.4
216.555	612.6
216.932	622.8
217.308	614.8
217.684	609.2
218.061	613.8
218.438	620.4
218.814	614.6
219.191	630.6
219.568	602.4
219.945	610.4
220.322	624.4
220.699	615.8
221.076	617.2
221.453	612.6
221.83	605.4
222.208	607
222.585	613
222.962	618.4
223.34	618.2
223.717	621
224.095	608.2
224.473	621
224.851	611.8
225.229	609.8
225.607	633.8
225.985	608.6
226.363	612.4
226.741	616.2
227.119	612.6
227.497	626.4
227.876	611.4
228.254	628.4
228.633	620
229.011	607.4
229.39	622.8
229.769	610
230.148	624.8
230.527	639.6
230.905	617.6
231.284	619.8
231.664	605
232.043	629.8
232.422	626.8
232.801	611.8
233.181	624
233.56	611.8
233.94	624.6
234.319	605.2
234.699	609.2
235.079	650
235.458	652.6
235.838	634.6
236.218	611.6
236.598	608.4
236.978	614.6
237.358	613.6
237.738	611.6
238.119	623
238.499	610.6
238.88	615.6
239.26	636.4
239.641	603.4
240.021	610.4
240.402	609.2
240.783	616.2
241.163	604.4
241.544	616.4
241.925	621.4
242.306	627.6
242.687	615
243.069	612
243.45	632.2
243.831	607.4
244.212	608.2
244.594	647.2
244.975	621.8
245.357	619.2
245.739	612.6
246.12	617.8
246.502	634.4
246.884	610
247.266	609.2
247.648	626.4
248.03	639.4
248.412	618.6
248.794	620.8
249.176	606.8
249.559	629
249.941	604.8
250.323	609.8
250.706	612.4
251.089	617.4
251.471	620.2
251.854	611.2
252.237	618.6
252.62	621.4
253.002	617.8
253.385	617
253.769	624.2
254.152	616.6
254.535	624
254.918	609.6
255.301	615
255.685	616.6
256.068	611.4
256.452	634
256.835	621.4
257.219	618.2
257.603	621.6
257.986	602
258.37	626
258.754	610
259.138	621.6
259.522	624
259.906	608
260.29	622.4
260.675	622.8
261.059	623.2
261.443	602.2
261.828	619.4
262.212	621.8
262.597	600.4
262.981	611.2
263.366	615.2
263.751	617
264.136	617.2
264.521	614.4
264.906	607.4
265.291	624.2
265.676	611.2
266.061	623.8
266.446	638
266.831	616
267.217	634.8
267.602	620
267.987	616.6
268.373	615.8
268.759	621.8
269.144	620.8
269.53	618.4
269.916	619
270.302	607
270.688	618.4
271.074	613.4
271.46	631.4
271.846	648.6
272.232	615.4
272.618	613
273.004	613.2
273.391	623.6
273.777	624.4
274.164	618.2
274.55	625.4
274.937	622.4
275.324	611.6
275.71	621
276.097	623.2
276.484	610.4
276.871	621.4
277.258	617.2
277.645	605.8
278.032	608.6
278.419	608.4
278.807	629
279.194	604.2
279.581	612.2
279.969	622.6
280.356	614.4
280.744	616.8
281.131	643.2
281.519	633
281.907	619.6
282.295	614.2
282.682	638.2
283.07	616.8
283.458	634
283.846	624
284.235	627.6
284.623	628.6
285.011	609
285.399	623
285.788	613.4
286.176	611.2
286.565	632.6
286.953	620.6
287.342	611
287.731	608.4
288.119	620
288.508	614.8
288.897	612.6
289.286	610.6
289.675	616.4
290.064	625.2
290.453	615
290.821	618
291.21	632.8
291.599	609.6
291.989	616.4
292.378	622.8
292.768	629.2
293.157	621.2
293.547	625.6
293.936	619.4
294.326	612.4
294.716	626
295.106	615.2
295.496	623.4
295.886	619
296.276	625.2
296.666	605
297.056	611.4
297.446	600.8
297.836	635
298.227	613.4
298.617	610.4
299.008	630.6
299.398	616.4
299.789	613.8
300.179	620
300.57	626
300.961	615
301.352	610.4
301.742	622.4
302.133	610.8
302.524	619.2
302.915	612.6
303.307	603.4
303.698	631.8
304.089	622.4
304.48	620.2
304.872	629.4
305.263	617.8
305.655	612.4
306.046	638.8
306.438	621.6
306.829	619.6
307.221	640.2
307.613	622
308.005	634.8
308.397	631.8
308.789	632.2
309.181	647.2
309.573	634.8
309.965	620.4
310.357	614.8
310.749	624
311.142	605.6
311.534	612.6
311.926	627.8
312.319	611.6
312.711	603.6
313.104	622.6
313.497	605
313.889	648.6
314.282	635
314.675	638.6
315.068	611.4
315.461	621
315.854	655.6
316.247	614
316.64	618.8
317.033	615
317.405	623.8
317.798	614.4
318.192	616.6
318.585	609.8
318.979	621
319.372	610
319.766	619.8
320.16	633
320.553	628
320.947	633.6
321.341	609.8
321.735	613
322.129	598
322.523	642.6
322.917	616.8
323.311	630.2
323.705	621.4
324.099	623.8
324.494	625.2
324.888	627.8
325.282	622
325.677	623.6
326.071	627.8
326.466	630.2
326.861	621.8
327.255	639.6
327.65	635
328.045	634.4
328.44	627.8
328.835	618.2
329.23	615.8
329.625	649.2
330.02	614
330.415	643
330.81	627
331.206	622.2
331.601	613.4
331.996	626.8
332.37	642.6
332.766	606.8
333.161	641.2
333.557	612.2
333.953	612.4
334.348	928.4
334.744	615.2
335.14	614.8
335.536	616
335.932	633.4
336.328	612.4
336.724	628.2
337.12	620.2
337.516	613.2
337.913	614.8
338.309	629.2
338.705	619.8
339.102	626
339.498	612.4
339.895	631
340.291	610.8
340.688	629.2
341.085	606.2
341.481	609.8
341.878	615.6
342.275	632.2
342.672	604.6
343.069	606.4
343.466	601.2
343.842	622.8
344.239	610
344.636	615.2
345.033	606
345.431	603.4
345.828	615
346.225	613.2
346.623	654.8
347.02	619.4
347.418	626.4
347.816	632.2
348.213	609.8
348.611	621.6
349.009	606.4
349.407	633.6
349.805	603.2
350.203	607.6
350.601	618
350.999	611.8
351.397	677.2
351.795	616.8
352.193	626.6
352.57	622.2
352.969	624.8
353.367	601.2
353.766	607.8
354.164	617.2
354.563	619
354.961	611
355.36	615.2
355.759	606.8
356.158	607.6
356.557	606.6
356.956	601.6
357.355	601.2
357.754	613.6
358.153	612.6
358.552	639.2
358.951	604.6
359.35	627
359.75	612.6
360.149	606.4
360.527	596.6
360.926	610.2
361.326	618.4
361.726	611.8
362.125	601.2
362.525	625.6
362.925	612.2
363.325	609.8
363.724	616
364.124	613.2
364.524	599.4
364.924	605.8
365.324	620.6
365.725	600.2
366.125	612.2
366.525	613.2
366.904	610.2
367.304	601.2
367.705	632.2
368.105	628.2
368.506	611
368.906	609.2
369.307	614.8
369.708	620.2
370.108	604.4
370.509	619
370.91	614.8
371.311	621.2
371.712	614.8
372.113	610
372.514	596
372.894	607.8
373.295	607.2
373.696	618.2
374.097	616.8
374.499	635.8
374.9	616
375.301	598.6
375.703	612.6
376.105	609
376.506	614.2
376.908	617
377.309	609.8
377.711	610.6
378.113	613.6
378.493	605.6
378.895	606.8
379.297	618.4
379.699	593.6
380.102	610.6
380.504	611
380.906	611.6
381.308	635
381.71	607
382.113	616.8
382.515	611.2
382.918	612.6
383.299	603.6
383.701	624.6
384.104	617
384.507	598.6
384.909	601.4
385.312	593.4
385.715	597
386.118	603.2
386.521	603.8
386.924	616.6
387.327	613.2
387.709	599.2
388.112	593.4
388.515	607.4
388.918	608
389.322	608.2
389.725	603.8
390.129	641.4
390.532	608.2
390.936	609.6
391.339	603.8
391.743	607.2
392.125	603.4
392.529	616.2
392.933	627.4
393.337	597
393.74	601.2
394.144	609.2
394.548	603
394.953	606
395.357	609.6
395.761	614.8
396.144	615.2
396.548	608
396.952	609.6
397.357	616.6
397.761	609.6
398.166	606.4
398.57	602.4
398.975	598
399.379	605.4
399.763	657.2
400.168	614.8
400.572	603.8
400.977	612
401.382	622.6
401.787	611.8
402.192	627
402.597	624.2
403.002	598.6
403.386	629
403.791	629.4
404.197	610
404.602	620.2
405.007	605.2
405.413	600
405.818	617
406.224	600
406.608	605
407.014	602
407.42	627.8
407.825	607.6
408.231	610.6
408.637	612.2
409.043	619
409.449	598.4
409.834	592.8
410.24	604.4
410.646	611
411.052	617.6
411.458	608.4
411.865	616.2
412.271	619.8
412.677	612.4
413.062	612.6
413.469	603.8
413.875	637
414.282	621.8
414.689	617.4
415.095	619.4
415.502	602.8
415.888	614.2
416.294	602
416.701	648
417.108	610.4
417.515	621.6
417.923	608.8
418.33	627.2
418.715	625.4
419.123	602.6
419.53	602.8
419.937	608.2
420.345	627.4
420.752	614.8
421.16	630.8
421.546	609.2
421.953	622.8
422.361	603.2
422.769	612.6
423.177	606.4
423.585	632.4
423.992	633.8
424.379	626.2
424.787	621.4
425.195	630
425.603	613.2
426.011	629.6
426.419	621.2
426.806	610.8
427.214	614
427.623	619.2
428.031	627.4
428.44	623.6
428.848	623.6
429.235	625
429.644	619.8
430.053	612
430.461	634.2
430.87	636.8
431.279	632.2
431.666	608.6
432.075	613
432.484	627.6
432.893	603.2
433.302	626.4
433.711	654.2
434.099	612.8
434.508	613.2
434.918	607
435.327	622
435.737	620.4
436.125	621.8
436.534	629.8
436.944	626.2
437.353	643
437.763	653.4
438.173	621
438.561	646.8
438.971	626.2
439.381	640
439.791	647.2
440.201	633.4
440.589	655.6
440.999	660
441.409	652.2
441.819	646.8
442.23	669.2
442.619	673.4
443.029	670.8
443.439	682.2
443.85	690.6
444.26	694.6
444.649	691.4
445.06	692
445.471	689.2
445.881	693.2
446.292	714.4
446.682	725
447.092	692.2
447.503	753.6
447.914	710.4
448.325	712.4
448.715	710.4
449.126	693.2
449.537	716.2
449.948	714.8
450.338	720.8
450.75	732.4
451.161	729.2
451.572	741.4
451.984	722.6
452.374	712.4
452.786	730.4
453.197	736.4
453.609	753.2
453.999	719.2
454.411	722.8
454.823	738
455.235	740
455.647	744.6
456.037	744.4
456.449	721.6
456.862	745.6
457.274	747.6
457.665	741
458.077	753.4
458.489	775
458.902	741
459.293	757.8
459.705	750.6
460.118	748
460.53	761.6
460.921	759.2
461.334	755.6
461.747	751.6
462.16	772.4
462.551	776.4
462.964	765
463.377	751.4
463.79	759.8
464.182	782.2
464.595	756.8
465.008	782.6
465.421	777.6
465.813	773.4
466.226	778.8
466.64	774.8
467.053	816.2
467.445	779.8
467.859	791.2
468.272	784.8
468.686	791.4
469.078	769.8
469.492	768
469.906	787
470.298	784
470.712	777
471.126	834.6
471.54	771.2
471.933	774.2
472.347	778.2
472.761	771.2
473.175	776.6
473.568	784.8
473.982	779.4
474.397	780
474.79	777.8
475.204	791.6
475.619	781.8
476.033	781
476.426	787
476.841	777.8
477.256	810
477.649	775
478.064	768.8
478.479	772.2
478.872	779.4
479.287	764.4
479.702	769.2
480.118	778.6
480.511	770.8
480.927	772.8
481.342	782.8
481.736	777.2
482.151	772
482.566	782
482.96	772
483.376	790.2
483.792	779
484.186	781.4
484.602	777.4
485.017	784.4
485.412	775.4
485.827	777.4
486.243	763.6
486.638	796.6
487.054	796
487.47	794.6
487.865	769.2
488.281	768.4
488.697	760.8
489.092	778.6
489.508	762.4
489.925	767.4
490.32	752.6
490.736	771.2
491.153	766.6
491.548	763
491.964	767.6
492.381	745.4
492.776	766.6
493.193	759.8
493.61	780.2
494.006	761.6
494.422	759.2
494.84	751.8
495.235	758
495.652	750.2
496.069	759.4
496.465	741
496.883	758.6
497.3	773.8
497.696	749.4
498.113	755.8
498.509	732.4
498.927	736.8
499.344	734
499.741	735.2
500.158	753.4
500.576	752.2
500.973	740.2
501.39	737
501.787	719
502.205	740.8
502.623	734.6
503.02	724.6
503.438	736.4
503.856	734.2
504.253	735.8
504.671	738.8
505.068	719.2
505.486	736.4
505.905	740.8
506.302	720.4
506.72	730.8
507.118	709.2
507.536	715.8
507.955	716.6
508.352	720.6
508.771	724.8
509.169	722
509.587	714.4
510.006	710
510.404	713.2
510.823	715.4
511.221	711.8
511.64	707.6
512.038	726.8
512.457	708.4
512.877	724.4
513.275	709.4
513.694	709.4
514.092	702.2
514.512	705.8
514.91	710.8
515.33	700.2
515.749	707.8
516.148	707
516.568	703.8
516.966	687.4
517.386	692.8
517.785	689.6
518.205	692.4
518.603	693.8
519.024	675.2
519.444	696.4
519.843	695
520.263	697.4
520.662	691
521.082	694.6
521.481	684.2
521.902	689.4
522.301	691
522.722	684.8
523.121	685.6
523.542	687.2
523.963	685.8
524.362	687
524.783	685
525.183	678.2
525.604	682.8
526.003	675.2
526.425	677.2
526.824	681.4
527.246	685
527.646	683.6
528.067	677.6
528.467	671.8
528.888	679
529.289	656.2
529.71	674.2
530.11	667
530.532	678.8
530.932	655.4
531.354	653.2
531.755	691.4
532.176	675.6
532.577	665.6
532.999	667.6
533.4	668.2
533.822	671.4
534.223	674.6
534.645	650.6
535.046	646
535.468	660.6
535.869	674.2
536.292	650.4
536.693	686.2
537.115	660.8
537.516	655.6
537.939	650.6
538.34	673.2
538.742	666.8
539.165	661.6
539.566	668.6
539.989	640.2
540.391	660.6
540.814	653.4
541.216	648.2
541.639	654
542.041	659.6
542.464	654.2
542.866	643.2
543.268	648.8
543.691	647.8
544.093	662.2
544.517	674.2
544.919	640.2
545.343	671.6
545.745	625.6
546.147	650.2
546.571	651.6
546.974	642.6
547.398	643.8
547.8	662
548.224	645.4
548.627	643.6
549.03	648.4
549.454	642.8
549.857	626.6
550.281	646.8
550.684	641.6
551.087	649.8
551.512	654
551.915	653.4
552.34	642.6
552.743	642.2
553.146	640.6
553.571	638.4
553.975	657
554.399	627.8
554.803	685.2
555.207	631.6
555.632	635.8
556.036	645.2
556.461	627.4
556.865	636
557.268	632
557.694	629.6
558.098	645
558.502	637.8
558.927	633.4
559.332	640.6
559.736	618.8
560.162	639
560.566	631.2
560.992	630.8
561.396	627.8
561.801	624
562.227	628.2
562.631	628.4
563.036	639.2
563.462	636.6
563.867	641.8
564.272	620.6
564.698	625
565.103	616.6
565.508	646.4
565.935	630.2
566.34	631.4
566.745	646.8
567.172	627.4
567.577	642
567.982	631
568.409	622.4
568.815	621.8
569.22	624.2
569.626	634.4
570.053	617.2
570.459	628.6
570.865	625.4
571.292	630.4
571.698	615.6
572.104	613.6
572.531	607.4
572.937	631.8
573.343	618
573.75	619.2
574.177	629.8
574.583	624.4
574.99	612.8
575.396	622.6
575.824	622.2
576.231	625.2
576.637	615
577.065	643.6
577.472	617.2
577.879	617.4
578.286	624.4
578.714	613.6
579.121	616.4
579.528	622.2
579.935	621.2
580.364	613.6
580.771	603.4
581.178	607.4
581.585	625.2
582.014	617.8
582.421	610
582.829	606.4
583.236	620.6
583.644	605.2
584.073	607
584.481	619.6
584.889	612.2
585.296	617.4
585.726	612.4
586.134	602.6
586.542	606.6
586.95	626.8
587.358	603.4
587.787	612.6
588.196	609.8
588.604	612
589.012	606.8
589.421	598.8
589.851	606.8
590.259	606.2
590.668	607.4
591.076	645.2
591.485	596
591.894	610.4
592.324	627.4
592.733	619
593.142	589.4
593.551	603.4
593.96	638
594.369	600
594.8	592.4
595.209	601.6
595.618	590.6
596.028	597
596.437	607.8
596.847	603.6
597.256	609.8
597.687	598.2
598.097	608
598.507	599.6
598.917	605.2
599.327	615.6
599.736	603.2
600.146	615.6
600.556	596.4
600.988	624.8
601.398	594.4
601.808	612
602.219	585.2
602.629	601
603.039	597.6
603.45	622.6
603.86	596.8
604.271	614.4
604.703	592
605.114	588.6
605.525	600.4
605.935	606.4
606.346	622.8
606.757	607.2
607.168	600.4
607.579	589.8
607.99	613
608.402	604.8
608.813	596.4
609.224	597.8
