#lambda/nm	C1
208.295	515.4
208.67	464.4
209.045	427.2
209.419	431
209.794	615.8
210.169	599
210.544	726.8
210.919	628.6
211.295	609.6
211.67	618.2
212.045	604.8
212.421	617.2
212.796	647.8
213.172	610.6
213.547	609.8
213.923	611
214.299	614.2
214.675	623
215.051	618.6
215.427	615
215.803	631.4
216.179	623.2
216.555	606
216.932	621
217.308	616.2
217.684	608.8
218.061	621.4
218.438	618.2
218.814	605.8
219.191	612.8
219.568	596.8
219.945	609.8
220.322	620.4
220.699	618.8
221.076	621
221.453	622.6
221.83	607.2
222.208	615
222.585	609.2
222.962	617.6
223.34	626.2
223.717	610.6
224.095	613.8
224.473	617.8
224.851	608.8
225.229	603.4
225.607	632.2
225.985	600.2
226.363	625.2
226.741	616.8
227.119	610.8
227.497	626.2
227.876	602.6
228.254	618.6
228.633	619
229.011	615.8
229.39	617
229.769	624
230.148	620
230.527	636.6
230.905	616.8
231.284	614.4
231.664	609.8
232.043	627.6
232.422	622.6
232.801	614.4
233.181	615.8
233.56	611.6
233.94	613.8
234.319	604.6
234.699	610.2
235.079	651.4
235.458	646.4
235.838	636
236.218	601.6
236.598	604.6
236.978	611.4
237.358	601.8
237.738	607.8
238.119	626.8
238.499	612.8
238.88	618.6
239.26	630.6
239.641	600.2
240.021	607.8
240.402	611.6
240.783	609.8
241.163	607.8
241.544	616.4
241.925	611.6
242.306	629.8
242.687	621.4
243.069	615.2
243.45	621.2
243.831	605.4
244.212	610.6
244.594	655.6
244.975	634.4
245.357	618
245.739	612.6
246.12	624.2
246.502	629
246.884	615.6
247.266	616.6
247.648	618.8
248.03	640
248.412	623.8
248.794	626
249.176	622
249.559	628
249.941	614.2
250.323	604.4
250.706	606.8
251.089	610.4
251.471	617.8
251.854	620.4
252.237	613.6
252.62	621
253.002	622.8
253.385	614.4
253.769	633.4
254.152	619.6
254.535	627.2
254.918	603.6
255.301	615.8
255.685	612
256.068	608.4
256.452	634.8
256.835	625
257.219	620.4
257.603	629.8
257.986	610.2
258.37	624.4
258.754	611.2
259.138	617.2
259.522	626.8
259.906	617.6
260.29	621.6
260.675	617
261.059	618.6
261.443	614
261.828	624
262.212	622
262.597	608
262.981	610.4
263.366	631.4
263.751	617.8
264.136	612
264.521	606.8
264.906	604.8
265.291	630.4
265.676	617.8
266.061	625
266.446	634.8
266.831	623.8
267.217	633
267.602	613.6
267.987	626.8
268.373	617.4
268.759	634.2
269.144	619.8
269.53	616
269.916	617.8
270.302	611.4
270.688	631.2
271.074	623.8
271.46	632
271.846	656
272.232	619
272.618	610.2
273.004	615.6
273.391	630.4
273.777	631.8
274.164	617.4
274.55	635.8
274.937	620.6
275.324	609.4
275.71	619.6
276.097	626
276.484	604.6
276.871	616
277.258	623
277.645	604.4
278.032	613.2
278.419	619.2
278.807	622.6
279.194	605.8
279.581	605.8
279.969	624.8
280.356	621.6
280.744	613.8
281.131	637
281.519	627.2
281.907	614
282.295	605.2
282.682	631.8
283.07	617.8
283.458	628.4
283.846	630.4
284.235	618.8
284.623	628.6
285.011	608
285.399	617.6
285.788	615.4
286.176	604
286.565	615.4
286.953	616.4
287.342	615
287.731	612.2
288.119	614.6
288.508	614.2
288.897	623.2
289.286	603.8
289.675	621.2
290.064	630.8
290.453	614
290.821	614.6
291.21	632.4
291.599	610.6
291.989	615.2
292.378	620.6
292.768	634.6
293.157	621.2
293.547	615
293.936	612
294.326	604.6
294.716	613.2
295.106	606.2
295.496	622.8
295.886	622
296.276	615
296.666	600.4
297.056	604
297.446	604
297.836	628
298.227	604.2
298.617	614
299.008	625.4
299.398	611.8
299.789	606.8
300.179	621
300.57	630.4
300.961	617.6
301.352	621.6
301.742	628.2
302.133	619.2
302.524	616.6
302.915	612.8
303.307	600.4
303.698	637.8
304.089	614.8
304.48	615.4
304.872	623.8
305.263	622.2
305.655	609.4
306.046	623.2
306.438	623
306.829	618.6
307.221	632
307.613	619.2
308.005	632
308.397	630.2
308.789	632.6
309.181	648.2
309.573	633.4
309.965	628
310.357	613.8
310.749	628.2
311.142	613.2
311.534	613
311.926	625.8
312.319	617.2
312.711	611.2
313.104	627.4
313.497	619.6
313.889	652.2
314.282	635
314.675	636.6
315.068	620
315.461	626.8
315.854	647.6
316.247	626
316.64	615.4
317.033	613.2
317.405	629.2
317.798	618.8
318.192	619.6
318.585	612.8
318.979	621.6
319.372	607.2
319.766	609.2
320.16	626.8
320.553	628.8
320.947	633.8
321.341	620.2
321.735	625
322.129	608.4
322.523	640
322.917	604.6
323.311	633
323.705	624
324.099	618.6
324.494	635.2
324.888	626.6
325.282	619
325.677	634.4
326.071	629.6
326.466	621.8
326.861	625
327.255	633.8
327.65	631.2
328.045	626.8
328.44	619.6
328.835	621.8
329.23	606
329.625	643.4
330.02	609.2
330.415	626.4
330.81	617.6
331.206	615.2
331.601	602.8
331.996	621
332.37	639.4
332.766	609.2
333.161	638.8
333.557	617.2
333.953	618.6
334.348	892.2
334.744	614.6
335.14	605
335.536	618
335.932	630.2
336.328	617
336.724	624.2
337.12	617.2
337.516	615
337.913	621.4
338.309	628.2
338.705	619.6
339.102	622.8
339.498	613
339.895	622.4
340.291	612
340.688	629.2
341.085	615.4
341.481	621.6
341.878	613.8
342.275	637.2
342.672	613.6
343.069	613
343.466	602.6
343.842	625.8
344.239	611.2
344.636	618.6
345.033	607.6
345.431	613.4
345.828	618.4
346.225	606
346.623	648.4
347.02	612
347.418	624.8
347.816	635.2
348.213	603
348.611	622.4
349.009	599.2
349.407	633.6
349.805	610.8
350.203	603
350.601	637.6
350.999	620.6
351.397	670
351.795	625.4
352.193	622
352.57	627.6
352.969	627
353.367	608.6
353.766	601.4
354.164	611.2
354.563	627.8
354.961	613.4
355.36	614
355.759	603.8
356.158	607.4
356.557	608
356.956	599.8
357.355	600.8
357.754	621.6
358.153	612.8
358.552	638.6
358.951	617.4
359.35	626.8
359.75	613
360.149	604.2
360.527	607.2
360.926	606.8
361.326	616.4
361.726	619.6
362.125	613.2
362.525	615.6
362.925	606.4
363.325	621.2
363.724	613.8
364.124	603.4
364.524	606.8
364.924	611.2
365.324	629.6
365.725	599.2
366.125	612.8
366.525	611.4
366.904	599.2
367.304	605.4
367.705	633.4
368.105	627.4
368.506	608.4
368.906	608.6
369.307	613
369.708	619.8
370.108	596
370.509	618.6
370.91	611.6
371.311	611.2
371.712	613
372.113	607.6
372.514	597.4
372.894	607.2
373.295	607.6
373.696	618
374.097	614.8
374.499	637.6
374.9	602.4
375.301	603.4
375.703	617.6
376.105	608.8
376.506	614.2
376.908	615.8
377.309	611.8
377.711	621.2
378.113	609.4
378.493	614.4
378.895	599
379.297	613.2
379.699	600.2
380.102	613
380.504	620.6
380.906	613
381.308	631
381.71	601.6
382.113	616.2
382.515	603.2
382.918	618.2
383.299	604.2
383.701	619.4
384.104	605.4
384.507	594.4
384.909	611.2
385.312	594.2
385.715	604.8
386.118	604.6
386.521	598.2
386.924	611.6
387.327	598.2
387.709	597.4
388.112	598.8
388.515	607.6
388.918	615
389.322	611.6
389.725	607.6
390.129	627.6
390.532	616
390.936	604
391.339	597.6
391.743	611
392.125	600.4
392.529	611.8
392.933	617.6
393.337	597.8
393.74	608.8
394.144	599.8
394.548	600.6
394.953	602.8
395.357	616.4
395.761	600.8
396.144	607.6
396.548	599.8
396.952	602.6
397.357	606.6
397.761	600.4
398.166	596.4
398.57	606.6
398.975	591.6
399.379	606.2
399.763	655.6
400.168	605.8
400.572	602.2
400.977	610
401.382	629
401.787	612.8
402.192	618.6
402.597	624.4
403.002	592.6
403.386	616
403.791	629
404.197	607.2
404.602	620.6
405.007	618.6
405.413	606.6
405.818	611.4
406.224	600.4
406.608	605
407.014	600.8
407.42	630
407.825	601.4
408.231	618.6
408.637	614.4
409.043	622.6
409.449	610.4
409.834	598
410.24	610.4
410.646	615
411.052	618.2
411.458	614.6
411.865	607.2
412.271	614.2
412.677	609.4
413.062	604.2
413.469	601.2
413.875	628.2
414.282	618.6
414.689	608.2
415.095	618
415.502	590.4
415.888	606
416.294	588.8
416.701	637.6
417.108	600
417.515	616.4
417.923	600
418.33	627.4
418.715	620
419.123	609.6
419.53	608.2
419.937	609.2
420.345	626.8
420.752	605.2
421.16	629.2
421.546	615
421.953	616.6
422.361	601.8
422.769	604.6
423.177	602.2
423.585	631.6
423.992	632.6
424.379	629
424.787	618.2
425.195	632
425.603	606.8
426.011	623.8
426.419	619.6
426.806	611.6
427.214	616
427.623	621.6
428.031	626.8
428.44	613.4
428.848	626
429.235	628.2
429.644	611.6
430.053	604.8
430.461	628.4
430.87	631.4
431.279	622.4
431.666	601.4
432.075	609.6
432.484	611.2
432.893	614.2
433.302	628
433.711	663
434.099	616.4
434.508	604.2
434.918	606.6
435.327	612.2
435.737	612.2
436.125	611.6
436.534	617.4
436.944	611
437.353	609.8
437.763	632.4
438.173	598.6
438.561	622.8
438.971	596.4
439.381	604.8
439.791	613
440.201	590.8
440.589	610
440.999	622.6
441.409	616.4
441.819	594.2
442.23	621.4
442.619	615.2
443.029	601.2
443.439	611.6
443.85	616.4
444.26	620.4
444.649	619.2
445.06	611.6
445.471	606.2
445.881	617.6
446.292	628.4
446.682	633
447.092	602.6
447.503	657.2
447.914	614.4
448.325	605.8
448.715	608.6
449.126	599.8
449.537	605.2
449.948	607.2
450.338	608
450.75	615
451.161	609.6
451.572	615.8
451.984	608.6
452.374	590.8
452.786	611.4
453.197	612
