#lambda/nm	C1
208.295	566.4
208.67	504.2
209.045	466.8
209.419	464.2
209.794	598.8
210.169	582.6
210.544	676.6
210.919	593.4
211.295	572.8
211.67	588.8
212.045	582.2
212.421	581.8
212.796	612.8
213.172	581
213.547	577
213.923	591.2
214.299	587.4
214.675	584.6
215.051	589.4
215.427	597.4
215.803	591
216.179	593.2
216.555	580.2
216.932	593
217.308	582.2
217.684	587
218.061	596.8
218.438	586.8
218.814	582
219.191	594
219.568	582.4
219.945	583
220.322	593.4
220.699	589.6
221.076	590.8
221.453	589.6
221.83	586.8
222.208	579.6
222.585	584.4
222.962	584.6
223.34	590.6
223.717	592
224.095	583.8
224.473	584
224.851	576.2
225.229	578.6
225.607	591
225.985	577.4
226.363	586
226.741	580.4
227.119	586.6
227.497	594
227.876	575.8
228.254	586.2
228.633	586.8
229.011	588.8
229.39	586.6
229.769	580.8
230.148	587
230.527	601.8
230.905	583.4
231.284	586.6
231.664	577.8
232.043	595
232.422	597.8
232.801	588
233.181	589.4
233.56	586
233.94	582.6
234.319	572.6
234.699	584.2
235.079	618.2
235.458	617
235.838	601.4
236.218	581.6
236.598	569.8
236.978	576.6
237.358	582
237.738	575.2
238.119	591.6
238.499	575.6
238.88	584.8
239.26	601.2
239.641	575.8
240.021	581.4
240.402	587
240.783	580
241.163	583.2
241.544	581.4
241.925	583.8
242.306	593
242.687	586.8
243.069	587.6
243.45	589.6
243.831	583.6
244.212	580.2
244.594	612.6
244.975	596
245.357	588.2
245.739	576.6
246.12	591.6
246.502	591.4
246.884	585.6
247.266	582.2
247.648	582
248.03	603.2
248.412	589.2
248.794	582.4
249.176	585
249.559	587
249.941	580
250.323	579.2
250.706	579.2
251.089	586.4
251.471	583.4
251.854	590.4
252.237	581.2
252.62	593
253.002	585.2
253.385	587.2
253.769	595.6
254.152	583.8
254.535	592
254.918	585.6
255.301	585.2
255.685	579
256.068	572
256.452	602.2
256.835	595.6
257.219	593
257.603	589.8
257.986	582.2
258.37	585.8
258.754	571.8
259.138	587.2
259.522	590.2
259.906	577.4
260.29	584.2
260.675	582.8
261.059	579
261.443	569.8
261.828	591
262.212	585.8
262.597	576.8
262.981	580.2
263.366	588.6
263.751	585.6
264.136	579.4
264.521	578.6
264.906	573.4
265.291	585.6
265.676	584.6
266.061	591.4
266.446	592.6
266.831	585.4
267.217	600
267.602	586
267.987	587.6
268.373	589
268.759	598.8
269.144	599.2
269.53	587.8
269.916	584.2
270.302	582.2
270.688	589.2
271.074	589.2
271.46	592.2
271.846	604.4
272.232	580.6
272.618	584.4
273.004	585
273.391	589.4
273.777	600
274.164	594
274.55	588
274.937	570.6
275.324	584.2
275.71	583.4
276.097	593.8
276.484	572.6
276.871	588.2
277.258	582.2
277.645	563.2
278.032	579.4
278.419	576.2
278.807	584.8
279.194	579.4
279.581	579
279.969	581.8
280.356	585.2
280.744	583.2
281.131	604
281.519	585.8
281.907	584.2
282.295	580
282.682	593
283.07	582.6
283.458	584.6
283.846	591.6
284.235	597.2
284.623	585.2
285.011	577.4
285.399	579.8
285.788	584.6
286.176	579
286.565	588.4
286.953	581
287.342	575.4
287.731	570.6
288.119	578.4
288.508	577
288.897	579.6
289.286	570
289.675	580.4
290.064	584.4
290.453	578.6
290.821	588.8
291.21	587.8
291.599	573
291.989	578.8
292.378	583.6
292.768	596
293.157	583.4
293.547	587.6
293.936	582.6
294.326	581
294.716	571.2
295.106	588.2
295.496	583.4
295.886	589.8
296.276	577.8
296.666	581.6
297.056	578.4
297.446	571
297.836	594.8
298.227	582.8
298.617	587.4
299.008	594.2
299.398	580.8
299.789	581.2
300.179	584.8
300.57	590
300.961	578.2
301.352	580.2
301.742	582.6
302.133	583.4
302.524	580.2
302.915	585
303.307	578
303.698	591
304.089	583.6
304.48	578.6
304.872	584.4
305.263	580.6
305.655	583
306.046	589.4
306.438	588
306.829	578
307.221	595.4
307.613	589.8
308.005	592.8
308.397	597
308.789	600.2
309.181	602.6
309.573	596.2
309.965	586.6
310.357	577
310.749	590.4
311.142	575.2
311.534	576.4
311.926	585.2
312.319	582.6
312.711	578.2
313.104	592.2
313.497	580.4
313.889	620.2
314.282	594.2
314.675	602.6
315.068	586.8
315.461	588.2
315.854	605.8
316.247	582.8
316.64	584.8
317.033	589.4
317.405	591.8
317.798	580.6
318.192	587.4
318.585	575.4
318.979	581
319.372	576
319.766	581.6
320.16	595.8
320.553	596.6
320.947	608.4
321.341	584.4
321.735	582.8
322.129	578
322.523	603.8
322.917	574.8
323.311	586.2
323.705	586.4
324.099	590.2
324.494	596.2
324.888	593.2
325.282	587.2
325.677	596.6
326.071	596.6
326.466	601.6
326.861	591.4
327.255	600.2
327.65	598
328.045	593.8
328.44	590.2
328.835	587.2
329.23	573.4
329.625	607
330.02	586.6
330.415	606.2
330.81	587.6
331.206	588.2
331.601	579.4
331.996	591.4
332.37	599.4
332.766	576.2
333.161	605.4
333.557	584.2
333.953	587.8
334.348	874
334.744	581.2
335.14	576.2
335.536	577.4
335.932	599.2
336.328	577.8
336.724	584
337.12	587.2
337.516	588.6
337.913	581.2
338.309	595.4
338.705	581.4
339.102	587.2
339.498	584.8
339.895	592.8
340.291	580
340.688	584.8
341.085	578.6
341.481	582.8
341.878	586.8
342.275	596.2
342.672	574.8
343.069	579.4
343.466	569
343.842	594.2
344.239	576.8
344.636	583.6
345.033	575
345.431	578.6
345.828	585.8
346.225	579.6
346.623	613.4
347.02	581.4
347.418	583
347.816	590.8
348.213	581.8
348.611	584.2
349.009	583.8
349.407	589.4
349.805	567.6
350.203	577.8
350.601	585.6
350.999	581.8
351.397	642.4
351.795	578
352.193	588.2
352.57	590.6
352.969	592.8
353.367	580
353.766	575.4
354.164	584.8
354.563	593.4
354.961	581.6
355.36	575
355.759	571.2
356.158	585
356.557	574.8
356.956	573.8
357.355	575
357.754	583.2
358.153	589.2
358.552	596.2
358.951	576
359.35	588.4
359.75	579.4
360.149	583.8
360.527	570
360.926	570.4
361.326	582.4
361.726	586.4
362.125	583.4
362.525	588
362.925	579.8
363.325	579.8
363.724	581.8
364.124	575.4
364.524	564.8
364.924	575.4
365.324	590
365.725	575
366.125	578.2
366.525	578.2
366.904	581.4
367.304	566.8
367.705	597.6
368.105	595.6
368.506	576.8
368.906	571.8
369.307	586.4
369.708	576
370.108	568.8
370.509	580.6
370.91	571.6
371.311	582.2
371.712	576.6
372.113	573.6
372.514	562.6
372.894	577.2
373.295	571.2
373.696	582.8
374.097	590.2
374.499	592.4
374.9	578.8
375.301	572
375.703	584.4
376.105	571.8
376.506	580.6
376.908	577.6
377.309	581.6
377.711	581
378.113	569.4
378.493	573.4
378.895	575.8
379.297	583.2
379.699	579.8
380.102	575.6
380.504	575.6
380.906	574.8
381.308	598.6
381.71	571.8
382.113	587.8
382.515	575.4
382.918	571.2
383.299	575
383.701	582.4
384.104	573.8
384.507	558.8
384.909	571.8
385.312	560
385.715	562
386.118	570
386.521	566.6
386.924	583.2
387.327	564.2
387.709	563
388.112	553.8
388.515	565
388.918	566.8
389.322	574.4
389.725	566
390.129	599
390.532	576.6
390.936	570.2
391.339	567.4
391.743	578.2
392.125	571
392.529	577.2
392.933	591.2
393.337	569.2
393.74	580.2
394.144	580.2
394.548	571.8
394.953	569
395.357	575.2
395.761	576.6
396.144	577
396.548	576.6
396.952	578.8
397.357	565.2
397.761	563.4
398.166	568.6
398.57	573.8
398.975	563.2
399.379	573.2
399.763	622.4
400.168	573.4
400.572	575
400.977	576.6
401.382	586.8
401.787	580
402.192	588
402.597	582.2
403.002	565
403.386	585.6
403.791	585.6
404.197	570.2
404.602	576
405.007	581.8
405.413	573
405.818	575.6
406.224	571
406.608	575.4
407.014	569.4
407.42	590.6
407.825	575.4
408.231	587.6
408.637	577.2
409.043	587.6
409.449	569.6
409.834	567.4
410.24	573.6
410.646	583.2
411.052	581.2
411.458	582.8
411.865	577.4
412.271	586.6
412.677	575.2
413.062	586.2
413.469	565.4
413.875	598.4
414.282	591.4
414.689	579.6
415.095	579
415.502	574
415.888	571.6
416.294	563.6
416.701	612.6
417.108	566.6
417.515	581.4
417.923	580.6
418.33	589.2
418.715	584
419.123	565.6
419.53	574
419.937	575.6
420.345	587
420.752	574.4
421.16	590.8
421.546	581
421.953	585.6
422.361	578.4
422.769	572.6
423.177	576
423.585	596
423.992	591.2
424.379	583.8
424.787	584.2
425.195	596.4
425.603	575.8
426.011	582.4
426.419	587.4
426.806	583
427.214	581.6
427.623	588.6
428.031	597.6
428.44	589.4
428.848	592.2
429.235	601.8
429.644	589.4
430.053	584
430.461	608.2
430.87	612.8
431.279	606.4
431.666	608
432.075	605
432.484	616.4
432.893	617.8
433.302	638.6
433.711	665.2
434.099	635.6
434.508	636
434.918	647
435.327	656.4
435.737	656.6
436.125	662.2
436.534	679.6
436.944	689.6
437.353	689
437.763	706.6
438.173	700.6
438.561	721.2
438.971	697.4
439.381	716
439.791	722.4
440.201	716
440.589	744.8
440.999	751.4
441.409	762.2
441.819	747.6
442.23	767.8
442.619	768.4
443.029	767.6
443.439	780.6
443.85	788.4
444.26	797.2
444.649	791.2
445.06	789.2
445.471	794.6
445.881	791.2
446.292	810
446.682	821.4
447.092	794
447.503	842.4
447.914	803
448.325	813.2
448.715	816
449.126	807.8
449.537	814.4
449.948	825
450.338	824.8
450.75	834.4
451.161	817.2
451.572	838.6
451.984	822.8
452.374	818
452.786	832
453.197	838
453.609	844.8
453.999	814
454.411	829.6
454.823	845.6
455.235	844.2
455.647	821.6
456.037	845.2
456.449	836.2
456.862	852.8
457.274	840.6
457.665	837.2
458.077	838.2
458.489	856.6
458.902	841.8
459.293	847.6
459.705	831.4
460.118	836.8
460.53	859
460.921	853.4
461.334	848.2
461.747	840.8
462.16	857.6
462.551	851.2
462.964	844.6
463.377	831.4
463.79	852
464.182	855.8
464.595	840
465.008	842.2
465.421	844.8
465.813	839.4
466.226	854.2
466.64	848.8
467.053	882.8
467.445	851.8
467.859	859.4
468.272	855.4
468.686	848
469.078	841.4
469.492	831.6
469.906	841.2
470.298	842.6
470.712	828
471.126	868.8
471.54	828.8
471.933	831
472.347	834.6
472.761	833.4
473.175	824.8
473.568	843.6
473.982	830.4
474.397	842.2
474.79	834.6
475.204	832.2
475.619	830
476.033	840.2
476.426	832
476.841	813.2
477.256	851
477.649	826.4
478.064	817.4
478.479	815
478.872	833.6
479.287	809.4
479.702	808.6
480.118	818.4
480.511	821
480.927	820.4
481.342	814.8
481.736	819.4
482.151	801.6
482.566	812.4
482.96	813.6
483.376	809
483.792	793.4
484.186	810
484.602	798.4
485.017	806.2
485.412	793.8
485.827	797.2
486.243	799.8
486.638	812.6
487.054	798
487.47	811.8
487.865	784.4
488.281	793
488.697	794
489.092	792.4
489.508	784.6
489.925	806.4
490.32	775.6
490.736	797.6
491.153	788.4
491.548	788.8
491.964	791.4
492.381	770
492.776	776
493.193	773.2
493.61	767.2
494.006	780.6
494.422	773.2
494.84	764.8
495.235	783.2
495.652	767.6
496.069	767.6
496.465	756.6
496.883	758.2
497.3	774.4
497.696	754.2
498.113	771.4
498.509	746.4
498.927	749
499.344	743.8
499.741	760.4
500.158	748.4
500.576	755.6
500.973	752
501.39	736.2
501.787	735
502.205	737.8
502.623	733.6
503.02	733.2
503.438	730
503.856	740.6
504.253	739.4
504.671	733.8
505.068	726.2
505.486	730.8
505.905	739.6
506.302	726.8
506.72	737.6
507.118	717.4
507.536	718.6
507.955	717
508.352	729
508.771	721.2
509.169	717.2
509.587	713.8
510.006	710.8
510.404	712.8
510.823	708
511.221	708
511.64	699.8
512.038	720.6
512.457	696.8
