#lambda/nm	C1
208.295	560
208.67	501.6
209.045	462.8
209.419	454.4
209.794	593.2
210.169	573.4
210.544	685.8
210.919	593.8
211.295	584
211.67	590
212.045	591.6
212.421	583
212.796	615.2
213.172	583.2
213.547	586.2
213.923	584.4
214.299	571
214.675	588.8
215.051	582
215.427	585
215.803	597.2
216.179	587.2
216.555	580.2
216.932	590.8
217.308	577.8
217.684	582.8
218.061	595.6
218.438	592
218.814	576.4
219.191	591.4
219.568	576
219.945	575.6
220.322	585.8
220.699	590.4
221.076	595.2
221.453	587
221.83	582.2
222.208	580.4
222.585	580.6
222.962	581.2
223.34	585.2
223.717	583.2
224.095	582.6
224.473	584.6
224.851	586.2
225.229	570.4
225.607	587.6
225.985	576.6
226.363	585.4
226.741	582.8
227.119	592
227.497	591.6
227.876	569.2
228.254	592
228.633	585.6
229.011	586.8
229.39	581.6
229.769	580.6
230.148	582.2
230.527	594.2
230.905	586.2
231.284	586.6
231.664	576.6
232.043	595
232.422	592.4
232.801	581.8
233.181	595
233.56	580.2
233.94	587.2
234.319	578.8
234.699	584
235.079	614.2
235.458	612.2
235.838	598.6
236.218	575.2
236.598	577
236.978	577.4
237.358	580
237.738	578.6
238.119	590.4
238.499	576
238.88	580
239.26	601
239.641	579
240.021	582.8
240.402	578.8
240.783	579
241.163	580.8
241.544	584.2
241.925	583.8
242.306	598.4
242.687	583.8
243.069	584.4
243.45	586.6
243.831	583.6
244.212	573.4
244.594	607.8
244.975	584.2
245.357	576.6
245.739	574
246.12	585.8
246.502	588.8
246.884	577.8
247.266	582.8
247.648	587.8
248.03	606.4
248.412	585.2
248.794	587.2
249.176	576.6
249.559	594
249.941	581.8
250.323	578.4
250.706	576.6
251.089	585.8
251.471	580.2
251.854	589
252.237	582.6
252.62	591.4
253.002	580
253.385	586.4
253.769	595.8
254.152	581.8
254.535	584.6
254.918	584.6
255.301	587.2
255.685	582.6
256.068	579.6
256.452	609
256.835	591.4
257.219	590.2
257.603	592.4
257.986	582.2
258.37	587.8
258.754	575.6
259.138	586.6
259.522	599
259.906	585.6
260.29	587.2
260.675	579.6
261.059	584.8
261.443	577.6
261.828	585.6
262.212	585.6
262.597	578.2
262.981	581.8
263.366	593
263.751	585
264.136	580.6
264.521	578.8
264.906	578
265.291	592
265.676	586.2
266.061	595.2
266.446	591.2
266.831	576
267.217	597.6
267.602	594.8
267.987	586.8
268.373	585
268.759	592.2
269.144	586.8
269.53	581.8
269.916	578.2
270.302	578.6
270.688	590
271.074	578.6
271.46	592.8
271.846	602.8
272.232	589.8
272.618	582.2
273.004	577.8
273.391	591.2
273.777	595.2
274.164	582.4
274.55	596.4
274.937	588.4
275.324	586
275.71	594.4
276.097	586.2
276.484	583.4
276.871	587.8
277.258	588.8
277.645	571
278.032	588
278.419	581.4
278.807	590.6
279.194	580.4
279.581	578.4
279.969	589
280.356	580.6
280.744	587.8
281.131	608.6
281.519	595
281.907	583.6
282.295	582
282.682	597.8
283.07	586.2
283.458	597.2
283.846	587.4
284.235	591.4
284.623	592.8
285.011	577.2
285.399	591.6
285.788	585.4
286.176	573.2
286.565	591.8
286.953	583.6
287.342	578
287.731	570
288.119	569
288.508	579
288.897	578.6
289.286	577.4
289.675	583.8
290.064	590.2
290.453	576.2
290.821	586
291.21	597.6
291.599	580.8
291.989	586.4
292.378	590
292.768	599
293.157	588.2
293.547	589.6
293.936	582.4
294.326	579
294.716	585.6
295.106	581.2
295.496	592.2
295.886	599
296.276	584
296.666	579
297.056	587.6
297.446	579
297.836	592.8
298.227	585.6
298.617	589.2
299.008	596
299.398	587.6
299.789	580
300.179	590.4
300.57	600.2
300.961	581.4
301.352	580
301.742	589.6
302.133	582
302.524	582.2
302.915	584
303.307	577
303.698	600
304.089	590.4
304.48	585.4
304.872	594.2
305.263	577.8
305.655	568.8
306.046	590
306.438	590.8
306.829	578.2
307.221	595.6
307.613	589.4
308.005	589.8
308.397	589.8
308.789	598.2
309.181	603.2
309.573	601.6
309.965	596
310.357	579.4
310.749	595
311.142	583.8
311.534	574
311.926	586.2
312.319	583.8
312.711	584.4
313.104	591
313.497	584
313.889	617
314.282	595
314.675	610.6
315.068	595.2
315.461	577.8
315.854	607
316.247	581.6
316.64	585.8
317.033	584
317.405	584.2
317.798	584.6
318.192	587.2
318.585	580.2
318.979	581.6
319.372	577.2
319.766	583.2
320.16	598
320.553	587.6
320.947	594.8
321.341	583.6
321.735	584.4
322.129	579.4
322.523	603
322.917	573
323.311	592.8
323.705	591.8
324.099	584
324.494	598.8
324.888	594.2
325.282	584
325.677	606.4
326.071	598.8
326.466	597.2
326.861	585
327.255	594.6
327.65	599.8
328.045	597.2
328.44	593.6
328.835	583.8
329.23	576.4
329.625	610.2
330.02	579.6
330.415	601.8
330.81	594.4
331.206	585.2
331.601	587
331.996	592.4
332.37	596.6
332.766	576.6
333.161	607
333.557	587.8
333.953	583.2
334.348	862.2
334.744	587
335.14	583.2
335.536	582.8
335.932	592.4
336.328	585.6
336.724	600.6
337.12	589.4
337.516	586.8
337.913	581
338.309	586.8
338.705	583
339.102	590
339.498	581.2
339.895	596.8
340.291	570.6
340.688	584.8
