#lambda/nm	C1
208.295	577.6
208.67	507.8
209.045	472
209.419	466.8
209.794	587.6
210.169	564.4
210.544	657
210.919	586.2
211.295	573.4
211.67	580
212.045	570.8
212.421	565.8
212.796	606.2
213.172	575.8
213.547	575.2
213.923	576.4
214.299	577.6
214.675	579
215.051	581.6
215.427	590
215.803	595.2
216.179	584
216.555	574.6
216.932	583
217.308	580.4
217.684	588.8
218.061	584.4
218.438	576.8
218.814	577.4
219.191	585.2
219.568	576.4
219.945	577.6
220.322	581.4
220.699	583
221.076	583
221.453	583.4
221.83	573.6
222.208	571.2
222.585	572.8
222.962	576.2
223.34	578.2
223.717	579.2
224.095	573.4
224.473	583.2
224.851	569.6
225.229	581
225.607	586.2
225.985	566.6
226.363	575.2
226.741	577.8
227.119	575.6
227.497	589
227.876	571.2
228.254	584
228.633	587.2
229.011	580.4
229.39	578
229.769	576.8
230.148	582.4
230.527	593.4
230.905	578.8
231.284	580.2
231.664	575.2
232.043	593.4
232.422	587.6
232.801	566.2
233.181	575.2
233.56	578.2
233.94	565.8
234.319	565.2
234.699	573.2
235.079	609
235.458	606.4
235.838	588.2
236.218	568.8
236.598	571
236.978	569.4
237.358	572.8
237.738	571.4
238.119	580
238.499	572.8
238.88	571.8
239.26	587.2
239.641	572.6
240.021	576.6
240.402	578.6
240.783	575
241.163	578.2
241.544	582.8
241.925	570.2
242.306	586.8
242.687	575.6
243.069	575.2
243.45	580
243.831	568.2
244.212	572.8
244.594	600.6
244.975	574.6
245.357	579.4
245.739	568.8
246.12	577.2
246.502	589
246.884	572.4
247.266	572.8
247.648	583.8
248.03	595.4
248.412	579.2
248.794	580.2
249.176	573
249.559	581
249.941	569.6
250.323	573
250.706	568.6
251.089	573.2
251.471	574.2
251.854	572.8
252.237	572.6
252.62	582.6
253.002	579.2
253.385	581.2
253.769	585.4
254.152	579.6
254.535	584.8
254.918	569.4
255.301	571.6
255.685	576.8
256.068	571
256.452	589.4
256.835	584.8
257.219	585.8
257.603	579.4
257.986	565.4
258.37	576
258.754	565.2
259.138	580.4
259.522	582.8
259.906	574.6
260.29	573.4
260.675	567.2
261.059	576.4
261.443	559.4
261.828	572.2
262.212	581.2
262.597	564
262.981	564.8
263.366	570.6
263.751	577
264.136	573
264.521	567.4
264.906	571.4
265.291	579.4
265.676	569
266.061	578.8
266.446	582.2
266.831	571.6
267.217	581.6
267.602	571.6
267.987	586.4
268.373	574.4
268.759	587.8
269.144	582.6
269.53	577.6
269.916	570.2
270.302	563.4
270.688	581.2
271.074	583.2
271.46	589
271.846	605.4
272.232	575
272.618	573.4
273.004	570.8
273.391	578.2
273.777	586.2
274.164	578.4
274.55	584.4
274.937	574
275.324	579
275.71	571.2
276.097	571.8
276.484	563
276.871	568
277.258	578
277.645	565.6
278.032	572
278.419	578.8
278.807	575.4
279.194	571.4
279.581	568.4
279.969	580.8
280.356	580
280.744	573
281.131	597.6
281.519	585.2
281.907	573.6
282.295	573.2
282.682	585.8
283.07	577.4
283.458	586.4
283.846	583.8
284.235	586.2
284.623	581.2
285.011	566.6
285.399	574.8
285.788	572.2
286.176	569.8
286.565	577.2
286.953	574.8
287.342	574
287.731	564.4
288.119	576.4
288.508	575.2
288.897	569.6
289.286	565.6
289.675	570.2
290.064	579.4
290.453	575.2
290.821	576.2
291.21	587.2
291.599	569.4
291.989	575.8
292.378	579.6
292.768	588.4
293.157	576
293.547	578.2
293.936	579.8
294.326	575.8
294.716	582
295.106	576.8
295.496	582.2
295.886	581.8
296.276	575.8
296.666	568.8
297.056	569.4
297.446	570.2
297.836	589.2
298.227	575
298.617	578.2
299.008	592
299.398	578.6
299.789	574.4
300.179	580.2
300.57	590.8
300.961	580.2
301.352	575.4
301.742	581.6
302.133	579.8
302.524	577.4
302.915	581
303.307	570
303.698	589.4
304.089	577.6
304.48	573
304.872	585.8
305.263	578
305.655	572.4
306.046	574.4
306.438	581
306.829	571.2
307.221	582.4
307.613	582.6
308.005	579.8
308.397	587
308.789	595.6
309.181	601.8
309.573	587.6
309.965	586.4
310.357	573
310.749	587.8
311.142	569.4
311.534	573.6
311.926	584.2
312.319	580
312.711	571.4
313.104	584.6
313.497	572.6
313.889	607.6
314.282	584.2
314.675	598
315.068	574.6
315.461	585.2
315.854	598.8
316.247	580
316.64	577.4
317.033	582.4
317.405	586.4
317.798	579.6
318.192	582.2
318.585	573.8
318.979	580.2
319.372	570.8
319.766	577.8
320.16	581.8
320.553	584.6
320.947	587
321.341	572.2
321.735	579.6
322.129	567.2
322.523	598.6
322.917	572
323.311	583.6
323.705	578.6
324.099	585
324.494	591
324.888	584
325.282	573
325.677	581.8
326.071	580.4
326.466	585.6
326.861	581.8
327.255	582
327.65	586.6
328.045	589.8
328.44	579.4
328.835	575.2
329.23	571.4
329.625	591.6
330.02	567
330.415	601.2
330.81	577.2
331.206	583
331.601	572.2
331.996	585.4
332.37	595
332.766	573.2
333.161	595.8
333.557	575.6
333.953	573.6
334.348	781.2
334.744	586.4
335.14	575.2
335.536	575.4
335.932	585.2
336.328	578.2
336.724	579.6
337.12	573
337.516	582.8
337.913	574.8
338.309	596
338.705	578.4
339.102	576
339.498	574.8
339.895	583.8
340.291	574.8
340.688	582.2
341.085	572
341.481	565.2
341.878	571.4
342.275	588
342.672	571
343.069	567
343.466	563.2
343.842	581.4
344.239	565.4
344.636	564
345.033	565.8
345.431	568.4
345.828	569.8
346.225	569.2
346.623	603.4
347.02	576
347.418	579.4
347.816	588.8
348.213	561
348.611	576.2
349.009	568.2
349.407	587.2
349.805	572.6
350.203	566.6
350.601	584.6
350.999	569.4
351.397	614.2
351.795	579
352.193	586.8
352.57	583.2
352.969	579
353.367	562.2
353.766	567.8
354.164	572
354.563	581.2
354.961	575.2
355.36	568
355.759	571
356.158	564.4
356.557	564.6
356.956	561
357.355	564.8
357.754	575.6
358.153	580.4
358.552	589.6
358.951	574.6
359.35	571.6
359.75	568.8
360.149	569.2
360.527	560.2
360.926	561.2
361.326	570.8
361.726	564
362.125	566.4
362.525	574.8
362.925	563
363.325	570.8
363.724	569
364.124	561.8
364.524	567.6
364.924	565.4
365.324	570.4
365.725	559.8
366.125	573.8
366.525	567
366.904	560.6
367.304	559
367.705	585.4
368.105	577.6
368.506	575.4
368.906	573.4
369.307	566
369.708	568.6
370.108	559.6
370.509	574.6
370.91	566.2
371.311	570.2
371.712	569.6
372.113	574.4
372.514	561.2
372.894	567.4
373.295	569.2
373.696	574.4
374.097	574.8
374.499	592.2
374.9	570.4
375.301	561.6
375.703	565.2
376.105	564.4
376.506	569.2
376.908	572.4
377.309	569.6
377.711	571.8
378.113	569.8
378.493	569.6
378.895	566.6
379.297	570.6
379.699	566.2
380.102	562.4
380.504	569
380.906	562.4
381.308	589.6
381.71	572.6
382.113	579.4
382.515	568.6
382.918	567
383.299	571.4
383.701	576.4
384.104	574.6
384.507	552.8
384.909	568.6
385.312	559.8
385.715	561.8
386.118	565.4
386.521	561.8
386.924	584.4
387.327	567.2
387.709	553.6
388.112	556.4
388.515	571
388.918	564.8
389.322	574.6
389.725	566.2
390.129	588.2
390.532	577
390.936	568.2
391.339	565
391.743	571.2
392.125	561.2
392.529	573.4
392.933	574.8
393.337	568.8
393.74	566.8
394.144	575.6
394.548	564.2
394.953	572
395.357	580
395.761	565.8
396.144	568.2
396.548	570.8
396.952	572.8
397.357	576
397.761	565.2
398.166	562.6
398.57	574
398.975	563.6
399.379	570
399.763	607.8
400.168	565.6
400.572	566.2
400.977	566.8
401.382	581.2
401.787	576.2
402.192	580
402.597	575.4
403.002	555
403.386	585.2
403.791	582.2
404.197	557.2
404.602	575.2
405.007	564.8
405.413	566.8
405.818	563.8
406.224	566.8
406.608	567.4
407.014	567.2
407.42	584.2
407.825	570.2
408.231	568.4
408.637	564.6
409.043	577
409.449	558.2
409.834	568.6
410.24	570.6
410.646	576.8
411.052	573.4
411.458	568
411.865	575.4
412.271	576.6
412.677	567.2
413.062	575.8
413.469	561.4
413.875	584
414.282	570
414.689	577.6
415.095	577.8
415.502	569
415.888	574
416.294	557.6
416.701	608
417.108	566.4
417.515	567.8
417.923	571.8
418.33	582
418.715	573
419.123	572.4
419.53	567.2
419.937	568.8
420.345	580.4
420.752	572
421.16	582.6
421.546	568.6
421.953	575
422.361	564
422.769	575.4
423.177	563.6
423.585	580.4
423.992	580.6
424.379	577.2
424.787	576
425.195	578.4
425.603	570.4
426.011	585.6
426.419	579.4
426.806	573.6
427.214	573
427.623	583.4
428.031	584.4
428.44	574.6
428.848	582.2
429.235	594.4
429.644	576.6
430.053	577.2
430.461	590.6
430.87	597.4
431.279	590.8
431.666	586.2
432.075	595.8
432.484	602
432.893	593.2
433.302	615.2
433.711	631.8
434.099	614.2
434.508	610
434.918	618.4
435.327	635
435.737	638.6
436.125	642.2
436.534	646.6
436.944	652.8
437.353	664.8
437.763	670.4
438.173	657
438.561	670
438.971	666.2
439.381	680.2
439.791	680.4
440.201	682
440.589	694.8
440.999	700
441.409	706.2
441.819	708.6
442.23	725
442.619	724.6
443.029	723.6
443.439	727.4
443.85	745.8
444.26	737
444.649	745.8
