#lambda/nm	C1
208.295	559.4
208.67	494.2
209.045	463
209.419	458.4
209.794	594.6
210.169	576.8
210.544	679.2
210.919	599.4
211.295	580.8
211.67	591.2
212.045	583
212.421	581.8
212.796	613.8
213.172	580.6
213.547	586.8
213.923	589.2
214.299	580
214.675	595.4
215.051	587.4
215.427	602.4
215.803	601.8
216.179	604.8
216.555	588.2
216.932	598
217.308	587.8
217.684	589
218.061	590.2
218.438	590.6
218.814	583.2
219.191	585
219.568	584.8
219.945	587.4
220.322	592.6
220.699	597.8
221.076	593.8
221.453	581
221.83	582.2
222.208	582
222.585	586.2
222.962	597.6
223.34	587.6
223.717	585.6
224.095	584.4
224.473	586.2
224.851	579.4
225.229	580
225.607	600.2
225.985	582
226.363	584.4
226.741	591.8
227.119	587
227.497	586.6
227.876	574
228.254	598.6
228.633	592.2
229.011	598
229.39	593.2
229.769	595.4
230.148	591.6
230.527	599.2
230.905	588
231.284	589
231.664	586.4
232.043	594.2
232.422	593
232.801	585.8
233.181	589.4
233.56	588.8
233.94	588.4
234.319	579.4
234.699	590.2
235.079	618.4
235.458	613.6
235.838	599.4
236.218	576.8
236.598	588.4
236.978	580.8
237.358	578.2
237.738	577.8
238.119	592.2
238.499	576.2
238.88	581.8
239.26	598.8
239.641	577.6
240.021	590.2
240.402	582
240.783	587.4
241.163	580.6
241.544	586.4
241.925	587.4
242.306	595.2
242.687	590.6
243.069	589.4
243.45	595.8
243.831	583
244.212	586.8
244.594	616.8
244.975	597.8
245.357	588
245.739	583.4
246.12	590.4
246.502	600.4
246.884	583
247.266	585
247.648	585.4
248.03	604.2
248.412	585.4
248.794	596.2
249.176	580.8
249.559	593.4
249.941	575.6
250.323	573
250.706	575.4
251.089	582
251.471	586
251.854	584.6
252.237	581.6
252.62	596.4
253.002	579
253.385	582.4
253.769	594.6
254.152	585.6
254.535	589
254.918	583.6
255.301	578.6
255.685	580.4
256.068	582.6
256.452	606.6
256.835	593.6
257.219	597.2
257.603	600.4
257.986	579
258.37	595.6
258.754	575
259.138	583.2
259.522	593.4
259.906	581.8
260.29	591.6
260.675	593.2
261.059	585.6
261.443	577.2
261.828	589.8
262.212	596.2
262.597	574.8
262.981	580.8
263.366	587.6
263.751	586
264.136	581
264.521	589.8
264.906	587.2
265.291	593.6
265.676	587.6
266.061	591.8
266.446	602.2
266.831	584
267.217	601.2
267.602	596.6
267.987	599.8
268.373	587.2
268.759	590.6
269.144	594.8
269.53	589.6
269.916	589.2
270.302	587
270.688	591
271.074	587.2
271.46	593.4
271.846	610.4
272.232	585.8
272.618	577.4
273.004	583.8
273.391	588.6
273.777	596
274.164	594.6
274.55	597
274.937	590.6
275.324	587.2
275.71	591.6
276.097	586.6
276.484	583.4
276.871	591.2
277.258	585.8
277.645	574.6
278.032	580.2
278.419	585.4
278.807	591.4
279.194	586.8
279.581	583.4
279.969	595.4
280.356	582.6
280.744	586.2
281.131	603.6
281.519	595.4
281.907	587
282.295	585.6
282.682	596.2
283.07	587.2
283.458	602.2
283.846	601
284.235	598.2
284.623	592.8
285.011	580.6
285.399	590
285.788	590.8
286.176	586.4
286.565	600.2
286.953	580.8
287.342	589.8
287.731	582
288.119	588.2
288.508	584.6
288.897	586.4
289.286	575.6
289.675	589.4
290.064	590.6
290.453	580.8
290.821	589
291.21	608.6
291.599	586.8
291.989	588.4
292.378	592.8
292.768	601.6
293.157	597.6
293.547	587.6
293.936	589.4
294.326	585.8
294.716	591.8
295.106	575.2
295.496	594.2
295.886	593
296.276	588.2
296.666	575.8
297.056	580.6
297.446	571.2
297.836	600
298.227	583.8
298.617	589.8
299.008	593.2
299.398	577.6
299.789	577.2
300.179	585.4
300.57	598.4
300.961	584.4
301.352	583.2
301.742	595
302.133	584
302.524	586.4
302.915	580.8
303.307	579.8
303.698	593.8
304.089	588.6
304.48	590.4
304.872	583.4
305.263	581.2
305.655	577.8
306.046	591
306.438	594
306.829	584.6
307.221	592.2
307.613	589.4
308.005	596
308.397	597.4
308.789	603.4
309.181	605.8
309.573	597
309.965	592.2
310.357	580.6
310.749	588.6
311.142	583.6
311.534	579
311.926	589.2
312.319	589.6
312.711	577.4
313.104	593.6
313.497	578
313.889	619.6
314.282	596.4
314.675	608.6
315.068	585.4
315.461	589.4
315.854	610.2
316.247	589
316.64	590.6
317.033	585.8
317.405	598.8
317.798	585.4
318.192	584.2
318.585	583
318.979	591.6
319.372	584.8
319.766	587.6
320.16	597.6
320.553	597
320.947	608.8
321.341	583.8
321.735	586
322.129	579
322.523	608
322.917	585.2
323.311	602.2
323.705	592.4
324.099	593.4
324.494	606.2
324.888	595.8
325.282	584.4
325.677	599.2
326.071	598.2
326.466	592.6
326.861	601
327.255	597.2
327.65	597.4
328.045	600.2
328.44	590
328.835	588.8
329.23	580.6
329.625	599
330.02	591.2
330.415	610.4
330.81	591.2
331.206	592
331.601	589.2
331.996	594.6
332.37	605
332.766	581.6
333.161	603.4
333.557	580
333.953	589.6
334.348	842
334.744	591.4
335.14	587.6
335.536	582.8
335.932	593.4
336.328	582.8
336.724	603.6
337.12	591.6
337.516	592.4
337.913	590.8
338.309	596.2
338.705	584.6
339.102	597.6
339.498	585.8
339.895	591.4
340.291	583.2
340.688	588
341.085	586.8
341.481	589.8
341.878	580
342.275	601.8
342.672	584.2
343.069	588.4
343.466	586.2
343.842	593
344.239	580.8
344.636	588
345.033	585.4
345.431	581.4
345.828	587
346.225	583.8
346.623	614.6
347.02	588
347.418	586.2
347.816	598
348.213	580.6
348.611	591.2
349.009	582.8
349.407	594.6
349.805	582.8
350.203	568.8
350.601	592.4
350.999	579.8
351.397	637.4
351.795	583.6
352.193	586.8
352.57	582.4
352.969	597.8
353.367	572.2
353.766	576.8
354.164	588.8
354.563	583.6
354.961	586.6
355.36	582
355.759	586
356.158	569.4
356.557	573.2
356.956	578.6
357.355	568.8
357.754	587.6
358.153	587.6
358.552	602.4
358.951	583
359.35	594.2
359.75	578.2
360.149	580.2
360.527	578.4
360.926	575
361.326	587.8
361.726	581.8
362.125	577
362.525	590.4
362.925	585.8
363.325	580.2
363.724	584.2
364.124	576.4
364.524	578.2
364.924	574
365.324	595.2
365.725	565.4
366.125	584
366.525	579.4
366.904	574.2
367.304	575.4
367.705	593.2
368.105	597
368.506	581.8
368.906	583.8
369.307	581.4
369.708	587
370.108	572.4
370.509	588
370.91	569.4
371.311	578
371.712	582.2
372.113	579.4
372.514	568
372.894	581.8
373.295	580
373.696	589
374.097	586.2
374.499	605.2
374.9	584.2
375.301	573.2
375.703	580.2
376.105	577.6
376.506	585.4
376.908	583.2
377.309	585.6
377.711	581.8
378.113	575.4
378.493	577.4
378.895	573.8
379.297	587.8
379.699	563.8
380.102	583
380.504	585.6
380.906	578
381.308	596.4
381.71	578
382.113	587.2
382.515	579.2
382.918	588
383.299	580.4
383.701	587.2
384.104	575.2
384.507	561.4
384.909	576.4
385.312	575.8
385.715	568
386.118	577.2
386.521	568.8
386.924	583.4
387.327	573.6
387.709	569.4
388.112	571.2
388.515	576
388.918	580.4
389.322	580.6
389.725	584.2
390.129	597.6
390.532	591.6
390.936	583.4
391.339	572.2
391.743	575.6
392.125	570.8
392.529	579.6
392.933	595.4
393.337	580.6
393.74	578.6
394.144	571.2
394.548	576.6
394.953	571.6
395.357	576.4
395.761	570.2
396.144	576.2
396.548	567.2
396.952	576.8
397.357	578.4
397.761	569.2
398.166	576
398.57	578.6
398.975	568.4
399.379	582.2
399.763	613.8
400.168	577.6
400.572	575.8
400.977	575.2
401.382	588.8
401.787	583.4
402.192	588.4
402.597	592.4
403.002	572.8
403.386	585
403.791	595.4
404.197	577.2
404.602	578.4
405.007	575.8
405.413	579.4
405.818	574.6
406.224	574.4
406.608	579.8
407.014	576.8
407.42	589.6
407.825	567.8
408.231	589.4
408.637	577.4
409.043	592.2
409.449	577.2
409.834	570.8
410.24	580.8
410.646	586.2
411.052	584.8
411.458	575.2
411.865	590.8
412.271	592
412.677	576.6
413.062	589.8
413.469	567.8
413.875	599.6
414.282	584.2
414.689	585.6
415.095	582
415.502	577.6
415.888	583.2
416.294	571.8
416.701	618
417.108	581.8
417.515	580.4
417.923	583
418.33	596.2
418.715	590.4
419.123	580.2
419.53	574.2
419.937	574
420.345	586.6
420.752	571.4
421.16	590.8
421.546	586.8
421.953	590.2
422.361	582.2
422.769	582.8
423.177	574.4
423.585	597
423.992	595.8
424.379	586.8
424.787	586.2
425.195	593
425.603	574.8
426.011	592.8
426.419	588.8
426.806	582
427.214	586.4
427.623	585.4
428.031	594
428.44	584.6
428.848	591.6
429.235	599
429.644	598.2
430.053	593.2
430.461	613.2
430.87	615.6
431.279	609.4
431.666	607.2
432.075	610.4
432.484	626.8
432.893	617.6
433.302	645.8
433.711	667.8
434.099	646.4
434.508	641.4
434.918	644.2
435.327	671.6
435.737	667.4
436.125	680.2
436.534	685.8
436.944	695.2
437.353	710.8
437.763	726.6
438.173	708.4
438.561	727.8
438.971	723.4
439.381	734.4
439.791	736.6
440.201	734.8
440.589	752
440.999	761.8
441.409	760.8
441.819	767.8
442.23	780
442.619	789.6
443.029	791
443.439	804.4
443.85	811.2
444.26	815.8
444.649	804.4
445.06	812.6
445.471	813.6
445.881	811.6
446.292	830.4
446.682	832.6
447.092	798.8
447.503	865.4
447.914	835.2
448.325	830.4
448.715	829.8
449.126	835.6
449.537	842
449.948	833.2
450.338	848
450.75	852.6
451.161	844.6
451.572	858.6
451.984	847.8
452.374	836.2
452.786	847.2
453.197	845.4
453.609	862
453.999	842.6
454.411	864.8
454.823	867.8
455.235	864.4
455.647	844.4
456.037	864
456.449	853.6
456.862	852.6
457.274	858.6
457.665	853.6
458.077	863.2
458.489	879.2
458.902	864.8
459.293	871.6
459.705	854
460.118	864.2
460.53	871.2
460.921	873.8
461.334	870.4
461.747	864.4
462.16	881.8
462.551	877.6
462.964	881.6
463.377	871.4
463.79	875.2
464.182	881.8
464.595	863.2
465.008	879.8
465.421	869.2
465.813	865.6
466.226	869.4
466.64	860.4
467.053	902.8
467.445	870.2
467.859	884.4
468.272	869.4
468.686	869.4
469.078	863.2
469.492	853.4
469.906	867.6
470.298	867.6
470.712	864.8
471.126	895
471.54	857.2
471.933	855.2
472.347	851.8
472.761	863.6
473.175	855.8
473.568	856.2
473.982	845.8
474.397	849.6
474.79	861.4
475.204	862.6
475.619	853.2
476.033	852.2
476.426	843.4
476.841	840.8
477.256	867.6
477.649	841.2
478.064	834
478.479	839
478.872	833
479.287	833.8
479.702	836.8
480.118	838.6
480.511	857.2
480.927	831.8
481.342	846.2
481.736	834.8
482.151	821.8
482.566	838.4
482.96	838.4
483.376	837
483.792	836.8
484.186	831.2
484.602	825.6
485.017	827.2
485.412	832
485.827	823.4
486.243	827.4
486.638	832.4
487.054	826.6
487.47	828
487.865	807.6
488.281	801
488.697	804.2
489.092	803
489.508	800.8
489.925	812.6
490.32	799.2
490.736	803.2
491.153	802.8
491.548	800.4
491.964	805.4
492.381	779
492.776	795.6
493.193	797.6
493.61	793.6
494.006	789.6
494.422	795.4
494.84	782.4
495.235	791.4
495.652	791.2
496.069	777.4
496.465	773
496.883	779.6
497.3	795.4
497.696	765.6
498.113	788
498.509	771.2
498.927	762.4
499.344	770.6
499.741	767
500.158	775.6
500.576	765
500.973	769.4
501.39	745.4
501.787	750.4
502.205	751.6
502.623	744.4
