#lambda/nm	C1
208.295	543.8
208.67	485.8
209.045	443.2
209.419	452.8
209.794	600.6
210.169	586.4
210.544	692.4
210.919	608.8
211.295	589.6
211.67	601
212.045	605.4
212.421	596.6
212.796	628.2
213.172	586.2
213.547	587.8
213.923	593.6
214.299	589
214.675	601.4
215.051	600
215.427	604.4
215.803	609
216.179	599.8
216.555	593.2
216.932	610.6
217.308	602.2
217.684	605
218.061	600.8
218.438	603.2
218.814	600.6
219.191	596.6
219.568	599.4
219.945	599
220.322	602.4
220.699	602.6
221.076	598.8
221.453	598.6
221.83	593.8
222.208	598.2
222.585	597.6
222.962	594.2
223.34	603.6
223.717	594.6
224.095	594.6
224.473	600
224.851	596
225.229	589.2
225.607	614
225.985	591.2
226.363	596.6
226.741	598.2
227.119	601
227.497	606.2
227.876	588.6
228.254	611
228.633	610
229.011	598.6
229.39	608.4
229.769	600.2
230.148	608
230.527	617.8
230.905	594.8
231.284	601.6
231.664	593.2
232.043	609.2
232.422	610.4
232.801	596.4
233.181	601.8
233.56	610.4
233.94	599.6
234.319	590
234.699	601.8
235.079	630.4
235.458	635.8
235.838	613.6
236.218	591.2
236.598	584.6
236.978	585.2
237.358	598.2
237.738	596.8
238.119	605.8
238.499	581.8
238.88	593
239.26	613
239.641	590.4
240.021	598.6
240.402	595.2
240.783	592.4
241.163	598.2
241.544	595.4
241.925	599.4
242.306	606.8
242.687	600.2
243.069	598.6
243.45	597.6
243.831	590.6
244.212	601.6
244.594	637.4
244.975	612.4
245.357	606.4
245.739	597
246.12	603.2
246.502	614.4
246.884	599.8
247.266	601.4
247.648	606.6
248.03	622.2
248.412	602.2
248.794	606.6
249.176	598.4
249.559	612.2
249.941	584.4
250.323	591
250.706	590
251.089	598.6
251.471	590.4
251.854	598.2
252.237	605.2
252.62	602.8
253.002	594.8
253.385	598.4
253.769	611.8
254.152	598.2
254.535	600
254.918	591
255.301	595.4
255.685	589
256.068	594.2
256.452	611.2
256.835	599.8
257.219	604.6
257.603	611.4
257.986	583.2
258.37	603.8
258.754	585.8
259.138	598
259.522	602.2
259.906	598.6
260.29	600.8
260.675	606.4
261.059	603.4
261.443	593.4
261.828	607
262.212	603.8
262.597	594.8
262.981	599.4
263.366	599.4
263.751	593.8
264.136	596.6
264.521	601.6
264.906	593
265.291	608.6
265.676	592.2
266.061	605
266.446	620.4
266.831	606.8
267.217	616
267.602	604.4
267.987	595.4
268.373	598.6
268.759	613.4
269.144	601.6
269.53	600.4
269.916	599.4
270.302	600.2
270.688	605.4
271.074	604.2
271.46	613
271.846	626.6
272.232	598
272.618	593.4
273.004	595.6
273.391	612.2
273.777	609.6
274.164	606.2
274.55	609.4
274.937	602.4
275.324	596.6
275.71	611.4
276.097	605
276.484	594.2
276.871	603.6
277.258	599.2
277.645	594
278.032	597.8
278.419	599.4
278.807	606.2
279.194	603.6
279.581	586.8
279.969	607.4
280.356	601.2
280.744	599.4
281.131	612
281.519	610.2
281.907	597.2
282.295	596
282.682	606
283.07	601.6
283.458	605.6
283.846	613
284.235	606.8
284.623	611.8
285.011	593.6
285.399	602.2
285.788	600.2
286.176	594.4
286.565	607.8
286.953	586.6
287.342	591.8
287.731	592.8
288.119	598.2
288.508	598.6
288.897	591.8
289.286	584.4
289.675	597.4
290.064	611.4
290.453	593.4
290.821	590.8
291.21	609.8
291.599	591.8
291.989	603.2
292.378	606.4
292.768	610.8
293.157	600.4
293.547	617.6
293.936	598.6
294.326	593
294.716	598.8
295.106	601
295.496	606.4
295.886	606.4
296.276	600.8
296.666	597.2
297.056	596
297.446	597.4
297.836	614
298.227	600.4
298.617	597.2
299.008	604.6
299.398	594
299.789	596.4
300.179	599.2
300.57	619.8
300.961	596.2
301.352	594.6
301.742	613.6
302.133	603
302.524	596.2
302.915	598.4
303.307	592.4
303.698	603.8
304.089	606.2
304.48	597
304.872	600
305.263	594.2
305.655	597.2
306.046	600.8
306.438	605
306.829	594.2
307.221	610.6
307.613	599.8
308.005	608.2
308.397	607.8
308.789	610.2
309.181	616.6
309.573	612
309.965	610.4
310.357	603.4
310.749	612.4
311.142	588.2
311.534	597.8
311.926	615.6
312.319	598.2
312.711	584.4
313.104	610.2
313.497	598.2
313.889	631.6
314.282	608.8
314.675	618.6
315.068	592.6
315.461	606.6
315.854	621
316.247	598.6
316.64	604.2
317.033	591.4
317.405	602.4
317.798	586.6
318.192	602.8
318.585	592.6
318.979	604
319.372	601.8
319.766	589
320.16	602.2
320.553	614.4
320.947	615
321.341	595
321.735	594
322.129	590.2
322.523	618.6
322.917	587.2
323.311	608.8
323.705	601.8
324.099	596.8
324.494	608.4
324.888	608
325.282	591.8
325.677	610.6
326.071	617.2
326.466	614.4
326.861	602.2
327.255	603.6
327.65	619.8
328.045	612.2
328.44	603.6
328.835	596.4
329.23	595.2
329.625	619.4
330.02	598.8
330.415	624.4
330.81	602.6
331.206	605.2
331.601	600.4
331.996	611.2
332.37	617.4
332.766	597.2
333.161	620.2
333.557	600
333.953	599.4
334.348	971.6
334.744	601.6
335.14	597.6
335.536	585.8
335.932	613.4
336.328	598.4
336.724	605.8
337.12	599.2
337.516	603.8
337.913	600.8
338.309	604.6
338.705	599.8
339.102	616.6
339.498	594.2
339.895	613.4
340.291	594.4
340.688	603.2
341.085	594.8
341.481	599.8
341.878	598.8
342.275	622
342.672	588.8
343.069	593
343.466	584.6
343.842	612
344.239	592.2
344.636	603.4
345.033	601.4
345.431	600.4
345.828	600.4
346.225	594.6
346.623	628.2
347.02	606.6
347.418	607
347.816	609.8
348.213	594.6
348.611	606.2
349.009	591.2
349.407	608.2
349.805	589.4
350.203	586.6
350.601	603.4
350.999	589.4
351.397	637.6
351.795	598
352.193	608.4
352.57	606.6
352.969	607
353.367	584.2
353.766	582.2
354.164	595.8
354.563	600.4
354.961	593.6
355.36	587.4
355.759	591.4
356.158	590.4
356.557	592.4
356.956	583.8
357.355	578.8
357.754	594.6
358.153	593
358.552	620
358.951	595.6
359.35	601
359.75	590.2
360.149	588.6
360.527	586.4
360.926	585.4
361.326	597
361.726	594.2
362.125	594.4
362.525	606
362.925	590.6
363.325	590.8
363.724	597.2
364.124	588.8
364.524	580.8
364.924	594.2
365.324	607.4
365.725	580.6
366.125	600.4
366.525	592.6
366.904	589.8
367.304	580.6
367.705	607.4
368.105	603.4
368.506	590.4
368.906	594.6
369.307	590.8
369.708	597.2
370.108	586
370.509	606.4
370.91	579.2
371.311	594
371.712	591.8
372.113	590
372.514	583.6
372.894	597
373.295	586.2
373.696	608.8
374.097	600.6
374.499	620.8
374.9	597.2
375.301	587
375.703	589.8
376.105	588.6
376.506	597.2
376.908	603
377.309	588.8
377.711	593.6
378.113	588.6
378.493	601.6
378.895	586.8
379.297	604.2
379.699	581.8
380.102	600.6
380.504	589.4
380.906	589.8
381.308	616.8
381.71	587.2
382.113	599.6
382.515	587.8
382.918	593.8
383.299	593
383.701	607.8
384.104	601
384.507	574.2
384.909	592.2
385.312	578.8
385.715	592.2
386.118	595.2
386.521	579.8
386.924	598
387.327	592.6
387.709	582.4
388.112	576.8
388.515	583.4
388.918	586
389.322	594.8
389.725	581.8
390.129	608
390.532	592.4
390.936	586.4
391.339	580.6
391.743	585.8
392.125	588.6
392.529	603
392.933	600.2
393.337	594.2
393.74	598
394.144	590
394.548	592
394.953	599.2
395.357	599.6
395.761	591.6
396.144	593
396.548	589.4
396.952	594.4
397.357	604.4
397.761	584.2
398.166	581.4
398.57	588.8
398.975	582.8
399.379	585.4
399.763	628.2
400.168	592.8
400.572	592.2
400.977	587.4
401.382	607.4
401.787	601
402.192	607.2
402.597	599.8
403.002	581.4
403.386	598
403.791	604.8
404.197	588.4
404.602	593.6
405.007	594
405.413	583.2
405.818	585.8
406.224	586.4
406.608	586
407.014	582.4
407.42	607.2
407.825	581
408.231	597.2
408.637	597.2
409.043	607.6
409.449	589.2
409.834	586.4
410.24	591.8
410.646	597.4
411.052	595.2
411.458	595.2
411.865	594.8
412.271	597.8
412.677	594.4
413.062	605.2
413.469	594
413.875	608.8
414.282	604.8
414.689	602.4
415.095	590.2
415.502	582.4
415.888	591
416.294	578.2
416.701	627.2
417.108	582.6
417.515	606
417.923	592.2
418.33	615.6
418.715	598
419.123	592.4
419.53	585.8
419.937	599.6
420.345	604.2
420.752	596
421.16	603.8
421.546	587.8
421.953	602
422.361	589.2
422.769	592.8
423.177	584.4
423.585	617.4
423.992	606.6
424.379	607.6
424.787	596.2
425.195	610.4
425.603	594.2
426.011	608.2
426.419	606.6
426.806	599.4
427.214	596.2
427.623	612
428.031	611.6
428.44	602.2
428.848	606.8
429.235	624.6
429.644	612.6
430.053	606.8
430.461	625
430.87	644.2
431.279	638.4
431.666	619
432.075	631.2
432.484	647
432.893	640.4
433.302	660.2
433.711	695
434.099	670.4
434.508	667
434.918	674.4
435.327	711.2
435.737	700
436.125	703.4
436.534	718.8
436.944	735.2
437.353	747.4
437.763	769.6
438.173	750
438.561	779
438.971	765
439.381	785.8
439.791	797.6
440.201	791
440.589	809.6
440.999	823
441.409	832.6
441.819	817.2
442.23	836.6
442.619	847.2
443.029	863.2
443.439	849
443.85	860.2
444.26	866.6
444.649	863.6
445.06	868.6
445.471	867.4
445.881	878.2
446.292	900.8
446.682	915.4
447.092	892.6
447.503	942.4
447.914	899.6
448.325	918
448.715	895.2
449.126	881.4
449.537	912
449.948	909.2
450.338	906.6
450.75	919.8
451.161	915.2
451.572	934.6
451.984	914.2
452.374	911.4
452.786	925.4
453.197	935.6
453.609	934.8
