#lambda/nm	C1
208.295	538.6
208.67	488.6
209.045	447.6
209.419	442
209.794	611.6
210.169	592.8
210.544	703.2
210.919	610.8
211.295	594.6
211.67	607.8
212.045	605.2
212.421	601.2
212.796	638.8
213.172	607.2
213.547	599
213.923	601.8
214.299	601.4
214.675	609.8
215.051	615
215.427	612.8
215.803	625.4
216.179	611.2
216.555	597
216.932	620.4
217.308	608.6
217.684	607.8
218.061	617
218.438	613.4
218.814	600
219.191	614.2
219.568	603.2
219.945	602.2
220.322	606.8
220.699	616.4
221.076	615.6
221.453	608.8
221.83	598
222.208	600.2
222.585	599.8
222.962	611.2
223.34	602.8
223.717	613
224.095	598.2
224.473	598.8
224.851	601.2
225.229	594
225.607	617.4
225.985	606
226.363	607.8
226.741	600
227.119	603.6
227.497	621
227.876	598.2
228.254	614.8
228.633	611.2
229.011	607.6
229.39	618.2
229.769	614.2
230.148	610
230.527	619.6
230.905	612
231.284	603.8
231.664	601.6
232.043	620.2
232.422	613.6
232.801	596.6
233.181	609.4
233.56	604
233.94	600.4
234.319	593
234.699	609.8
235.079	640.4
235.458	637.2
235.838	618.8
236.218	595.2
236.598	596.4
236.978	603.6
237.358	596.4
237.738	605.6
238.119	608.2
238.499	597
238.88	605.6
239.26	615.2
239.641	592.6
240.021	601.8
240.402	599.4
240.783	604
241.163	594.4
241.544	609.4
241.925	594.2
242.306	617.6
242.687	607.8
243.069	608.8
243.45	615.6
243.831	597
244.212	602
244.594	642.2
244.975	608.6
245.357	604.2
245.739	603.2
246.12	606
246.502	615
246.884	599.4
247.266	604.4
247.648	606.4
248.03	614.8
248.412	607.4
248.794	611.6
249.176	600.4
249.559	615.2
249.941	592
250.323	602.2
250.706	603.2
251.089	601.6
251.471	609.2
251.854	606.8
252.237	599.4
252.62	618.4
253.002	605.2
253.385	608
253.769	613.4
254.152	603
254.535	605.2
254.918	597.2
255.301	606.4
255.685	600.2
256.068	599.2
256.452	623.8
256.835	604.2
257.219	608.4
257.603	622.2
257.986	593.4
258.37	613.6
258.754	592
259.138	613.8
259.522	606.4
259.906	601.4
260.29	609
260.675	609.6
261.059	611.6
261.443	598.6
261.828	616.6
262.212	609.4
262.597	606
262.981	600.4
263.366	603.8
263.751	604.4
264.136	602.6
264.521	600.8
264.906	594.6
265.291	614.6
265.676	608.2
266.061	610.6
266.446	616
266.831	604
267.217	627.4
267.602	605
267.987	606.2
268.373	603.2
268.759	611.8
269.144	616
269.53	606.4
269.916	601
270.302	595.4
270.688	607.2
271.074	605.2
271.46	613.4
271.846	632.8
272.232	604.2
272.618	597.4
273.004	599.6
273.391	609.8
273.777	618.4
274.164	608.4
274.55	609.2
274.937	607.8
275.324	600.4
275.71	615
276.097	612.4
276.484	603.2
276.871	603.6
277.258	601.8
277.645	590.2
278.032	603.4
278.419	599.2
278.807	605.8
279.194	591
279.581	598.8
279.969	607.6
280.356	607.6
280.744	604.4
281.131	620.8
281.519	614.4
281.907	599
282.295	597.4
282.682	606.6
283.07	610.2
283.458	609
283.846	614.8
284.235	619.6
284.623	615.4
285.011	599
285.399	610
285.788	604.2
286.176	593.8
286.565	610.4
286.953	593.8
287.342	600.8
287.731	605.2
288.119	597.2
288.508	595.6
288.897	606.4
289.286	590.6
289.675	598.8
290.064	610.2
290.453	602.2
290.821	606.2
291.21	620.2
291.599	596
291.989	613.4
292.378	616.8
292.768	631
293.157	610.8
293.547	611
293.936	604.6
294.326	600.8
294.716	611.8
295.106	605.6
295.496	609.2
295.886	613.2
296.276	614
296.666	599.6
297.056	599.6
297.446	602.4
297.836	625.2
298.227	607.6
298.617	604.2
299.008	621.6
299.398	607.6
299.789	603
300.179	604.2
300.57	620.4
300.961	603.6
301.352	601.8
301.742	605.8
302.133	600.6
302.524	597
302.915	610
303.307	600.4
303.698	608.4
304.089	615.6
304.48	600
304.872	609.4
305.263	612.4
305.655	600
306.046	606.6
306.438	610
306.829	602.2
307.221	615.4
307.613	616.2
308.005	615.8
308.397	620
308.789	621.6
309.181	628.2
309.573	618
309.965	621.8
310.357	603.6
310.749	618.4
311.142	595.8
311.534	604.8
311.926	606
312.319	610.4
312.711	597
313.104	618.2
313.497	606.6
313.889	634.4
314.282	617.4
314.675	624.6
315.068	603
315.461	615.4
315.854	636.2
316.247	608.6
316.64	612.2
317.033	607.6
317.405	619.2
317.798	610.8
318.192	612.6
318.585	599.8
318.979	607.2
319.372	598.4
319.766	602.8
320.16	612.2
320.553	614.2
320.947	621.6
321.341	595.6
321.735	609.6
322.129	588
322.523	630
322.917	601.8
323.311	618.8
323.705	608.2
324.099	609.2
324.494	614.6
324.888	613.4
325.282	607.2
325.677	618.4
326.071	616
326.466	614.2
326.861	603.6
327.255	616.4
327.65	609.4
328.045	622.2
328.44	607.4
328.835	608.2
329.23	601.2
329.625	626.8
330.02	600.4
330.415	630
330.81	611.8
331.206	614.6
331.601	609.2
331.996	613.6
332.37	631.2
332.766	594
333.161	628.8
333.557	600.8
333.953	610.8
334.348	942.4
334.744	607.4
335.14	610
335.536	601.2
335.932	623.6
336.328	602.8
336.724	619.8
337.12	608.8
337.516	609.8
337.913	609.4
338.309	617.4
338.705	605
339.102	609.4
339.498	596.6
339.895	620.8
340.291	601.2
340.688	604.6
341.085	588.6
341.481	607.8
341.878	604
342.275	614.2
342.672	599.6
343.069	598.8
343.466	590
343.842	608.4
344.239	592
344.636	597
345.033	593
345.431	598.8
345.828	605.2
346.225	599.2
346.623	624.4
347.02	600.8
347.418	617.6
347.816	612.8
348.213	589.4
348.611	612.4
349.009	599.2
349.407	624
349.805	592.2
350.203	594.6
350.601	621
350.999	597
351.397	644
351.795	607
352.193	611.2
352.57	614.4
352.969	615.8
353.367	592.6
353.766	591.2
354.164	595.6
354.563	608.8
354.961	609
355.36	600.4
355.759	604.4
356.158	596.8
356.557	600.6
356.956	603
357.355	591.8
357.754	614.8
358.153	606.4
358.552	623.6
358.951	597.4
359.35	613.8
359.75	601.6
360.149	598.2
360.527	596.6
360.926	594.8
361.326	600.4
361.726	599
362.125	599.2
362.525	609.6
362.925	600
363.325	602
363.724	609.6
364.124	598.6
364.524	598.8
364.924	598.4
365.324	608.6
365.725	589
366.125	611.2
366.525	601
366.904	590.4
367.304	585.4
367.705	621
368.105	603.8
368.506	590.8
368.906	604
369.307	596.4
369.708	605.2
370.108	589
370.509	598
370.91	597.4
371.311	588.8
371.712	603.6
372.113	595.4
372.514	589.8
372.894	592
373.295	592.6
373.696	615.4
374.097	608.8
374.499	616.6
374.9	600.8
375.301	589.2
375.703	603.2
376.105	596.6
376.506	603
376.908	601.6
377.309	604.6
377.711	607
378.113	597
378.493	593.4
378.895	590.8
379.297	601.6
379.699	590.2
380.102	598
380.504	589.4
380.906	586.2
381.308	620.6
381.71	593.2
382.113	603
382.515	596
382.918	597.8
383.299	594
383.701	604.8
384.104	597.4
384.507	580.6
384.909	601
385.312	593.2
385.715	596.2
386.118	592.2
386.521	591.6
386.924	598.8
387.327	592.8
387.709	594.2
388.112	583.6
388.515	593.8
388.918	587.8
389.322	605.2
389.725	597.2
390.129	618.4
390.532	597.6
390.936	596.8
391.339	589
391.743	590.6
392.125	592.8
392.529	609
392.933	614.2
393.337	606.2
393.74	596
394.144	599.6
394.548	590.4
394.953	592.4
395.357	603.8
395.761	595.4
396.144	600
396.548	599.4
396.952	608.4
397.357	596.8
397.761	596.8
398.166	592.6
398.57	588
398.975	581.2
399.379	604.2
399.763	640
400.168	595.4
400.572	600
400.977	594.8
401.382	620
401.787	598.6
402.192	610.4
402.597	610.6
403.002	591.4
403.386	610
403.791	616.4
404.197	591
404.602	604.8
405.007	597.2
405.413	595
405.818	596.8
406.224	601.2
406.608	597.8
407.014	589
407.42	610.8
407.825	595.8
408.231	602.2
408.637	595.8
409.043	610.2
409.449	592
409.834	592
410.24	603.8
410.646	611.4
411.052	614.2
411.458	602.4
411.865	605
412.271	610.4
412.677	598.6
413.062	600.4
413.469	595
413.875	621.8
414.282	609.8
414.689	600.4
415.095	606.6
415.502	594.2
415.888	596.8
416.294	584.2
416.701	638
417.108	598.8
417.515	604.4
417.923	594.6
418.33	619.8
418.715	610.4
419.123	598.6
419.53	592.8
419.937	603.2
420.345	620.2
420.752	598.6
421.16	612.8
421.546	603.4
421.953	614
422.361	598
422.769	600.2
423.177	589.2
423.585	618.2
423.992	616.6
424.379	606.8
424.787	626
425.195	616.4
425.603	611.2
426.011	607.8
426.419	617
426.806	605.8
427.214	605.2
427.623	621.6
428.031	617.6
428.44	612.8
428.848	612.2
429.235	624.8
429.644	618
430.053	611.8
430.461	638.2
430.87	643.8
431.279	630.8
431.666	619.8
432.075	629.6
432.484	641.4
432.893	653.6
433.302	679.4
433.711	698.4
434.099	676
434.508	674.8
434.918	677.8
435.327	699.6
435.737	707.6
436.125	717.8
436.534	726.8
436.944	725.6
437.353	737.2
437.763	760.8
438.173	739.8
438.561	769.8
438.971	748.4
439.381	759.2
439.791	778.6
440.201	779.2
440.589	796.2
440.999	804
441.409	814.6
441.819	814
442.23	826.4
442.619	842.4
443.029	844.4
443.439	850
443.85	854
444.26	861.4
444.649	870.4
445.06	868.8
445.471	859.6
445.881	864.6
446.292	888
446.682	894.2
447.092	861.6
447.503	941.2
447.914	890.2
448.325	894.6
448.715	901.2
449.126	881.6
449.537	907
449.948	899.2
450.338	903.8
450.75	900.6
451.161	909.4
451.572	915.2
451.984	907.8
452.374	896.4
452.786	904.6
