#lambda/nm	C1
208.295	538.6
208.67	479.8
209.045	444.2
209.419	446.2
209.794	612.2
210.169	591.4
210.544	709.2
210.919	606.8
211.295	592.4
211.67	604.4
212.045	604.8
212.421	607.2
212.796	639.4
213.172	602
213.547	594.2
213.923	598.4
214.299	600.8
214.675	614.6
215.051	606.8
215.427	602.8
215.803	621.8
216.179	607.2
216.555	598.4
216.932	604.2
217.308	606.4
217.684	602
218.061	604
218.438	609.6
218.814	598.8
219.191	603.6
219.568	603.8
219.945	607
220.322	598
220.699	612.6
221.076	609.4
221.453	608
221.83	599.4
222.208	595
222.585	597.2
222.962	603
223.34	594.2
223.717	604
224.095	600.2
224.473	613
224.851	598.8
225.229	598.2
225.607	611.2
225.985	589.2
226.363	604.8
226.741	607
227.119	603
227.497	618.2
227.876	593.6
228.254	611.6
228.633	614
229.011	608.8
229.39	619.8
229.769	609
230.148	610.8
230.527	621.8
230.905	608
231.284	608.2
231.664	601.8
232.043	608.4
232.422	602.2
232.801	604
233.181	610.2
233.56	607.2
233.94	602
234.319	594
234.699	596.8
235.079	639.6
235.458	637
235.838	622.2
236.218	599.4
236.598	590.4
236.978	604.6
237.358	596.2
237.738	603.6
238.119	615.4
238.499	595
238.88	612.4
239.26	617.4
239.641	593.4
240.021	603.4
240.402	603.4
240.783	599.6
241.163	604.2
241.544	614.8
241.925	605.8
242.306	608
242.687	613.6
243.069	600
243.45	613.4
243.831	598.4
244.212	604.2
244.594	630.4
244.975	607.8
245.357	609
245.739	602.8
246.12	603.4
246.502	615.2
246.884	603
247.266	598.4
247.648	609
248.03	622.8
248.412	608
248.794	608
249.176	604
249.559	617
249.941	596.8
250.323	599.2
250.706	600.2
251.089	603.8
251.471	615.2
251.854	608.4
252.237	602.2
252.62	616.6
253.002	602.2
253.385	602.2
253.769	609.8
254.152	601
254.535	609.6
254.918	593.6
255.301	604
255.685	604
256.068	599.4
256.452	621.4
256.835	615.2
257.219	608
257.603	617
257.986	598.2
258.37	613.6
258.754	591.4
259.138	610.8
259.522	621.8
259.906	602.8
260.29	599.6
260.675	606.2
261.059	603.6
261.443	594
261.828	608
262.212	610
262.597	597.4
262.981	599.6
263.366	611.8
263.751	598.4
264.136	600.4
264.521	603.2
264.906	591.2
265.291	620.6
265.676	603.2
266.061	610
266.446	623
266.831	603.2
267.217	619
267.602	605.4
267.987	609.4
268.373	603.6
268.759	615.4
269.144	606.6
269.53	607.6
269.916	602.6
270.302	599
270.688	609.8
271.074	610.2
271.46	616.4
271.846	627.6
272.232	607.6
272.618	593.4
273.004	602.6
273.391	616.8
273.777	623.6
274.164	610.8
274.55	620.4
274.937	611
275.324	609
275.71	614.4
276.097	613.2
276.484	596.2
276.871	610.2
277.258	607.8
277.645	602.6
278.032	605
278.419	602.2
278.807	609.8
279.194	602.8
279.581	598.4
279.969	611.4
280.356	607.4
280.744	609.8
281.131	627.8
281.519	617.8
281.907	605.8
282.295	601
282.682	616.4
283.07	608.8
283.458	609.2
283.846	612.6
284.235	612.2
284.623	613.4
285.011	594.6
285.399	616.8
285.788	605.4
286.176	601
286.565	616
286.953	599.4
287.342	596.6
287.731	597
288.119	594.6
288.508	600.2
288.897	607.2
289.286	594
289.675	604.8
290.064	611
290.453	604.2
290.821	602.6
291.21	616.6
291.599	597.4
291.989	599.4
292.378	604.6
292.768	623.2
293.157	603.4
293.547	617.4
293.936	599.8
294.326	604
294.716	601.6
295.106	604.2
295.496	613.4
295.886	614.8
296.276	604.4
296.666	598.6
297.056	607.4
297.446	596.4
297.836	626
298.227	605.8
298.617	603.8
299.008	618
299.398	608
299.789	602.4
300.179	619.6
300.57	623.4
300.961	602.6
301.352	607.4
301.742	619.6
302.133	611.2
302.524	601.6
302.915	607.8
303.307	603.2
303.698	608.6
304.089	612.8
304.48	604.8
304.872	605.6
305.263	605.4
305.655	607
306.046	616.2
306.438	617.8
306.829	598.4
307.221	620.6
307.613	612.6
308.005	610.6
308.397	616
308.789	625.4
309.181	627
309.573	620
309.965	619.4
310.357	603.2
310.749	620
311.142	603
311.534	600.8
311.926	605.8
312.319	607.6
312.711	595.6
313.104	617.6
313.497	603
313.889	639.8
314.282	624.6
314.675	617.6
315.068	616.4
315.461	613.8
315.854	633.4
316.247	610.8
316.64	604
317.033	609.2
317.405	604.8
317.798	600.6
318.192	605.6
318.585	597.2
318.979	611.8
319.372	592.8
319.766	606.2
320.16	602.8
320.553	621
320.947	623.4
321.341	608
321.735	594.2
322.129	592
322.523	624.4
322.917	597.4
323.311	614.8
323.705	614.8
324.099	607.6
324.494	621.2
324.888	616
325.282	607.8
325.677	615.6
326.071	610.6
326.466	613.8
326.861	613.4
327.255	622.6
327.65	623.2
328.045	619.2
328.44	606.4
328.835	604.8
329.23	602.4
329.625	633.2
330.02	595
330.415	631
330.81	609.8
331.206	612.4
331.601	608.4
331.996	619.6
332.37	626.6
332.766	598.6
333.161	622.8
333.557	606.2
333.953	618.8
334.348	946.4
334.744	611.8
335.14	605.2
335.536	604.6
335.932	618.6
336.328	605.2
336.724	616.8
337.12	612.8
337.516	612.6
337.913	614
338.309	613.4
338.705	603.8
339.102	609.2
339.498	598.4
339.895	617
340.291	598.4
340.688	613
341.085	594.6
341.481	600.4
341.878	603.2
342.275	622.6
342.672	601.2
343.069	598.4
343.466	592.6
343.842	615.4
344.239	594.4
344.636	606.6
345.033	593.6
345.431	596.2
345.828	604.2
346.225	604.2
346.623	644.2
347.02	607
347.418	617
347.816	621.8
348.213	596.2
348.611	611
349.009	601.2
349.407	616
349.805	593
350.203	584.2
350.601	618.2
350.999	603.6
351.397	655.6
351.795	607.4
352.193	602.2
352.57	608
352.969	618.6
353.367	594.8
353.766	592.2
354.164	601.4
354.563	608
354.961	602.4
355.36	599.6
355.759	609.2
356.158	600.6
356.557	594
356.956	595.6
357.355	589.4
357.754	611.2
358.153	599
358.552	627
358.951	599.6
359.35	607
359.75	595
360.149	595
360.527	592
360.926	594
361.326	607.2
361.726	600.4
362.125	602.4
362.525	599.4
362.925	597.8
363.325	599.6
363.724	601.8
364.124	597
364.524	596.4
364.924	599.6
365.324	613.2
365.725	589.6
366.125	595.2
366.525	604.6
366.904	595
367.304	579
367.705	610
368.105	610.8
368.506	600.6
368.906	601.2
369.307	591.8
369.708	602.2
370.108	589.2
370.509	602.2
370.91	592.6
371.311	603.8
371.712	604.2
372.113	591.4
372.514	591.4
372.894	601
373.295	592.4
373.696	605.8
374.097	613
374.499	630.4
374.9	589.4
375.301	599
375.703	599.2
376.105	591.8
376.506	609
