#lambda/nm	C1
208.295	531.6
208.67	475.4
209.045	443.4
209.419	441.6
209.794	608.2
210.169	597.2
210.544	705
210.919	614.4
211.295	597.8
211.67	611.6
212.045	607.2
212.421	606
212.796	639
213.172	609.8
213.547	598
213.923	600.2
214.299	610.6
214.675	619.4
215.051	619
215.427	620.8
215.803	622.6
216.179	611
216.555	604.8
216.932	609
217.308	605.6
217.684	604.8
218.061	606.8
218.438	621.8
218.814	606
219.191	601.2
219.568	599.6
219.945	601.6
220.322	613.8
220.699	616.4
221.076	616.6
221.453	614
221.83	598
222.208	588.6
222.585	604.6
222.962	610.6
223.34	611
223.717	607.2
224.095	604
224.473	612.8
224.851	601.4
225.229	597.8
225.607	622.6
225.985	596.4
226.363	609.2
226.741	616
227.119	610.8
227.497	621
227.876	602.4
228.254	610.2
228.633	614.8
229.011	610.6
229.39	613.2
229.769	610.6
230.148	610.8
230.527	621.4
230.905	596.4
231.284	611.6
231.664	594.4
232.043	616.6
232.422	614.2
232.801	606.6
233.181	608.6
233.56	609.6
233.94	613.4
234.319	588
234.699	602.6
235.079	635.4
235.458	640.6
235.838	617.2
236.218	599.6
236.598	600.6
236.978	597.2
237.358	605.4
237.738	598.2
238.119	610.4
238.499	590.6
238.88	608.8
239.26	621
239.641	597.6
240.021	598
240.402	611.6
240.783	605.4
241.163	607.6
241.544	610
241.925	605
242.306	625.4
242.687	614
243.069	606.2
243.45	626.8
243.831	607.6
244.212	604.6
244.594	645.4
244.975	615.6
245.357	602.4
245.739	602.8
246.12	607
246.502	615.8
246.884	603.8
247.266	607.4
247.648	605.4
248.03	621.6
248.412	604.8
248.794	614.8
249.176	604.4
249.559	618.4
249.941	599.4
250.323	602.6
250.706	599.2
251.089	603.2
251.471	604.8
251.854	596.2
252.237	603
252.62	607.4
253.002	603.2
253.385	602.8
253.769	612.6
254.152	598.6
254.535	618.2
254.918	603.4
255.301	600.4
255.685	593
256.068	591.2
256.452	622.6
256.835	612.6
257.219	614.4
257.603	614.2
257.986	593.4
258.37	611.2
258.754	596.6
259.138	614.8
259.522	609.8
259.906	606.4
260.29	609.2
260.675	610.4
261.059	607.8
261.443	600.8
261.828	613.8
262.212	611.4
262.597	595
262.981	611.6
263.366	619
263.751	608
264.136	608.6
264.521	606.2
264.906	594
265.291	612.6
265.676	603.6
266.061	611.8
266.446	618
266.831	603.4
267.217	625
267.602	614
267.987	610.8
268.373	607.6
268.759	610.4
269.144	612.4
269.53	611.4
269.916	610.4
270.302	610
270.688	615
