#lambda/nm	C1
208.295	555
208.67	500.4
209.045	459.4
209.419	451.8
209.794	594.2
210.169	575.6
210.544	667.6
210.919	592.6
211.295	580.2
211.67	591.6
212.045	586.2
212.421	577.8
212.796	615.2
213.172	586
213.547	579.6
213.923	583.8
214.299	575.8
214.675	595.2
215.051	590
215.427	594.8
215.803	604.6
216.179	594.2
216.555	585.6
216.932	590.8
217.308	591.6
217.684	587.6
218.061	588.6
218.438	593
218.814	575.8
219.191	590.8
219.568	587.8
219.945	586.2
220.322	597
220.699	589.8
221.076	593
221.453	592
221.83	582.8
222.208	577.4
222.585	581.8
222.962	582.4
223.34	583.6
223.717	582.6
224.095	583.6
224.473	581.8
224.851	571
225.229	567.4
225.607	599.2
225.985	580
226.363	584.6
226.741	582.8
227.119	579.2
227.497	599
227.876	583.2
228.254	588.8
228.633	585.8
229.011	588
229.39	594.2
229.769	583.8
230.148	587.6
230.527	595.2
230.905	587.4
231.284	589.6
231.664	588.4
232.043	589.2
232.422	589.2
232.801	581.8
233.181	591.8
233.56	581
233.94	585
234.319	574.6
234.699	585.2
235.079	617.6
235.458	621
235.838	596.2
236.218	574.8
236.598	568
236.978	582.2
237.358	582
237.738	577.4
238.119	587.2
238.499	571.8
238.88	590.4
239.26	590.6
239.641	576.6
240.021	579.4
240.402	582
240.783	578.4
241.163	587.8
241.544	591.6
241.925	585.4
242.306	596.2
242.687	589.4
243.069	587.8
243.45	594.6
243.831	585.8
244.212	581.4
244.594	612.2
244.975	588
245.357	583.2
245.739	578.6
246.12	587.8
246.502	599.2
246.884	587.2
247.266	582.2
247.648	593.2
248.03	602.2
248.412	591.8
248.794	597.8
249.176	578.4
249.559	591.8
249.941	583.6
250.323	576.6
250.706	584.2
251.089	579.8
251.471	585.4
251.854	586.4
252.237	579.6
252.62	592
253.002	586.2
253.385	588.4
253.769	589.8
254.152	578.2
254.535	599.4
254.918	583.8
255.301	587.4
255.685	586.2
256.068	582.6
256.452	599.8
256.835	596.8
257.219	595
257.603	598.8
257.986	584.6
258.37	584.8
258.754	575
259.138	581.8
259.522	593
259.906	585.6
260.29	592
260.675	580.2
261.059	584.8
261.443	577.6
261.828	589.8
262.212	581.2
262.597	576.6
262.981	581.6
263.366	588
263.751	581.2
264.136	579
264.521	579
264.906	574
265.291	590.4
265.676	582.8
266.061	592.6
266.446	598.8
266.831	586.2
267.217	596.2
267.602	595.8
267.987	583
268.373	591.4
268.759	596.2
269.144	593.2
269.53	587.4
269.916	585
270.302	581
270.688	589.8
