#lambda/nm	C1
208.295	556.6
208.67	499
209.045	462.6
209.419	455.2
209.794	602.8
210.169	585.2
210.544	679.6
210.919	595.2
211.295	573.6
211.67	587
212.045	592.8
212.421	589.2
212.796	622
213.172	585.2
213.547	591
213.923	592
214.299	593.2
214.675	594.2
215.051	594
215.427	598.2
215.803	597.6
216.179	599.8
216.555	586.4
216.932	599.2
217.308	596.2
217.684	594.2
218.061	600
218.438	600.2
218.814	590.8
219.191	599.8
219.568	589.2
219.945	589.8
220.322	599.2
220.699	594.4
221.076	597.2
221.453	596.6
221.83	585.6
222.208	589.6
222.585	583.6
222.962	599.6
223.34	592
223.717	593.4
224.095	587.2
224.473	589.8
224.851	583.4
225.229	577.4
225.607	610.8
225.985	585.6
226.363	588.6
226.741	591.6
227.119	590.2
227.497	603.6
227.876	586.6
228.254	594.6
228.633	588.8
229.011	596.4
229.39	594.8
229.769	597.4
230.148	598.4
230.527	608.8
230.905	592
231.284	593
231.664	588.4
232.043	603.6
232.422	603.2
232.801	589.6
233.181	599.2
233.56	584.8
233.94	595.4
234.319	579.2
234.699	588.6
235.079	632.6
235.458	614.4
235.838	599
236.218	580.8
236.598	586.2
236.978	580.4
237.358	587
237.738	582.8
238.119	592.4
238.499	577.6
238.88	588.4
239.26	596
239.641	582.2
240.021	594
240.402	586
240.783	589
241.163	587.2
241.544	594.8
241.925	592.6
242.306	600
242.687	593.2
243.069	595.6
243.45	592
243.831	579.2
244.212	593.6
244.594	616.4
244.975	602.2
245.357	592.4
245.739	585.8
246.12	578.2
246.502	589
246.884	582
247.266	582
247.648	592.4
248.03	602
248.412	598.6
248.794	588.8
249.176	586.2
249.559	593.6
249.941	581.6
250.323	586.8
250.706	580
251.089	590.4
251.471	598
251.854	585.8
252.237	580.2
252.62	598.4
253.002	583.8
253.385	592.4
253.769	602.8
254.152	586.2
254.535	601.8
254.918	582.6
255.301	580
255.685	584.2
256.068	578
256.452	606.4
256.835	594.4
257.219	594
257.603	596.8
257.986	583.4
258.37	595
258.754	588.8
259.138	591.4
259.522	595.2
259.906	588
260.29	591.2
260.675	587.4
261.059	590.8
261.443	579.2
261.828	593.6
262.212	596.4
262.597	587
262.981	589.4
263.366	589.8
263.751	592.6
264.136	590.2
264.521	580.2
264.906	581.8
265.291	599
265.676	583.6
266.061	585
266.446	603.8
266.831	594.2
267.217	604.4
267.602	590.8
267.987	589.4
268.373	586.4
268.759	601.4
269.144	603.2
269.53	589.2
269.916	588.2
270.302	580.6
270.688	598
271.074	587.4
271.46	595.2
271.846	617
272.232	588
272.618	585.8
273.004	584
273.391	600.4
273.777	598.6
274.164	593.8
274.55	600
274.937	593.2
275.324	579.4
275.71	592.8
276.097	596.4
276.484	586.8
276.871	597.8
277.258	594.2
277.645	579.4
278.032	588.2
278.419	579.2
278.807	591.2
279.194	583.6
279.581	589.4
279.969	591.8
280.356	591.6
280.744	589.2
281.131	611.2
281.519	598.4
281.907	588.2
282.295	590.6
282.682	603.4
283.07	597
283.458	594.2
283.846	595.2
284.235	602.8
284.623	602.4
285.011	587.8
285.399	597.4
285.788	592.8
286.176	580.4
286.565	602.6
286.953	589.6
287.342	587.4
287.731	584
288.119	584.2
288.508	591.2
288.897	590.8
289.286	586
289.675	592.2
290.064	597.6
290.453	587.8
290.821	591.2
291.21	604
291.599	583
291.989	591.4
292.378	597.6
292.768	602.8
293.157	599.6
293.547	596
293.936	582.6
294.326	586.6
294.716	597
295.106	590.6
295.496	599.4
295.886	592.6
296.276	595.6
296.666	587.8
297.056	583
297.446	582
297.836	598.4
298.227	585.6
298.617	597.4
299.008	598
299.398	588.4
299.789	584.6
300.179	593
300.57	602.4
300.961	589
301.352	587.8
301.742	594.8
302.133	601.2
302.524	589.6
302.915	587.2
303.307	581
303.698	601.6
304.089	593.6
304.48	589.6
304.872	591.2
305.263	586.6
305.655	587.6
306.046	592.4
306.438	587.2
306.829	591.4
307.221	602
307.613	596.4
308.005	608.2
308.397	598.6
308.789	605
309.181	605.6
309.573	601.8
309.965	601.6
310.357	594.4
310.749	607.8
311.142	586.4
311.534	589.2
311.926	592.4
312.319	584.6
312.711	587.2
313.104	603
313.497	593.4
313.889	621.2
314.282	610.4
314.675	617.6
315.068	586.8
315.461	595.6
315.854	622.2
316.247	599.2
316.64	594.4
317.033	589.6
317.405	594.6
317.798	597
318.192	595.2
318.585	587.8
318.979	596.2
319.372	583.6
319.766	595
320.16	598
320.553	610.2
320.947	603.6
321.341	586
321.735	588.8
322.129	579.6
322.523	605.4
322.917	579.2
323.311	590.8
323.705	593.2
324.099	598.2
324.494	599.8
324.888	595.8
325.282	583.2
325.677	600.4
326.071	593.8
326.466	600.6
326.861	591
327.255	604.4
327.65	603.4
328.045	600.4
328.44	598.8
328.835	590.4
329.23	584
329.625	610.4
330.02	578.2
330.415	610.2
330.81	596.6
331.206	596.8
331.601	584.6
331.996	594.4
332.37	604.8
332.766	572
333.161	613.8
333.557	584
333.953	589.6
334.348	899.4
334.744	594
335.14	585.6
335.536	582.8
335.932	601.4
336.328	591.4
336.724	600.4
337.12	589.6
337.516	597.2
337.913	587.4
338.309	599.4
338.705	586.8
339.102	601.4
339.498	590.4
339.895	606.6
340.291	588.8
340.688	595.2
341.085	584.4
341.481	599.4
341.878	591.6
342.275	611.2
342.672	587.2
343.069	582.8
343.466	578.4
343.842	591.4
344.239	582.6
344.636	588.6
345.033	587.6
345.431	583.8
345.828	587.6
346.225	583
346.623	611.6
347.02	586.6
347.418	597.4
347.816	594.4
348.213	581.2
348.611	593.6
349.009	586.8
349.407	594.6
349.805	576.2
350.203	575.4
350.601	587.6
350.999	584.6
351.397	631.6
351.795	589.2
352.193	594.2
352.57	597
352.969	600.2
353.367	572.2
353.766	580.8
354.164	600.2
354.563	593
354.961	586.2
355.36	590.2
355.759	592.2
356.158	578
356.557	581.6
356.956	580.8
357.355	579.2
357.754	594.4
358.153	593
358.552	608.6
358.951	589.6
359.35	595.4
359.75	583
360.149	580
360.527	569.2
360.926	577
361.326	591.8
361.726	583.6
362.125	582
362.525	590.8
362.925	579.4
363.325	585.2
363.724	588.6
364.124	579.4
364.524	570
364.924	580.8
365.324	598.4
365.725	571.6
366.125	589.4
366.525	582.8
366.904	578
367.304	570.8
367.705	598.8
368.105	596.4
368.506	582
368.906	584.6
369.307	578.4
369.708	592.4
370.108	569
370.509	583.8
370.91	579.6
371.311	585.6
371.712	588
372.113	585.6
372.514	576.4
372.894	584.8
373.295	583.6
373.696	591.8
374.097	593
374.499	609.2
374.9	586
375.301	571.4
375.703	583.8
376.105	577.8
376.506	589.8
376.908	589
377.309	589.4
377.711	584.4
378.113	581.6
378.493	581.4
378.895	577.4
379.297	593.8
379.699	582.6
380.102	594
380.504	591.2
380.906	568
381.308	605.4
381.71	583.8
382.113	594.4
382.515	584.4
382.918	585.8
383.299	588.4
383.701	585.6
384.104	585
384.507	576.8
384.909	580.8
385.312	568
385.715	572.6
386.118	581.6
386.521	575.4
386.924	595.4
387.327	582.2
387.709	569
388.112	570
388.515	584
388.918	579
389.322	587
389.725	573.8
390.129	605.2
390.532	590
390.936	581.2
391.339	575.2
391.743	587.2
392.125	581.6
392.529	591.8
392.933	595.6
393.337	588.4
393.74	584.8
394.144	583.2
394.548	573.8
394.953	579.8
395.357	590.8
395.761	576.8
396.144	576.8
396.548	576.4
396.952	580.8
397.357	581.2
397.761	579.4
398.166	578.6
398.57	581.2
398.975	570.6
399.379	586.8
399.763	619.2
400.168	582.2
400.572	575.4
400.977	579.6
401.382	591.4
401.787	590.6
402.192	589.4
402.597	588
403.002	574.6
403.386	591.2
403.791	596.8
404.197	578
404.602	576.6
405.007	590.2
405.413	580.4
405.818	586.6
406.224	579
406.608	587.2
407.014	568.8
407.42	607.6
407.825	578.6
408.231	595.6
408.637	588.4
409.043	594.8
409.449	581.8
409.834	581.2
410.24	578.8
410.646	592
411.052	593.6
411.458	582
411.865	588.6
412.271	592
412.677	585
413.062	591.2
413.469	570.6
413.875	605.4
414.282	593.4
414.689	591.4
415.095	597.4
415.502	579.2
415.888	587
416.294	575.6
416.701	618.6
417.108	578.6
417.515	589.4
417.923	584
418.33	598.6
418.715	593.2
419.123	580.4
419.53	577
419.937	585.4
420.345	596.6
420.752	581.6
421.16	590.4
421.546	579.8
421.953	582
422.361	581.2
422.769	580.6
423.177	569.2
423.585	607.2
423.992	604.6
424.379	587.8
424.787	594.6
425.195	607.6
425.603	577.2
426.011	595
426.419	595.4
426.806	581.8
427.214	586.8
427.623	600.6
428.031	596.2
428.44	584.2
428.848	593.4
429.235	597.4
429.644	580.6
430.053	590
430.461	599
430.87	603.6
431.279	595.2
431.666	576.2
432.075	589.8
432.484	585.8
432.893	585.4
433.302	599.2
433.711	615
434.099	584.4
434.508	577.4
434.918	579.8
435.327	598.6
435.737	585.8
436.125	585.6
436.534	588.8
436.944	587
437.353	587.4
437.763	606.8
438.173	579.6
438.561	594.4
438.971	573.2
439.381	583.8
439.791	586.2
440.201	569.8
440.589	579.2
440.999	589.8
441.409	580.4
441.819	569.6
442.23	587.2
442.619	592.2
443.029	580.6
443.439	582.2
443.85	588.2
444.26	593.6
444.649	585.2
445.06	577
445.471	574
445.881	584
446.292	603.6
446.682	601
447.092	568.6
447.503	627.4
447.914	582.2
448.325	582
448.715	569
449.126	578.2
449.537	583
449.948	580.2
450.338	574.2
450.75	591.8
451.161	585.2
451.572	587.4
451.984	567.4
452.374	564.6
452.786	573.2
453.197	580.2
453.609	584
453.999	571
454.411	575.8
454.823	590.6
455.235	587.6
455.647	579.6
456.037	579.8
456.449	572.6
456.862	581
457.274	574
457.665	568.2
458.077	589.4
458.489	608.2
458.902	584
459.293	588.8
459.705	586
460.118	578.6
460.53	585.6
460.921	586.2
461.334	583
461.747	577.2
462.16	590.6
462.551	588
462.964	584.8
463.377	571.2
463.79	573.4
464.182	584.6
464.595	574.2
465.008	580.4
465.421	586.6
465.813	574.6
466.226	594.4
466.64	584.2
467.053	613.4
467.445	587.4
467.859	604.8
468.272	582.2
468.686	583.6
469.078	580.4
469.492	570.2
469.906	590.4
470.298	589.2
470.712	575.8
471.126	614
471.54	570.6
471.933	579.6
472.347	581.4
472.761	573.2
473.175	576
473.568	572.8
473.982	571.6
474.397	585.8
474.79	583.4
475.204	577
475.619	579.4
476.033	584
476.426	579
476.841	576.6
477.256	601
477.649	574
478.064	574
478.479	571.8
478.872	566.4
479.287	565.2
479.702	566.8
480.118	580.6
480.511	580
480.927	581
481.342	569
481.736	577.2
482.151	577
482.566	584
482.96	578.2
483.376	579.8
483.792	563.2
484.186	576.8
484.602	575.4
485.017	577.2
485.412	573.8
485.827	580.8
486.243	575.8
486.638	600.6
487.054	584.4
487.47	587
487.865	572.6
488.281	570.8
488.697	573.4
489.092	576.8
489.508	575.8
489.925	589
490.32	569
490.736	577.6
491.153	583.2
491.548	578.8
491.964	585.8
492.381	563.6
492.776	573
493.193	583
493.61	583.6
494.006	576
494.422	581.4
494.84	565.4
495.235	582.6
495.652	566.6
496.069	581.2
496.465	571.8
496.883	574.4
497.3	592.6
497.696	570
498.113	582.6
498.509	573.4
498.927	568
499.344	566.6
499.741	564.6
500.158	586.6
500.576	581
500.973	573.4
501.39	571
501.787	567.4
502.205	575.4
502.623	566.6
503.02	566.4
503.438	563.8
503.856	578.2
504.253	577
504.671	577.6
505.068	567.4
505.486	580
505.905	586.8
506.302	573.2
506.72	588
507.118	560.6
507.536	572.6
507.955	574.4
508.352	578.6
508.771	576.2
509.169	578
509.587	567.4
510.006	575
510.404	574.6
510.823	575
511.221	572.8
511.64	567.6
512.038	580.2
512.457	571
512.877	574.8
513.275	571.2
513.694	570.6
514.092	568
514.512	572.8
514.91	577
515.33	568.8
515.749	573.6
516.148	571.2
516.568	582
516.966	576.2
517.386	570.2
517.785	571.6
518.205	563.6
518.603	577.2
519.024	568
519.444	569.8
519.843	586
520.263	585
520.662	579
521.082	574.2
521.481	570.6
521.902	572.6
522.301	581
522.722	579.4
523.121	570
523.542	568.8
523.963	573.2
524.362	573.4
524.783	583.6
525.183	571.8
525.604	579
526.003	566.2
526.425	568.8
526.824	575.2
527.246	584.8
527.646	583.6
528.067	569.6
528.467	577
528.888	576.6
529.289	573.6
529.71	573.4
530.11	565.6
530.532	566.6
530.932	569.6
531.354	564.8
531.755	595.4
532.176	586
532.577	575.8
532.999	564
533.4	571.6
533.822	578.6
534.223	581
534.645	577.4
535.046	567.2
535.468	577.8
535.869	592
536.292	572.6
536.693	599
537.115	574
537.516	565.8
