#lambda/nm	C1
208.295	560.6
208.67	495.6
209.045	458.8
209.419	456.8
209.794	598.8
210.169	581.2
210.544	681.8
210.919	597.2
211.295	584.4
211.67	593.8
212.045	587.2
212.421	583.6
212.796	620.4
213.172	583.6
213.547	591.4
213.923	590.6
214.299	585.8
214.675	597.2
215.051	597.4
215.427	604.6
215.803	607.4
216.179	600.4
216.555	587
216.932	595.8
217.308	591.8
217.684	590
218.061	597
218.438	600
218.814	587.8
219.191	595.4
219.568	585.4
219.945	588.6
220.322	597.6
220.699	602.6
221.076	593.6
221.453	591
221.83	583.2
222.208	578
222.585	591
222.962	586
223.34	594.6
223.717	590.8
224.095	594
224.473	588.4
224.851	591.4
225.229	593.2
225.607	605.4
225.985	580.6
226.363	589
226.741	588.8
227.119	588.4
227.497	602.8
227.876	571.6
228.254	589.6
228.633	587.4
229.011	595
229.39	593
229.769	587.6
230.148	597.6
230.527	608.4
230.905	590.2
231.284	583.4
231.664	580.8
232.043	598.2
232.422	592.6
232.801	582.2
233.181	589.2
233.56	580
233.94	579.2
234.319	577.2
234.699	587.6
235.079	618.6
235.458	619.4
235.838	594
236.218	595.4
236.598	580.8
236.978	588
237.358	583.8
237.738	584.2
238.119	594.8
238.499	585.4
238.88	588.6
239.26	599.4
239.641	580
240.021	585.8
240.402	586
240.783	582.8
241.163	588.2
241.544	587.4
241.925	589.8
242.306	604.2
242.687	595.6
243.069	594.4
243.45	599
243.831	589.2
244.212	593
244.594	632.4
244.975	596.2
245.357	601.4
245.739	586.2
246.12	592.2
246.502	598.8
246.884	593
247.266	583.8
247.648	591.8
248.03	610.4
248.412	594.2
248.794	595.2
249.176	583.6
249.559	601.8
249.941	591.4
250.323	576.8
250.706	583
251.089	593.4
251.471	590.8
251.854	593.6
252.237	584.6
252.62	595.6
253.002	589.6
253.385	580.6
253.769	607
254.152	586.2
254.535	594.8
254.918	575.4
255.301	588.2
255.685	593.2
256.068	585.4
256.452	614.2
256.835	598
257.219	597
257.603	597.2
257.986	586
258.37	598.8
258.754	586.2
259.138	592.2
259.522	599.2
259.906	583.4
260.29	596.6
260.675	585.2
261.059	579.8
261.443	586
261.828	598
262.212	588.2
262.597	587
262.981	591.8
263.366	587.2
263.751	588.8
264.136	586.4
264.521	587.6
264.906	582.6
265.291	601.4
265.676	586
266.061	591
266.446	606.8
266.831	588.2
267.217	604.8
267.602	585.6
267.987	590.2
268.373	585.2
268.759	597
269.144	588.4
269.53	590
269.916	596.2
270.302	583.4
270.688	592.8
271.074	597.4
271.46	604.6
271.846	611.4
272.232	595.2
272.618	592.8
273.004	582.4
273.391	601.6
273.777	600.8
274.164	595.8
274.55	596.2
274.937	592.2
275.324	587.6
275.71	593.2
276.097	592
276.484	578.6
276.871	587.2
277.258	591.6
277.645	584.2
278.032	589.2
278.419	586.6
278.807	595.2
279.194	583
279.581	595.6
279.969	586.8
280.356	597.4
280.744	593.6
281.131	612.8
281.519	599.6
281.907	583
282.295	584.6
282.682	598.8
283.07	594.2
283.458	607.2
283.846	595.6
284.235	599.8
284.623	597
285.011	581.2
285.399	589
285.788	592.6
286.176	582.6
286.565	599.8
286.953	587
287.342	583.6
287.731	587
288.119	584.4
288.508	579
288.897	591
289.286	582
289.675	591.4
290.064	599.8
290.453	584
290.821	596.6
291.21	603.2
291.599	589.8
291.989	581.8
292.378	593.6
292.768	607.6
