#lambda/nm	C1
208.295	555.4
208.67	496.4
209.045	458.2
209.419	454
209.794	592.4
210.169	582.2
210.544	683.4
210.919	594.2
211.295	585.8
211.67	591.6
212.045	590.8
212.421	583
212.796	624.8
213.172	586
213.547	586.2
213.923	585.6
214.299	586.2
214.675	603.8
215.051	596.6
215.427	598.2
215.803	613.6
216.179	597.8
216.555	587.2
216.932	598.6
217.308	598
217.684	596.4
218.061	602.8
218.438	594
218.814	589.8
219.191	601.4
219.568	586.8
219.945	585
220.322	598.2
220.699	600.4
221.076	596
221.453	590.4
221.83	580.6
222.208	588
222.585	591.2
222.962	591.4
223.34	592
223.717	591
224.095	596.8
224.473	589
224.851	586
225.229	577.6
225.607	600.4
225.985	581.6
226.363	596.6
226.741	589.4
227.119	585.4
227.497	600.6
227.876	580
228.254	604.4
228.633	595.2
229.011	600.2
229.39	597.2
229.769	598
230.148	592.4
230.527	603.6
230.905	589.4
231.284	607.6
231.664	583
232.043	591
232.422	592.6
232.801	590.2
233.181	596.2
233.56	587.2
233.94	597.2
234.319	577.8
234.699	590.6
235.079	621
235.458	622.6
235.838	601.6
236.218	589
236.598	588.2
236.978	582.4
237.358	593.8
237.738	590.6
238.119	595
238.499	580
238.88	586.6
239.26	599.4
239.641	583.2
240.021	592.2
240.402	591.4
240.783	592
241.163	590.6
241.544	595.8
241.925	593.4
242.306	600
242.687	594.8
243.069	587.6
243.45	600.6
243.831	593
244.212	594.4
244.594	616.6
244.975	600.4
245.357	586.6
245.739	589
246.12	592
246.502	595.2
246.884	590.6
247.266	590.2
247.648	596.8
248.03	614.4
248.412	592.8
248.794	596
249.176	593
249.559	597
249.941	585.8
250.323	587
250.706	582.2
251.089	594.4
251.471	588.8
251.854	594.4
252.237	594.6
252.62	598.8
253.002	589.6
253.385	591.8
253.769	605.8
254.152	601.2
254.535	600.8
254.918	577.8
255.301	601.2
255.685	591.8
256.068	581.8
256.452	611.4
256.835	601.2
257.219	602
257.603	603.4
257.986	585.6
258.37	599
258.754	585
259.138	597.2
259.522	597.6
259.906	587.6
260.29	604.6
260.675	594.2
261.059	593.4
261.443	583.8
261.828	595.6
262.212	587.6
262.597	583.2
262.981	586.2
263.366	596.4
263.751	588.4
264.136	594.2
264.521	580.6
264.906	590
265.291	600
265.676	586.8
266.061	589.4
266.446	607
266.831	585.8
267.217	610.2
267.602	589.4
267.987	592.6
268.373	581.4
268.759	602.4
269.144	590.4
269.53	590.8
269.916	587.8
270.302	582.4
270.688	589.4
271.074	593
271.46	599.6
271.846	616
272.232	590.8
272.618	584.6
273.004	588.2
273.391	587.6
273.777	602.8
274.164	585.6
274.55	600
274.937	588.2
275.324	586.2
275.71	597
276.097	589.6
276.484	589
276.871	595.2
277.258	591.4
277.645	583.4
278.032	585.4
278.419	588.8
278.807	591.4
279.194	577
279.581	584
279.969	594.4
280.356	588.4
280.744	588.6
281.131	600.6
281.519	594.8
281.907	587.6
282.295	579
282.682	599.8
283.07	584.6
283.458	604.4
283.846	604
284.235	600
284.623	600.4
285.011	585
285.399	591.2
285.788	590.8
286.176	581.4
286.565	603.2
286.953	591.2
287.342	591.2
287.731	587.8
288.119	578.6
288.508	592
288.897	597.2
289.286	574
289.675	602.6
290.064	588.4
290.453	593.4
290.821	591.2
291.21	600.2
291.599	587.4
291.989	587.2
292.378	597.4
292.768	609.6
293.157	594
293.547	599.2
293.936	582.2
294.326	589.2
294.716	597.8
295.106	588.2
295.496	599.6
295.886	601
296.276	582.8
296.666	583.4
297.056	574.6
297.446	572
297.836	602.2
298.227	586.8
298.617	581.6
299.008	605.6
299.398	592.8
299.789	587.8
300.179	593.8
300.57	598.2
300.961	579.6
301.352	592.8
301.742	596
302.133	588
302.524	589.6
302.915	590
303.307	588.2
303.698	597.6
304.089	587
304.48	586.8
304.872	594.2
305.263	589.8
305.655	583.2
306.046	586.4
306.438	599.2
306.829	579.8
307.221	603
307.613	591.8
308.005	597
308.397	602.4
308.789	608
309.181	600.8
309.573	604.6
309.965	598.8
310.357	585.4
310.749	597.4
311.142	581.8
311.534	585.4
311.926	599.2
312.319	589.8
312.711	587
313.104	607.4
313.497	594.6
313.889	619.8
314.282	604.2
314.675	604.8
315.068	589.8
315.461	591
315.854	618.6
316.247	598.2
316.64	595.6
317.033	598.4
317.405	598
317.798	592.4
318.192	602
318.585	586.6
