#lambda/nm	C1
208.295	541
208.67	485
209.045	449.8
209.419	453.4
209.794	612
210.169	597
210.544	690.8
210.919	610.8
211.295	592
211.67	602.2
212.045	599
212.421	598.2
212.796	633.4
213.172	596.2
213.547	587.2
213.923	605.2
214.299	604.2
214.675	611
215.051	610
215.427	609.6
215.803	612.6
216.179	610.8
216.555	588
216.932	607.8
217.308	597
217.684	608
218.061	609.4
218.438	605.6
218.814	603
219.191	600.6
219.568	597.8
219.945	602.8
220.322	604.4
220.699	608.4
221.076	599.8
221.453	598.2
221.83	596.8
222.208	597
222.585	592.8
222.962	602.2
223.34	609.6
223.717	604.6
224.095	598.2
224.473	602
224.851	595.2
225.229	584.6
225.607	614.2
225.985	592
226.363	607.8
226.741	602.8
227.119	593.8
227.497	614.4
227.876	585.6
228.254	608.4
228.633	603
229.011	607.4
229.39	610.6
229.769	610
230.148	604.4
230.527	619.6
230.905	599.2
231.284	597.8
231.664	592.8
232.043	612.6
232.422	604.6
232.801	597.8
233.181	605.6
233.56	598
233.94	596.8
234.319	585.8
234.699	589.6
235.079	627.6
235.458	628.6
235.838	618.8
236.218	598.6
236.598	593.8
236.978	591.2
237.358	596.8
237.738	590.6
238.119	616.2
238.499	594.2
238.88	597.8
239.26	612
239.641	585.2
240.021	591
240.402	601.2
240.783	591.8
241.163	600.8
241.544	597.6
241.925	600.8
242.306	605.8
242.687	601
243.069	600.2
243.45	608.8
243.831	588.8
244.212	598.2
244.594	634.4
244.975	610
245.357	606.6
245.739	596.4
246.12	593.6
246.502	612.8
246.884	599.8
247.266	599.8
247.648	599
248.03	623.6
248.412	611.4
248.794	611.4
249.176	597.4
249.559	616.4
249.941	597.4
250.323	589.4
250.706	593.4
251.089	599.8
251.471	604.4
251.854	600.2
252.237	602.6
252.62	608.2
253.002	600.4
253.385	601.8
253.769	612.4
254.152	608.8
254.535	606.6
254.918	595.2
255.301	601.4
255.685	599.4
256.068	593.6
256.452	616
256.835	608.8
257.219	599.8
257.603	609.2
257.986	600.4
258.37	602.2
258.754	598.6
259.138	609
259.522	612.4
259.906	592.4
260.29	607.6
260.675	595.6
261.059	602.6
261.443	590
261.828	609.6
262.212	600.4
262.597	592.2
262.981	601.8
263.366	609.8
263.751	608
264.136	600.4
264.521	593.8
264.906	597.4
265.291	608
265.676	597
266.061	606
266.446	624.2
266.831	602
267.217	620.8
267.602	604.4
267.987	601.8
268.373	598.4
268.759	604.6
269.144	600.4
269.53	598.6
269.916	600.4
270.302	598.4
270.688	607.6
271.074	606
271.46	609
271.846	623.4
272.232	604.8
272.618	596.4
273.004	610.6
273.391	610.8
273.777	609.6
274.164	610.2
274.55	613
274.937	601.4
275.324	604.2
275.71	604.2
276.097	608.6
276.484	607.6
276.871	594.2
277.258	605.6
277.645	595.8
278.032	603
278.419	598.8
278.807	609.4
279.194	598.6
279.581	595.4
279.969	605.8
280.356	606.8
280.744	598.4
281.131	619
281.519	603
281.907	594.4
282.295	595.2
282.682	613.6
283.07	602.6
283.458	601.4
283.846	601
284.235	612.6
284.623	609.8
285.011	598.4
285.399	608.2
285.788	601.8
286.176	591
286.565	607.2
286.953	590.8
287.342	592.6
287.731	586.4
288.119	594.8
288.508	593.8
288.897	598.6
289.286	591.8
289.675	597.4
290.064	608.8
290.453	593
290.821	594.8
291.21	620.4
291.599	591.4
291.989	597.8
292.378	612
292.768	624.6
293.157	606.8
293.547	605
293.936	604.4
294.326	594
294.716	607.2
295.106	597.6
295.496	606.8
295.886	615.6
296.276	595.2
296.666	591.6
297.056	597.4
297.446	595.6
297.836	621.4
298.227	594.8
298.617	610.4
299.008	615
299.398	599.6
299.789	599.6
300.179	613.6
300.57	610.8
300.961	599.6
301.352	598.4
301.742	601.8
302.133	607.2
302.524	599.8
302.915	611
303.307	595.8
303.698	609.6
304.089	610.8
304.48	605.2
304.872	603.2
305.263	605
305.655	597.6
306.046	610.8
306.438	606.2
306.829	603
307.221	608.2
307.613	610
308.005	614.4
308.397	616
308.789	619.8
309.181	624.8
309.573	615.6
309.965	611.6
310.357	599.8
310.749	615.2
311.142	586.4
311.534	599.6
311.926	601.6
312.319	603.2
312.711	600.6
313.104	614.8
313.497	602.8
313.889	636.4
314.282	621
314.675	621.6
315.068	603.8
315.461	606
315.854	634.4
316.247	605.6
316.64	605
317.033	601.6
317.405	614.6
317.798	591.8
318.192	604.4
318.585	596.6
318.979	605.6
319.372	597.8
319.766	595.6
320.16	613.4
320.553	610.2
320.947	622.2
321.341	601.6
321.735	603
322.129	596.4
322.523	633.2
322.917	592.2
323.311	610.2
323.705	610.4
324.099	603.8
324.494	623
324.888	613.6
325.282	599
325.677	620.2
326.071	615
326.466	613.2
326.861	602.8
327.255	615.6
327.65	612
328.045	624.4
328.44	602.4
328.835	600.4
329.23	593.8
329.625	614.2
330.02	602.4
330.415	624.2
330.81	604
331.206	606.6
331.601	605.8
331.996	608.6
332.37	622
332.766	589.8
333.161	626.6
333.557	602
333.953	605.4
334.348	921.8
334.744	600.8
335.14	599.6
335.536	599.4
335.932	608.4
336.328	600.2
336.724	617.2
337.12	601.2
337.516	603.2
337.913	602
338.309	613.2
338.705	601.6
339.102	613.6
339.498	595.4
339.895	609.6
340.291	600.8
340.688	613.6
341.085	587.4
341.481	597.4
341.878	591.2
342.275	617
342.672	596.4
343.069	593.6
343.466	581.8
343.842	608.8
344.239	598.2
344.636	605
345.033	591.2
345.431	600.4
345.828	603.6
346.225	592
346.623	636.4
347.02	605.8
347.418	605.8
347.816	620.4
348.213	593.2
348.611	603.4
349.009	596.4
349.407	609.8
349.805	591.4
350.203	599.6
350.601	609.6
350.999	595
351.397	655.4
351.795	596
352.193	603.8
352.57	615
352.969	611.8
353.367	590.6
353.766	592.6
354.164	599
354.563	614
354.961	599.6
355.36	596.4
355.759	597.2
356.158	598
356.557	600.8
356.956	592.6
357.355	584.4
357.754	602.4
358.153	610.8
358.552	620.6
358.951	597.6
359.35	609
359.75	594.2
360.149	591.8
360.527	588
360.926	584.4
361.326	598
361.726	597.2
362.125	593.8
362.525	604.8
362.925	590.6
363.325	599.4
363.724	599.8
364.124	586.4
364.524	597
364.924	592.6
365.324	612.8
365.725	578.8
366.125	597.4
366.525	597.6
366.904	590.6
367.304	586.4
367.705	609.8
368.105	603.4
368.506	596.2
368.906	599.8
369.307	594
369.708	593
370.108	592.4
370.509	601.2
370.91	588.4
371.311	594.2
371.712	601.2
372.113	595.6
372.514	577.6
372.894	595.4
373.295	589.8
373.696	608.8
374.097	599.4
374.499	622.4
374.9	589.2
375.301	593.6
375.703	593.4
376.105	593.2
376.506	597.4
376.908	596.8
377.309	600
377.711	597.6
378.113	586.6
378.493	591
378.895	589.8
379.297	599.2
379.699	583.2
380.102	591
380.504	585.2
380.906	586.6
381.308	609.2
381.71	589.4
382.113	599.6
382.515	590
382.918	593.8
383.299	595.8
383.701	596.4
384.104	593.8
384.507	583.8
384.909	590.8
385.312	578.2
385.715	579.8
386.118	590.8
386.521	581.8
386.924	602.4
387.327	586
387.709	583.6
388.112	577.2
388.515	591
388.918	593.8
389.322	594.8
389.725	590.8
390.129	612.6
390.532	604.2
390.936	596.8
391.339	589.6
391.743	600
392.125	591.4
392.529	610.2
392.933	608.8
393.337	589.6
