#lambda/nm	C1
208.295	540.6
208.67	482.4
209.045	442.4
209.419	452.6
209.794	601.2
210.169	586.4
210.544	705.8
210.919	609.6
211.295	597.6
211.67	608.8
212.045	601.2
212.421	606.4
212.796	637.2
213.172	597.8
213.547	600.6
213.923	608.4
214.299	605.4
214.675	611.4
215.051	613.6
215.427	606.2
215.803	608.4
216.179	612
216.555	595.6
216.932	604.4
217.308	605.2
217.684	599
218.061	611.4
218.438	609
218.814	596.2
219.191	609.8
219.568	599.8
219.945	591.2
220.322	600.4
220.699	605
221.076	609.8
221.453	602.4
221.83	603.2
222.208	602.8
222.585	607.4
222.962	604.8
223.34	604.8
223.717	602.4
224.095	605.6
224.473	605.2
224.851	597.8
225.229	594
225.607	620
225.985	598
226.363	598.8
226.741	606.2
227.119	604.8
227.497	623
227.876	593.8
228.254	605.6
228.633	610
229.011	603.6
229.39	605
229.769	603.8
230.148	601.2
230.527	615.2
230.905	598.6
231.284	602.8
231.664	593.4
232.043	614.2
232.422	608.2
232.801	602.6
233.181	608.2
233.56	602.6
233.94	604.4
234.319	595.2
234.699	599.4
235.079	638.2
235.458	632.8
235.838	618.2
236.218	599.4
236.598	587.2
236.978	603.2
237.358	589
237.738	598
238.119	608.2
238.499	596.8
238.88	597.8
239.26	622
239.641	593.8
240.021	593.8
240.402	601.8
240.783	598.8
241.163	599.8
241.544	601.8
241.925	600.8
242.306	615.2
242.687	610.6
243.069	604
243.45	608
243.831	596
244.212	597.2
244.594	634
244.975	602.4
245.357	602.4
245.739	594
246.12	601
246.502	610.4
246.884	602.6
247.266	597.8
247.648	604.2
248.03	622.8
248.412	606.2
248.794	609.4
249.176	593.8
249.559	605.8
249.941	600.6
250.323	583.4
250.706	596
251.089	599.4
251.471	602.8
251.854	603.4
252.237	603.2
252.62	615.2
253.002	607.6
253.385	609.4
253.769	612
254.152	614.4
254.535	603.8
254.918	596
255.301	600.2
255.685	596.6
256.068	593.6
256.452	621.8
256.835	608.6
257.219	614.2
257.603	615.6
257.986	601
258.37	600.6
258.754	591.6
259.138	610.8
259.522	612.2
259.906	603.4
260.29	607
260.675	604.8
261.059	605
261.443	589.6
261.828	602
262.212	606.4
262.597	597.4
262.981	609
263.366	610.8
263.751	608
264.136	603.8
264.521	601.8
264.906	596.8
265.291	617.6
265.676	599
266.061	603.6
266.446	625.2
266.831	592.6
267.217	614.6
267.602	603.6
267.987	605.2
268.373	596.2
268.759	613.2
269.144	610.8
269.53	601
269.916	596
270.302	607.2
270.688	605
271.074	611.8
271.46	614.6
271.846	625.8
272.232	611.4
272.618	600.8
273.004	596.2
273.391	615.8
273.777	618.6
274.164	611.4
274.55	616.2
274.937	605
275.324	607
275.71	608
276.097	604.8
276.484	604.2
276.871	612
277.258	610.6
277.645	592.8
278.032	603.8
278.419	601.4
278.807	607.6
279.194	604.8
279.581	592.6
279.969	611.6
280.356	603.2
280.744	605.2
281.131	621.8
281.519	614.6
281.907	608.6
282.295	605.4
282.682	618
283.07	613.4
283.458	617.6
283.846	608.8
284.235	613.8
284.623	611
285.011	595.4
285.399	614
285.788	599.4
286.176	594.6
286.565	614.4
286.953	597.6
287.342	596.6
287.731	593.8
288.119	607.4
288.508	601.4
288.897	601.6
289.286	590.2
289.675	604.2
290.064	608.4
290.453	604
290.821	601
291.21	615.2
291.599	593
291.989	609.2
292.378	615.2
292.768	615.6
293.157	610.6
293.547	616.4
293.936	602.6
294.326	600.6
294.716	599.8
295.106	600.2
295.496	609.2
295.886	610.2
296.276	597.2
296.666	590
297.056	594.6
297.446	586
297.836	613.2
298.227	599.4
298.617	599.6
299.008	608.8
299.398	594.4
299.789	592.4
300.179	605.2
300.57	615
300.961	601.6
301.352	592.8
301.742	610.2
302.133	599
302.524	602.4
302.915	604.8
303.307	603.6
303.698	611.8
304.089	609.2
304.48	608.2
304.872	608.4
305.263	599.2
305.655	597.8
306.046	608.2
306.438	610.8
306.829	604.6
307.221	612.4
307.613	607
308.005	613
308.397	610
308.789	626.4
309.181	629.8
309.573	621
309.965	613.8
310.357	602.6
310.749	614.2
311.142	601.8
311.534	593.2
311.926	603
312.319	604.4
312.711	591.6
313.104	610.8
313.497	597.4
313.889	642
314.282	613
314.675	612.8
315.068	601.2
315.461	603.6
315.854	630.2
316.247	605
316.64	608.6
317.033	602.8
317.405	615
317.798	601.6
318.192	609
318.585	598.2
318.979	616.2
319.372	600.6
319.766	597.4
320.16	611.6
320.553	617
320.947	618.6
321.341	601.6
321.735	607.4
322.129	588.8
322.523	624.4
322.917	591.8
323.311	616.2
323.705	605.8
324.099	605.6
324.494	620.4
324.888	616.2
325.282	599
325.677	611.8
326.071	611.8
326.466	621.4
326.861	611.4
327.255	621.6
327.65	620
328.045	620.8
328.44	604.6
328.835	601.4
329.23	597
329.625	618.8
330.02	601.8
330.415	627.8
330.81	604
331.206	609.4
331.601	600.4
331.996	617
332.37	617.4
332.766	593.4
333.161	626
333.557	600.8
333.953	606
334.348	853.2
334.744	606.2
335.14	598
335.536	604.6
335.932	618.6
336.328	607
336.724	616.6
337.12	602.6
337.516	609.6
337.913	601.6
338.309	614.6
338.705	606.2
339.102	609.4
339.498	605.2
339.895	615.6
340.291	605
340.688	613
341.085	591.2
341.481	604.2
341.878	598.8
342.275	617.6
342.672	596.4
343.069	597.6
343.466	594.4
343.842	611.4
344.239	593.4
344.636	601.6
345.033	596
345.431	591.4
345.828	602.4
346.225	590
346.623	636.2
347.02	601.2
347.418	610.6
347.816	618.2
348.213	595
348.611	602.6
349.009	593.8
349.407	602.4
349.805	591.4
350.203	590.2
350.601	609.4
350.999	600.6
351.397	653.2
351.795	595
352.193	605.6
352.57	601
352.969	615.6
353.367	597.4
353.766	585.4
354.164	602.4
354.563	607
354.961	597
355.36	593.2
355.759	599.8
356.158	592.4
356.557	598.4
356.956	595.2
357.355	594.4
357.754	608
358.153	603.2
358.552	614.8
358.951	600.6
359.35	615.2
359.75	600
360.149	588.4
360.527	585.8
360.926	593.6
361.326	595.2
361.726	601.4
362.125	600
362.525	607.4
362.925	603.8
363.325	603.2
363.724	598.2
364.124	590.6
364.524	590
364.924	600.2
365.324	606.4
365.725	590.2
366.125	600.4
366.525	600
366.904	590.2
367.304	582
367.705	613
368.105	608.6
368.506	601.4
368.906	598.4
369.307	594
369.708	603.8
370.108	590.8
370.509	610
370.91	591.8
371.311	590.8
371.712	605
372.113	598.2
372.514	582.8
372.894	596.6
373.295	586.4
373.696	609.4
374.097	604
374.499	626.8
374.9	599.2
375.301	597.6
375.703	604.4
376.105	584.8
376.506	605
376.908	599.6
377.309	602.6
377.711	598.4
378.113	595.2
378.493	596.6
378.895	594.6
379.297	606.4
379.699	585
380.102	598.4
380.504	600.8
380.906	590.4
381.308	619.6
381.71	596.2
382.113	595.2
382.515	589
382.918	599
383.299	598.6
383.701	609.4
384.104	597.4
384.507	583
384.909	596
385.312	587.8
385.715	589.4
386.118	594.2
386.521	581.8
386.924	617.6
387.327	591.8
387.709	584.2
388.112	580.6
388.515	590.2
388.918	597.8
389.322	599
389.725	592
390.129	612.6
390.532	599.6
390.936	590
391.339	589.4
391.743	598.4
392.125	589
392.529	601
392.933	609.8
393.337	603.8
393.74	593
394.144	587.6
394.548	585.2
394.953	588.6
395.357	599.8
395.761	591.6
396.144	598.4
396.548	599.6
396.952	594.2
397.357	591.8
397.761	587.8
398.166	589.2
398.57	592.6
398.975	576.8
399.379	593
399.763	635.6
400.168	601.2
400.572	594.4
400.977	585.6
401.382	609.4
401.787	597.4
402.192	609.2
402.597	606.8
403.002	580
403.386	604
403.791	607
404.197	595.2
404.602	592.6
405.007	592.2
405.413	597.8
405.818	589.6
406.224	583.8
406.608	590.4
407.014	590.4
407.42	608.4
407.825	588
408.231	602.6
408.637	599.6
