#lambda/nm	C1
208.295	538.2
208.67	486.2
209.045	449
209.419	437
209.794	606.4
210.169	592.6
210.544	706.4
210.919	611.6
211.295	599.4
211.67	610.2
212.045	603
212.421	599
212.796	643
213.172	599
213.547	600.6
213.923	611.4
214.299	601
214.675	614.2
215.051	610.2
215.427	617.2
215.803	614.6
216.179	611.8
216.555	599.8
216.932	611
217.308	613.4
217.684	605
218.061	609.6
218.438	609.2
218.814	602.6
219.191	610.8
219.568	597.8
219.945	603.6
220.322	607
220.699	614.4
221.076	614.6
221.453	614
221.83	609.8
222.208	594
222.585	607.4
222.962	606.6
223.34	603.8
223.717	607.2
224.095	601
224.473	608.4
224.851	601.6
225.229	603
225.607	625.8
225.985	597
226.363	606.4
226.741	606
227.119	601.8
227.497	618
227.876	592.4
228.254	616.8
228.633	608
229.011	608.4
229.39	610.4
229.769	603.2
230.148	608.8
230.527	622.6
230.905	607.6
231.284	603.4
231.664	603.6
232.043	616
232.422	610.6
232.801	596
233.181	609.6
233.56	607.4
233.94	610.2
234.319	592.4
234.699	594.8
235.079	641.2
235.458	637.2
235.838	619.2
236.218	597
236.598	595.6
236.978	589.4
237.358	596.4
237.738	603.8
238.119	611.8
238.499	596
238.88	606.2
239.26	618.6
239.641	593.2
240.021	592.8
240.402	596
240.783	596.2
241.163	602.6
241.544	599
241.925	599.4
242.306	613.8
242.687	603.4
243.069	609.4
243.45	609
243.831	601.6
244.212	603.2
244.594	635.6
244.975	614.6
245.357	606.6
245.739	601.2
246.12	602.4
246.502	614.4
246.884	603.2
247.266	603.8
247.648	606.8
248.03	619.6
248.412	599.2
248.794	605.6
249.176	601.8
249.559	614.8
249.941	592.4
250.323	599.2
250.706	602.6
251.089	604.8
251.471	607.4
251.854	610.2
252.237	604.6
252.62	624.8
253.002	604
253.385	601.4
253.769	616.8
254.152	604
254.535	609.4
254.918	599.4
255.301	603.8
255.685	605.6
256.068	604.6
256.452	628
256.835	608
257.219	614
257.603	615.4
257.986	594.2
258.37	605.2
258.754	596.8
259.138	613.2
259.522	615.2
259.906	605.2
260.29	612.6
260.675	607
261.059	602.8
261.443	601.2
261.828	611.8
262.212	607.6
262.597	601.4
262.981	605.8
263.366	608
263.751	608.4
264.136	599
264.521	606.4
264.906	590.8
265.291	607.2
265.676	595.8
266.061	602.2
266.446	622.6
266.831	604.2
267.217	623.2
267.602	600
267.987	606.4
268.373	606.4
268.759	610
269.144	606.4
269.53	602.8
269.916	601.4
270.302	606.4
270.688	610.2
271.074	608.6
271.46	617
271.846	637.8
272.232	609.6
272.618	597
273.004	600.4
273.391	618.8
273.777	616.4
274.164	609.6
274.55	615.4
274.937	603.6
275.324	598.8
275.71	608.6
276.097	619.4
276.484	594.6
276.871	616.6
277.258	610.2
277.645	586.8
278.032	608.8
278.419	602
278.807	604.4
279.194	601.2
279.581	597.6
279.969	609.6
280.356	604.8
280.744	609
281.131	621.6
281.519	617.8
281.907	597.4
282.295	606.8
282.682	616.8
283.07	607.2
283.458	609
283.846	615.4
284.235	618
284.623	617.8
285.011	598.2
285.399	614.6
285.788	610.8
286.176	599.2
286.565	616.8
286.953	599.6
287.342	606.8
287.731	603.6
288.119	595.6
288.508	605.2
288.897	607.8
289.286	598.2
289.675	600.8
290.064	612
290.453	600
290.821	602
291.21	620
291.599	606.2
291.989	600.4
292.378	613.8
292.768	629.8
293.157	612.2
293.547	613.4
293.936	600.4
294.326	603
294.716	602.6
295.106	607
295.496	613.2
295.886	617
296.276	606.6
296.666	596.4
297.056	606.4
297.446	596.8
297.836	617.2
298.227	604
298.617	604.8
299.008	613.8
299.398	604.4
299.789	596.6
300.179	612.2
300.57	610
300.961	606.6
301.352	607.2
301.742	616.6
302.133	604.8
302.524	610.8
302.915	612.2
303.307	597.4
303.698	612.4
304.089	620
304.48	603.2
304.872	612.8
305.263	598.8
305.655	598.8
306.046	611.4
306.438	608.8
306.829	599.8
307.221	627.6
307.613	609
308.005	617.6
308.397	618.8
308.789	636.2
309.181	628
309.573	622.8
309.965	617.8
310.357	602.6
310.749	613
311.142	600.6
311.534	601.8
311.926	609.4
312.319	603.2
312.711	591.8
313.104	620.8
313.497	596.2
313.889	633
314.282	623.4
314.675	622.2
315.068	618.8
315.461	606
315.854	634.2
316.247	623.6
316.64	608.2
317.033	613.8
317.405	617
317.798	603.2
318.192	614.2
318.585	598.6
318.979	608.2
319.372	602.4
319.766	605.4
320.16	619.8
320.553	614.8
320.947	626.6
321.341	613
321.735	608.4
322.129	597
322.523	634.6
322.917	593.8
323.311	617.2
323.705	606.2
324.099	610.4
324.494	616.8
324.888	612.4
325.282	601.2
325.677	621.8
326.071	606.2
326.466	610.2
326.861	614
327.255	611.4
327.65	622
328.045	621
328.44	611.8
328.835	606.2
329.23	603
329.625	639
330.02	595.4
330.415	636.4
330.81	618.2
331.206	607.6
331.601	605
331.996	621.4
332.37	628.6
332.766	600.4
333.161	627.4
333.557	608
333.953	605.2
334.348	908.2
334.744	615
335.14	595.6
335.536	611.2
335.932	618
336.328	599
336.724	618.2
337.12	599.8
337.516	607.4
337.913	603.4
338.309	610.6
338.705	605
339.102	608.4
339.498	602.4
339.895	619
340.291	593.8
340.688	611.6
341.085	600.4
341.481	606.2
341.878	609.4
342.275	627.4
342.672	597.8
343.069	598.8
343.466	591.6
343.842	613.4
344.239	599.2
344.636	607
345.033	598.2
345.431	601.6
345.828	604
346.225	593
346.623	639
347.02	603.4
347.418	617.4
347.816	608.6
348.213	596.6
348.611	613.6
349.009	594.8
349.407	611.4
349.805	596
350.203	599
350.601	611
350.999	606.2
351.397	653.8
351.795	598.4
352.193	608
352.57	607.8
