#lambda/nm	C1
208.295	536.2
208.67	481
209.045	439.8
209.419	441.6
209.794	615.2
210.169	598.8
210.544	716.2
210.919	613.8
211.295	601
211.67	610.2
212.045	608.6
212.421	612.6
212.796	644.6
213.172	604.6
213.547	600
213.923	606.8
214.299	602.2
214.675	613.8
215.051	608
215.427	616.8
215.803	620
216.179	612
216.555	600.4
216.932	607.4
217.308	602.2
217.684	601.8
218.061	610
218.438	607.6
218.814	601.8
219.191	611
219.568	603.4
219.945	591.6
220.322	614.8
220.699	611
221.076	616.8
221.453	609.6
221.83	613.6
222.208	599.8
222.585	606.8
222.962	608
223.34	603.4
223.717	605.8
224.095	607.8
224.473	618
224.851	606.8
225.229	602.4
225.607	625.6
225.985	602.2
226.363	604
226.741	604.6
227.119	603.6
227.497	613.6
227.876	600.6
228.254	611.2
228.633	615.6
229.011	613
229.39	618.4
229.769	605.4
230.148	618
230.527	616.8
230.905	597.4
231.284	607.6
231.664	600.4
232.043	620.4
232.422	609.4
232.801	598.6
233.181	610.6
233.56	608.4
233.94	606.2
234.319	598.8
234.699	603.2
235.079	649.4
235.458	636.2
235.838	621.8
236.218	599.2
236.598	597.2
236.978	590.2
237.358	598.4
237.738	597.4
238.119	607.6
238.499	592.2
238.88	605.6
239.26	614
239.641	590
240.021	604.6
240.402	599.4
240.783	602.4
241.163	601.4
241.544	615.2
241.925	613.8
242.306	620.2
242.687	610.8
243.069	607.8
243.45	614.4
243.831	592
244.212	609.2
244.594	630.6
244.975	614.8
245.357	597.4
245.739	598
246.12	603.6
246.502	613.6
246.884	602
247.266	608.8
247.648	608
248.03	625.8
248.412	608.6
248.794	602.2
249.176	601.6
249.559	620.8
249.941	593.8
250.323	592.2
250.706	602.2
251.089	596.4
251.471	613
251.854	605.2
252.237	609.8
252.62	617
253.002	610.8
253.385	606.6
253.769	621.6
254.152	607.2
254.535	612.2
254.918	602.8
255.301	609.2
255.685	600.8
256.068	602.6
256.452	630.2
256.835	614.6
257.219	617
257.603	619.2
257.986	602
258.37	619.2
258.754	596.4
259.138	616
259.522	622.2
259.906	597.8
260.29	612.6
260.675	604.2
261.059	606.2
261.443	597.8
261.828	609.6
262.212	605.8
262.597	596.8
262.981	600.2
263.366	621.4
263.751	607.6
264.136	601.8
264.521	607.4
264.906	603
265.291	616.8
265.676	607
266.061	616
266.446	621.4
266.831	610.4
267.217	632
267.602	606.2
267.987	610.2
268.373	606.4
268.759	605.6
269.144	610.4
269.53	604.8
269.916	597.6
270.302	610.8
270.688	607
271.074	617.6
271.46	617.2
271.846	636.4
272.232	606
272.618	604.6
273.004	604
273.391	609.6
273.777	615.4
274.164	606
274.55	622
274.937	609.2
275.324	596
275.71	614
276.097	614.8
276.484	599.8
276.871	614.2
277.258	611.4
277.645	597.4
278.032	610
278.419	601.6
278.807	611
279.194	597.2
279.581	600.8
279.969	612.8
280.356	606.4
280.744	600.2
281.131	626.6
281.519	617.6
281.907	599.4
282.295	604
282.682	620.8
283.07	614
283.458	620.4
283.846	622
284.235	622.4
284.623	617.8
285.011	601.4
285.399	617.2
285.788	616.4
286.176	599
286.565	621
286.953	606.2
287.342	614.8
287.731	600.6
288.119	603.8
288.508	601.4
288.897	605.2
289.286	601.8
289.675	608.6
290.064	624.4
290.453	605.6
290.821	615
291.21	623.4
291.599	605.8
291.989	604.4
292.378	617.6
292.768	630.6
293.157	612.2
293.547	623
293.936	605.8
294.326	600.8
294.716	610
295.106	606.8
295.496	616.2
295.886	609.2
296.276	605
296.666	600.8
297.056	594.8
297.446	597.8
297.836	619
298.227	605.6
298.617	616.4
299.008	626
299.398	603.2
299.789	604.2
300.179	610.6
300.57	619.8
300.961	605.2
301.352	607.8
301.742	615.6
302.133	609.6
302.524	602.8
302.915	606.4
303.307	599
303.698	613.6
304.089	616
304.48	610.2
304.872	612
305.263	603.8
305.655	599.4
306.046	615
306.438	617.2
306.829	603.6
307.221	624.4
307.613	622.2
308.005	620.8
308.397	619.2
308.789	630
309.181	636.6
309.573	627.8
309.965	632.4
310.357	615.6
310.749	621
311.142	599.4
311.534	600.6
311.926	614
312.319	612
312.711	600
313.104	627.4
313.497	606.8
313.889	648.2
314.282	616
314.675	642
315.068	603
315.461	605.8
315.854	634.4
316.247	614.4
316.64	609.4
317.033	608.2
317.405	618.2
317.798	611.6
318.192	623.2
318.585	608
318.979	615.8
319.372	611.6
319.766	609
320.16	620.6
320.553	622.6
320.947	625.4
321.341	612.2
321.735	605
322.129	598
322.523	639.8
322.917	596.6
323.311	619.6
323.705	612.6
324.099	612.6
324.494	627.4
324.888	612.4
325.282	604.8
325.677	628
326.071	617.8
326.466	619
326.861	600.8
327.255	620
327.65	627.8
328.045	630.2
328.44	617
328.835	609
329.23	608.2
329.625	630
330.02	608.4
330.415	632
330.81	614.6
331.206	609.4
331.601	601.4
331.996	623.6
332.37	630.8
332.766	595.4
333.161	629.6
333.557	609.8
333.953	611.6
334.348	866.8
334.744	613
335.14	596
335.536	602.8
335.932	619.2
336.328	607.2
336.724	612.6
337.12	609.4
337.516	605.8
337.913	605.8
338.309	621.2
338.705	603.8
339.102	607.6
339.498	599.2
339.895	619
340.291	607.2
340.688	619.8
341.085	599
341.481	609.2
341.878	610.8
342.275	635.4
342.672	595.8
343.069	600
343.466	595.8
343.842	625.2
344.239	597.8
344.636	602
345.033	600.4
345.431	602.2
345.828	609
346.225	602.4
346.623	643.2
347.02	605.2
347.418	612.8
347.816	622.8
348.213	587.6
348.611	616
349.009	603.2
349.407	624.6
349.805	602.2
350.203	599.4
350.601	611.6
350.999	609
351.397	648.6
351.795	608.2
352.193	620
352.57	624.2
352.969	616.6
353.367	606.8
353.766	604
354.164	600.4
354.563	610
354.961	601.8
355.36	601.4
355.759	608.8
356.158	595.6
356.557	596
356.956	592.2
357.355	595.8
357.754	614
358.153	613.2
358.552	628.8
358.951	604.4
