#lambda/nm	DC	C1
208.295	638.2	641
208.67	561	559.4
209.045	528.2	523.2
209.419	517.4	517.2
209.794	611.4	613.2
210.169	612	608.6
210.544	689.4	692.8
210.919	638.2	635.2
211.295	623.2	626
211.67	630.6	638.6
212.045	626.6	629.2
212.421	623	621.2
212.796	646.2	650.4
213.172	620.6	623.4
213.547	626.6	630.2
213.923	635.2	633.4
214.299	623.4	628.4
214.675	634.4	637.8
215.051	640.8	643.2
215.427	637	646.6
215.803	645.8	654.4
216.179	644	643.2
216.555	642.6	642.6
216.932	648.8	645.6
217.308	650	659.8
217.684	652	648.4
218.061	647.2	651
218.438	652.4	655.4
218.814	655.6	659
219.191	661	668.2
219.568	670	669.8
219.945	661.2	670
220.322	671.4	675
220.699	662.6	672.6
221.076	664	679.8
221.453	663.4	671.8
221.83	668	673.2
222.208	669.6	665.6
222.585	664.4	668.2
222.962	670.8	678.4
223.34	671.4	683.2
223.717	667.6	678.8
224.095	674.6	680.8
224.473	667.6	677.4
224.851	669.6	676.8
225.229	675.8	668.8
225.607	686.6	696
225.985	681	690
226.363	684.6	693
226.741	697.6	686
227.119	691	690.6
227.497	705.8	704.4
227.876	694.6	695
228.254	701	709.8
228.633	693.2	709.2
229.011	704.4	703.2
229.39	702.4	708
229.769	716.2	719.2
230.148	705	708.6
230.527	733.2	728.2
230.905	713.2	723.6
231.284	719.4	721.8
231.664	716.6	721.8
232.043	730.8	733.6
232.422	726.8	733.4
232.801	726	736
233.181	734.4	734
233.56	728.8	733.4
233.94	747.2	748.6
234.319	750.2	739.4
234.699	747.2	742.2
235.079	785	779.4
235.458	781.6	784.2
235.838	780.2	779.8
236.218	766.6	761.4
236.598	766.6	771.6
236.978	775.6	776.6
237.358	777.8	778
237.738	777	772
238.119	785.6	778.2
238.499	792.6	789.6
238.88	796.6	783.8
239.26	808.4	802.4
239.641	781.6	797.8
240.021	807	803.2
240.402	805	804.4
240.783	812	808.8
241.163	815	804.4
241.544	825.8	817.2
241.925	824	823.8
242.306	831.2	820.4
242.687	819.8	812.2
243.069	815	814.6
243.45	815.2	817.6
243.831	801.6	807.6
244.212	804	802.8
244.594	822	824
244.975	802	799.6
245.357	794.8	797.8
245.739	782	790.6
246.12	789.4	791.6
246.502	777.2	786.2
246.884	763.8	763.6
247.266	760.8	758
247.648	754.6	746
248.03	750.2	760
248.412	737.2	738.6
248.794	735.8	737.4
249.176	734	726.8
249.559	733.2	726.4
249.941	712	706.8
250.323	705.6	699.4
250.706	699.4	698
251.089	693.6	700.2
251.471	688.6	701.2
251.854	689.6	691.4
252.237	690	684
252.62	681.2	686
253.002	675.6	668.2
253.385	665.6	669
253.769	678.2	674.2
254.152	652	655.4
254.535	659.8	667.6
254.918	654	643.2
255.301	648.6	641
255.685	644.2	639.8
256.068	634.4	636.2
256.452	653.2	655.6
256.835	645	641.6
257.219	635.6	633.6
257.603	642.6	641.2
257.986	627.6	625.6
258.37	639.2	631.6
258.754	618.6	627
259.138	632.2	637.4
259.522	634	633.8
259.906	624.8	625.6
260.29	626.4	623.6
260.675	628.2	622.8
261.059	625.6	626.2
261.443	618.6	617.4
261.828	628.8	634
262.212	628.4	624.8
262.597	621.6	621.4
262.981	626.2	625.8
263.366	631.4	632.6
263.751	624	616.6
264.136	627.2	625.6
264.521	624.2	622.4
264.906	625.6	618.8
265.291	630.2	632.8
265.676	617.8	631
266.061	629.2	631.2
266.446	634	639
266.831	627.2	630.6
267.217	639.2	639.2
267.602	635.6	628.6
267.987	630.8	629
268.373	630.2	632.4
268.759	634.2	636.8
269.144	633.8	632.6
269.53	621	619.4
269.916	630.2	624.2
270.302	627.4	623.2
270.688	631.4	626.4
271.074	628.4	628.2
271.46	642.8	634.6
271.846	648.4	646.8
272.232	629.4	629.2
272.618	622.4	624.8
273.004	630	627.6
273.391	635.4	632
273.777	634	633.8
274.164	630	634.8
274.55	636	642.4
274.937	633.2	631.2
275.324	631.4	623.2
275.71	634.4	625.8
276.097	631.4	632.6
276.484	619.6	624.6
276.871	624.2	634.4
277.258	630.4	632.8
277.645	613.8	616.4
278.032	620.6	627.4
278.419	618.2	629.2
278.807	633.8	633.6
279.194	621.6	619
279.581	614	629.6
279.969	634	634.8
280.356	631.2	624.2
280.744	624.2	628.2
281.131	640.8	640.2
281.519	635	640.2
281.907	618.6	625.2
282.295	616	625
282.682	638	637.8
283.07	633.8	630
283.458	631.2	632.2
283.846	638.4	626.2
284.235	631.8	639.4
284.623	638.8	636.2
285.011	630	631.2
285.399	631	635
285.788	627.8	627.8
286.176	620.6	619.8
286.565	642.2	634.2
286.953	624.2	621.8
287.342	627.2	629
287.731	625.2	627
288.119	624.6	618.6
288.508	619.4	632.6
288.897	631	624.2
289.286	622	622
289.675	637.6	632.2
290.064	631.4	631.4
290.453	613.6	626
290.821	626	623.4
291.21	641	637
291.599	628.8	630.6
291.989	630.8	630
292.378	632.6	634.4
292.768	636.4	637.8
293.157	635.8	632
293.547	635.4	631
293.936	630	621.8
294.326	629.6	622.4
294.716	636	623.4
295.106	630.6	628.8
295.496	633	620.4
295.886	640.2	632.8
296.276	629.8	632.2
296.666	623	623.6
297.056	624	629
297.446	623.4	623.6
297.836	638	635
298.227	630.4	623.8
298.617	620.6	628.2
299.008	639.2	643.2
299.398	629.8	625.2
299.789	626.8	618
300.179	632.6	620.8
300.57	640.4	637.6
300.961	630.4	625.8
301.352	629.4	620
301.742	632.2	634.2
302.133	626.8	623.6
302.524	625	629
302.915	626.4	627.8
303.307	620.4	613
303.698	632	633.2
304.089	634.2	624.2
304.48	628.8	623.4
304.872	634.4	633
305.263	630.2	630.6
305.655	622	630.6
306.046	630	630.6
