#lambda/nm	DC	C1
208.295	633	633.2
208.67	551.8	550.2
209.045	517.4	517.8
209.419	506	509.8
209.794	600.2	606.4
210.169	584.6	592.2
210.544	659.6	654.8
210.919	598.8	596.2
211.295	585.6	584.2
211.67	594.6	589.2
212.045	586.2	585.8
212.421	582.8	584.4
212.796	610.2	610.6
213.172	579	580.8
213.547	581.2	586.2
213.923	579.8	589.8
214.299	583.6	585
214.675	590.4	595.4
215.051	583.2	589.6
215.427	593.6	589.4
215.803	601.2	603.8
216.179	591.4	591.4
216.555	581.4	588.8
216.932	590.4	593.6
217.308	586.8	591.6
217.684	590.8	595
218.061	591.2	587
218.438	591.8	590.8
218.814	583	587
219.191	587.8	590
219.568	582	591.8
219.945	586.4	585.2
220.322	586.4	591
220.699	585	591.4
221.076	598.6	589
221.453	584.6	586.8
221.83	583	582.2
222.208	584	587.8
222.585	578.2	581
222.962	586	584
223.34	590.6	583.6
223.717	583.4	581.8
224.095	580.2	577.6
224.473	582.4	581.2
224.851	578	575.8
225.229	583	577
225.607	590.8	588.4
225.985	581.4	583
226.363	588	586.2
226.741	584	580.6
227.119	586.4	588.4
227.497	588.6	586.6
227.876	580	574.6
228.254	586.6	582.4
228.633	591.6	583.8
229.011	588.6	591.4
229.39	584.8	582
229.769	589.6	582.2
230.148	588	591
230.527	601	597
230.905	589.4	590.4
231.284	584.8	587.4
231.664	579.6	579.2
232.043	589.4	591.6
232.422	586.2	589
232.801	582.2	579.6
233.181	585.8	584.4
233.56	577.8	583.4
233.94	582.4	582.2
234.319	575	577.6
234.699	578.8	578.8
235.079	609.2	605.8
235.458	602.8	609.2
235.838	582.8	590
236.218	572.4	572
236.598	574	567.6
236.978	584.2	574.8
237.358	582.2	571.6
237.738	575.8	572.6
238.119	587.2	584
238.499	566.6	575.2
238.88	583.2	578
239.26	595.4	595.2
239.641	571.6	577.4
240.021	572.8	579.4
240.402	583.8	585.2
240.783	580.6	572.4
241.163	577	583.6
241.544	589	581.4
241.925	588.6	574.8
242.306	582.6	585.6
242.687	581	578.6
243.069	576.8	584.4
243.45	585.8	582.6
243.831	577.6	577.2
244.212	575.2	577
244.594	599.4	604.4
244.975	582	584.4
245.357	584.8	583.6
245.739	576.6	577.4
246.12	584	579.4
246.502	587.6	591.2
246.884	576.8	582.8
247.266	573	579.6
247.648	579.4	586.6
248.03	594.4	595.2
248.412	585.6	579.6
248.794	583.6	587.8
249.176	578.8	580.6
249.559	578.6	584
249.941	571.2	579.2
250.323	578.4	578.8
250.706	581	582.2
251.089	580	581.6
251.471	582.4	583
251.854	583.4	576.2
252.237	587	580.4
252.62	590.2	589.4
253.002	581.4	581.8
253.385	580.6	584.2
253.769	591	588.2
254.152	588.8	582.6
254.535	589.8	588
254.918	578	580.8
255.301	581.2	581.4
255.685	581.8	584.6
256.068	574.6	578.2
256.452	595	596.4
256.835	589	595.8
257.219	588.8	581.8
257.603	595.2	593.6
257.986	573.8	578.6
258.37	590.8	589.2
258.754	580	579
259.138	583.4	590
259.522	593	589
259.906	579.6	585.4
260.29	580.8	584
260.675	591.4	581.2
261.059	581.4	584
261.443	582.8	573
261.828	586.2	590.4
262.212	581.8	581.6
262.597	575.6	576
262.981	578.4	577.6
263.366	584.8	589
263.751	582.4	580
264.136	579	571.4
264.521	577.4	573.4
264.906	570.6	583
265.291	582.2	589.4
265.676	577.8	578.6
266.061	589.2	593
266.446	590	589.6
266.831	582	580.2
267.217	596.2	595.2
267.602	590	585.2
267.987	587.2	584.4
268.373	587.4	579.6
268.759	590	583.2
269.144	584.2	591.6
269.53	580.8	588
269.916	583.4	581.6
270.302	581.8	569.8
270.688	584.2	583.2
271.074	582.8	581.8
271.46	590.6	596.6
271.846	597.4	600.2
272.232	578.2	584.2
272.618	576.6	586.4
273.004	577.2	578
273.391	586.8	592.6
273.777	594.4	591.8
274.164	586	585.4
274.55	587.2	586
274.937	583.4	582
275.324	581	583.8
275.71	582.2	579.6
276.097	580.4	586.8
276.484	580.6	584.2
276.871	575.2	584.2
277.258	580	576.8
277.645	576.4	575.2
278.032	576.6	583.8
278.419	582	581.2
278.807	586.6	587.8
279.194	579.8	574.2
279.581	572.2	579.8
279.969	578.8	583.8
280.356	586.4	584
280.744	582.4	586.8
281.131	598.4	598.4
281.519	586.6	580.2
281.907	578.6	579.8
282.295	577.4	588.8
282.682	589.6	588.2
283.07	589.4	588
283.458	586.2	587.2
283.846	592.4	591.8
284.235	582.2	581.4
284.623	592.6	587
285.011	575.8	576.4
285.399	591.6	572.6
285.788	582	584.8
286.176	580.2	574.6
286.565	588	585.2
286.953	577.4	584
287.342	579	579.4
287.731	583.6	575.8
288.119	576.2	569.4
288.508	583	575
288.897	582.4	576.4
289.286	573.6	570.4
289.675	584.6	580.6
290.064	590.2	579.8
290.453	581.4	576.2
290.821	577.8	584.6
291.21	589.4	593.4
291.599	579	581.8
291.989	584.4	579.8
292.378	589.2	584.4
292.768	596.6	595.2
293.157	587.2	587.4
293.547	584.4	588.6
293.936	578.8	577.2
294.326	576.2	577.4
294.716	579.6	580.6
295.106	586.2	583
295.496	586.6	586
295.886	586	588.4
296.276	577.6	582
296.666	575.2	576.4
297.056	570.6	575.4
297.446	571.6	583
297.836	586.2	592.8
298.227	586	575.4
298.617	587	587.2
299.008	586	580.8
299.398	580.6	578.2
299.789	581.8	576.4
300.179	583.4	584.2
300.57	585.6	590.4
300.961	578	572.8
301.352	581.6	580.8
301.742	592.8	588
302.133	582.4	583.8
302.524	578.8	574.6
302.915	582.8	585.6
303.307	581.8	578.2
303.698	584.6	581.6
304.089	577.4	591.4
304.48	582.8	580
304.872	586	581.8
305.263	579.2	592.4
305.655	578.4	578.4
306.046	585.6	589
306.438	584	586
306.829	582	576.8
307.221	593.4	589
307.613	579.2	577.6
308.005	588.2	579.8
308.397	585	585.4
308.789	589	590
309.181	601.2	596
309.573	593.6	593.4
309.965	589.6	588
310.357	577	579.8
310.749	586.8	584
311.142	575.2	575.8
311.534	576.2	576.4
311.926	583.8	582.2
312.319	578.4	583.4
312.711	566.6	578
313.104	585.6	587.2
313.497	569.6	579.2
313.889	608	603.4
314.282	586.4	587.6
314.675	590.2	592.8
315.068	580.8	580.6
315.461	583.4	585
315.854	600.2	599.4
316.247	581.6	581.8
316.64	580.2	588.4
317.033	576.2	577.2
317.405	584.2	585
317.798	582.2	582.6
318.192	583.4	580.6
318.585	571	572.2
318.979	583.4	585
319.372	578.2	587.8
319.766	578.2	582
320.16	582.8	574.8
320.553	584.6	589.6
320.947	589.6	594.6
321.341	583.6	575
321.735	586	580.2
322.129	571	579.2
322.523	597.6	599.2
322.917	580.8	576.8
323.311	585.4	588
323.705	588	575
324.099	582.8	577
324.494	592	587.6
324.888	593.6	579.8
325.282	576.4	577.2
325.677	591	583.2
326.071	583.4	578.8
326.466	589.4	579.4
326.861	583.8	579.2
327.255	589.8	588.4
327.65	592.8	585.4
328.045	587	582.2
328.44	583.4	576.6
328.835	585.4	577.2
329.23	576.4	579.2
329.625	589.6	591.2
330.02	583	580.6
330.415	588.8	591.2
330.81	584.2	579.2
331.206	582	576.6
331.601	585.8	580
331.996	586.6	578.2
332.37	589.8	592.4
332.766	575.4	573
333.161	591.6	597
333.557	578.4	580
333.953	578	581.6
334.348	833.2	832.8
334.744	582	574.8
335.14	576.8	584
335.536	572.8	572.2
335.932	587.2	582.6
336.328	574.8	579.8
336.724	585.6	591.6
337.12	573.8	572.8
337.516	586.2	580.8
337.913	578.8	579.8
338.309	586.8	590.6
338.705	575	581.4
339.102	584.2	588.2
339.498	577	573.6
339.895	594.2	590.4
340.291	578.6	573.6
340.688	586	586.2
341.085	573.8	572
341.481	580.8	574.4
341.878	580	572.2
342.275	588.6	588.8
342.672	574.2	571.6
343.069	578.4	576.2
343.466	566	570
343.842	584.2	582
344.239	574.2	568
344.636	582.2	571
345.033	574.8	570.8
345.431	578.6	573.4
345.828	572.8	583.2
346.225	577	571.2
346.623	602.6	592
347.02	571.8	575.2
347.418	581.4	581.4
347.816	578	587.6
348.213	570	574
348.611	579.8	577.8
349.009	571.4	578.2
349.407	583.4	586.4
349.805	566.2	571.4
350.203	570	571.2
350.601	580.4	588.6
350.999	575.6	569.2
351.397	613.6	618.8
351.795	579.8	583.2
352.193	579.2	582.2
352.57	586.4	588.6
352.969	586.2	589.4
353.367	569.4	568.8
353.766	568.6	570.2
354.164	578	578.6
354.563	584.6	578.2
354.961	575	582.4
355.36	575.8	569.8
355.759	578.6	572
356.158	569.8	570.8
356.557	574.2	568.6
356.956	572.6	572.4
357.355	567.8	572
357.754	580.8	579.2
358.153	583.4	580
358.552	597	598
358.951	576.8	579.4
359.35	585.8	580.2
359.75	582.4	571.8
360.149	573.6	575
360.527	568.6	568
360.926	577.8	576.2
361.326	577.8	573.2
361.726	581.6	568.4
362.125	573.4	574
362.525	583.2	575
362.925	572.4	579
363.325	573	578.6
363.724	581.4	580.4
364.124	567.4	566.8
364.524	577.4	566.8
364.924	579.4	566.2
365.324	568.4	583.4
365.725	565.4	561.8
366.125	577	581.6
366.525	574.2	572.2
366.904	571.2	567.4
367.304	569	570
367.705	583.4	587.8
368.105	580.6	586.2
368.506	574.2	573.4
368.906	573.8	574.6
369.307	574	578.8
369.708	577.4	579.4
370.108	568.2	571
370.509	580.2	574.8
370.91	566.4	571
371.311	575.4	573.8
371.712	577.6	576.8
372.113	568.4	570.4
372.514	564.2	563
372.894	571.4	573.6
373.295	572.8	571
373.696	582	578.6
374.097	580.8	577.8
374.499	591.8	594.4
374.9	573.6	572.8
375.301	567.4	566.6
375.703	578.4	574.4
376.105	574.6	572
376.506	577.2	578
376.908	576.8	585
377.309	579.2	581
377.711	578.8	577.8
378.113	574.2	575
378.493	580.6	571
378.895	574.2	573.6
379.297	578.6	579.4
379.699	568.2	571.8
380.102	573.4	574.8
380.504	576	566.8
380.906	574	569.2
381.308	587.6	588.8
381.71	573.4	573.8
382.113	577.2	575.6
382.515	575.8	578.4
382.918	577.8	571.2
383.299	575	574.2
383.701	576.6	585
384.104	572.6	576.8
384.507	558	558.6
384.909	578.4	569.6
385.312	568.4	560.6
385.715	569	565.8
386.118	575.8	564.8
386.521	571.2	560.2
386.924	578.8	578.6
387.327	562.4	573.6
387.709	566.8	561.2
388.112	560.6	564.8
388.515	570.6	567.4
388.918	578.2	573.2
389.322	575.4	574.6
389.725	569.2	574.6
390.129	588.2	585
390.532	572.8	576
390.936	579.8	574.4
391.339	571.4	577
391.743	575.2	580.4
392.125	573	574.8
392.529	580.4	584.4
392.933	580.8	585.2
393.337	578.8	574.4
393.74	575.4	569
394.144	568.4	579.2
394.548	570.2	576.6
394.953	570.2	571.4
395.357	579.4	589.6
395.761	571.2	580.2
396.144	577	576.2
396.548	572.2	573.6
396.952	572	571.6
397.357	579.6	569.6
397.761	573.6	574.4
398.166	573.2	573.4
398.57	575.8	576.2
398.975	566.2	566.2
399.379	571.6	577.2
399.763	604.2	605.8
400.168	562.4	573.6
400.572	573.6	577.6
400.977	574	576.4
401.382	588	588
401.787	581.8	582.2
402.192	582.2	582.4
402.597	582.6	581
403.002	566	569.8
403.386	585.4	580
403.791	583.8	584.6
404.197	572	571
404.602	575	576
405.007	571.6	578.2
405.413	570.4	567.2
405.818	579.2	564.2
406.224	572.2	573.2
406.608	568.2	573.6
407.014	577.8	569
407.42	583	582.6
407.825	568.8	574.4
408.231	585.8	579.4
408.637	578.4	574.2
409.043	583.4	585.8
409.449	570.2	569.8
409.834	568.2	564.4
410.24	568.8	577.2
410.646	576.6	583
411.052	578.8	585.8
411.458	575	580.8
411.865	575	579
412.271	581.6	583.8
412.677	569.4	575.4
413.062	579.4	574.2
413.469	559	571
413.875	589.8	592.4
414.282	583.6	583.8
414.689	571.8	574.8
415.095	576.4	576.8
415.502	564.2	576.6
415.888	570.2	573
416.294	566.4	568.6
416.701	598.8	600.2
417.108	565.4	574.2
417.515	582.6	579.6
417.923	570.8	573
418.33	584.2	589
418.715	582.2	578.8
419.123	574.8	572
419.53	579.2	575.2
419.937	575	575.4
420.345	586.8	587
420.752	573	573
421.16	584.2	586
421.546	572.8	575.2
421.953	578.8	579
422.361	574	569.2
422.769	571	583.2
423.177	568.4	563
423.585	582.4	581.2
423.992	584.8	584.6
424.379	579	577
424.787	573.6	584.4
425.195	589.8	587.4
425.603	576.2	578.6
426.011	585.8	580.2
426.419	581.8	591.4
426.806	580.6	572.8
427.214	581.4	581.2
427.623	583.8	585.4
428.031	585.4	592.4
428.44	575.8	577.8
428.848	589	586.6
429.235	589.4	593.2
429.644	579.8	589.4
430.053	582.6	587.8
430.461	587.6	603.6
430.87	594.2	615.6
431.279	578.2	607.2
431.666	570.8	610
432.075	576.8	607.8
432.484	578	619.6
432.893	581	622.4
433.302	583.4	643.4
433.711	597.4	664.6
434.099	580.8	648.2
434.508	571.4	651
434.918	569	655.4
435.327	574.8	677.4
435.737	579.8	689.8
436.125	576.6	691.6
436.534	575.6	702.6
436.944	566.8	705.2
437.353	576.2	719.8
437.763	592.4	740.4
438.173	569.8	722.4
438.561	582.8	750
438.971	568.2	738
439.381	568.2	744.8
439.791	577.2	764.6
440.201	559.6	757.6
440.589	570	779.4
440.999	583.6	791.4
441.409	581.2	785.4
441.819	572.8	795.2
442.23	590.6	810.8
442.619	585.6	822.4
443.029	574.6	813.2
443.439	573.6	823.2
443.85	585.8	836.6
444.26	587.4	844.8
444.649	577.8	844.2
445.06	585.6	841.6
445.471	575.6	839.2
445.881	585.8	849.8
446.292	590.4	862.4
446.682	593.4	862.6
447.092	580.8	866
447.503	612.2	901.8
447.914	584.2	872.2
448.325	581.2	878.6
448.715	591.8	875.4
449.126	584.8	880.2
449.537	588.2	883.4
449.948	587.4	890
450.338	587.2	897.8
450.75	588	888.4
451.161	584.2	900.6
451.572	589.8	902.8
451.984	583.8	891.6
452.374	577.2	891.4
452.786	585.8	912
453.197	586.4	912.2
453.609	589.4	903.2
453.999	579.4	906.6
454.411	579	899.2
454.823	586	911.4
455.235	580.6	902.2
455.647	581.2	900.6
456.037	582	908.6
456.449	578.2	905.8
456.862	582.4	909.6
457.274	584.6	910.2
457.665	576.8	898.8
458.077	583.2	921.8
458.489	604	934.4
458.902	574.8	896.2
459.293	583.4	905.6
459.705	586.6	903.8
460.118	571.2	904.2
460.53	586.4	910
460.921	583.2	902.6
461.334	573.4	907.4
461.747	573.8	901.6
462.16	590	919.6
462.551	593.8	924.2
462.964	576.6	908.6
463.377	573.4	908.6
463.79	569	923.6
464.182	582.8	910.8
464.595	571.6	911
465.008	573	901.4
465.421	578.2	898.6
465.813	567.4	917.8
466.226	576.6	918
466.64	571.4	904.2
467.053	606.8	927.2
467.445	581.4	915
467.859	585.4	920.2
468.272	571.6	920.2
468.686	579.2	925
469.078	572.4	917.2
469.492	568.4	921
469.906	571.8	910.2
470.298	574.6	920.2
470.712	570	895.2
471.126	599.4	943.4
471.54	568.2	908.4
471.933	571.2	909.8
472.347	571	905.4
472.761	573.2	905.4
473.175	565.8	901.2
473.568	570.6	906.6
473.982	566.6	892.4
474.397	573.4	901.8
474.79	578	892
475.204	577.2	900.6
475.619	567.8	897.4
476.033	577.6	899.4
476.426	570	890.6
476.841	567.2	895.4
477.256	585	894.4
477.649	563.6	878.6
478.064	565.8	876
478.479	570.2	876.2
478.872	564.6	878.6
479.287	561.8	872
479.702	575	866.4
480.118	570.6	879.8
480.511	567.4	872.4
480.927	571.4	872.2
481.342	566.6	871.2
481.736	569.4	865
482.151	567.6	870.6
482.566	574.2	865.2
482.96	572.8	862.2
483.376	575.4	880
483.792	577.4	854
484.186	571	854.6
484.602	568.6	860.2
485.017	560.4	858.2
485.412	573.2	842.2
485.827	575.2	849.6
486.243	572.2	856.2
486.638	586.4	863.4
487.054	578.6	851.2
487.47	578.6	846.6
487.865	570	837.6
488.281	566.6	842
488.697	566.8	833.6
489.092	569.6	837.2
489.508	564.4	839.4
489.925	574.8	843.2
490.32	560.2	834
490.736	577.8	835
491.153	569	829.6
491.548	574	820.6
491.964	576.2	840.4
492.381	571	818.4
492.776	567.2	826.8
493.193	576.4	821.6
493.61	574	829
494.006	568.8	815.6
494.422	573	821.4
494.84	571.4	803
495.235	576.8	823.2
495.652	567.2	816.4
496.069	579.2	814.8
496.465	565.2	808.2
496.883	572.4	798.2
497.3	587.6	815.4
497.696	560.8	799
498.113	575	797.4
498.509	567.4	786
498.927	570.2	793.2
499.344	572.8	785.4
499.741	570.4	780.2
500.158	576.4	792.4
500.576	576.4	791
500.973	571	779.2
501.39	568.4	780.8
501.787	569.8	780
502.205	562.6	777.2
502.623	563.4	779.6
503.02	568.6	769.4
503.438	568.2	764.6
503.856	574.2	770
504.253	575	775.6
504.671	566.8	768.8
505.068	563	762.8
505.486	578.2	770.2
505.905	587	778.4
506.302	569.6	766.2
506.72	583.6	768.8
507.118	565.6	754.4
507.536	571.8	758.6
507.955	574.2	759.4
508.352	567.4	760.2
508.771	575.8	754.6
509.169	575.6	753.4
509.587	567.4	747
510.006	566.4	746.2
510.404	561	737.6
510.823	571.4	739.2
511.221	567.6	744
511.64	567.2	726.2
512.038	579.2	740.8
512.457	567.2	735.2
512.877	573	736.4
513.275	562	732.6
513.694	569.4	723.4
514.092	571.4	730.8
514.512	578.6	727.6
514.91	580	725.2
515.33	573	731
515.749	568.2	724.2
516.148	579.2	722.2
516.568	572.4	716.6
516.966	569.4	722.8
517.386	573	709.6
517.785	568.6	714.4
518.205	574	709.4
518.603	566	705.6
519.024	573.4	697.6
519.444	577.2	714.4
519.843	575.2	709.6
520.263	577.6	715.6
520.662	579.2	703.2
521.082	570.8	705.6
521.481	584	705.6
521.902	569.8	699
522.301	574.8	696
522.722	576.6	697.8
523.121	566.2	700.4
523.542	569.2	688
523.963	574.2	689.6
524.362	576	687.8
524.783	577.4	690.4
525.183	572.2	690.4
525.604	575.6	689.6
526.003	568.6	686.2
526.425	573.6	674.6
526.824	575.4	678.6
527.246	578.4	692.8
527.646	583.4	677.2
528.067	577.8	680.8
528.467	570	681
528.888	570.4	671.6
529.289	570.2	672
529.71	570.6	675.6
530.11	569	667.8
530.532	568.4	674
530.932	570.8	659.8
531.354	568.6	661.8
531.755	595.4	688.8
532.176	579.2	667.4
532.577	570.2	667.8
532.999	576	664.8
533.4	567	658.8
533.822	575.4	669.2
534.223	585.8	665.8
534.645	578.8	658
535.046	571	658.2
535.468	578.6	664.2
535.869	582.6	675.4
536.292	569.8	650.8
536.693	581.6	677.4
537.115	575	654
537.516	565.4	649.6
537.939	570.2	646.2
538.34	585.2	660.2
538.742	580.2	653.8
539.165	570.6	647.4
539.566	572.8	648
539.989	562.6	641.6
540.391	573.4	641.8
540.814	565	647
541.216	572.8	655.8
541.639	575.2	641.2
542.041	578.2	650
542.464	568.2	646.6
542.866	565	641.2
543.268	563.6	633.8
543.691	568.8	638.2
544.093	570.4	638.4
544.517	589.2	657.6
544.919	564.2	640.2
545.343	585.4	652.4
545.745	569.6	642.4
546.147	573.2	641.8
546.571	567.4	643.4
546.974	560.8	633.4
547.398	578.6	631
547.8	579.2	647.4
548.224	569.4	635
548.627	571.4	633.2
549.03	574.8	638.6
549.454	565.2	629.4
549.857	570.8	621
550.281	565	625.6
550.684	563	625.8
551.087	573.4	624.2
551.512	576.6	628
551.915	576.4	634
