1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	1,612113
1024,000000	3,717381
2048,000000	7,556563
3072,000000	10,917813
4096,000000	14,514375
5120,000000	17,906484
6144,000000	21,126172
7168,000000	24,698984
8192,000000	28,385000
9216,000000	31,653359
10240,000000	35,144922
11264,000000	38,429844
12288,000000	41,979766
13312,000000	45,322109
14336,000000	48,691484
15360,000000	51,877422
16384,000000	55,206016
17408,000000	58,971641
18432,000000	62,124609
19456,000000	65,031172
20480,000000	68,605078
21504,000000	71,605234
22528,000000	74,989219
23552,000000	78,070391
24576,000000	80,996562
25600,000000	84,444766
26624,000000	87,113125
27648,000000	90,197188
28672,000000	93,436328
29696,000000	96,479141
30720,000000	99,611406
31744,000000	102,585156
32768,000000	105,531953
33792,000000	108,428672
34816,000000	111,678828
35840,000000	114,070937
36864,000000	117,026406
37888,000000	119,777187
38912,000000	122,749766
39936,000000	124,734688
40960,000000	127,975859
41984,000000	130,568594
43008,000000	133,102656
44032,000000	135,673203
45056,000000	138,046094
46080,000000	140,591797
47104,000000	143,278437
48128,000000	145,656406
49152,000000	148,341016
50176,000000	150,726719
51200,000000	153,205547
52224,000000	155,556641
53248,000000	158,022578
54272,000000	159,956016
55296,000000	162,401016
56320,000000	164,457422
57344,000000	166,872812
58368,000000	168,811172
59392,000000	171,261406
60416,000000	172,991484
61440,000000	175,257578
62464,000000	177,229375
63488,000000	179,130547
64512,000000	181,205781
65536,000000	183,608594
66560,000000	185,622891
67584,000000	187,277109
68608,000000	189,470313
69632,000000	191,395391
70656,000000	192,929922
71680,000000	195,027734
72704,000000	196,784609
73728,000000	198,324922
74752,000000	200,051797
75776,000000	201,741016
76800,000000	203,229219
77824,000000	204,885391
78848,000000	206,305781
79872,000000	207,965078
80896,000000	209,479453
81920,000000	211,089687
82944,000000	212,386172
83968,000000	213,970234
84992,000000	215,014297
86016,000000	216,623437
87040,000000	217,786719
88064,000000	219,431172
89088,000000	220,678047
90112,000000	222,023203
91136,000000	223,102656
92160,000000	224,536250
93184,000000	225,892422
94208,000000	226,798516
95232,000000	228,015625
96256,000000	229,113281
97280,000000	230,432344
98304,000000	231,421250
99328,000000	232,516016
100352,000000	233,478906
101376,000000	234,615781
102400,000000	235,499609
103424,000000	236,524453
104448,000000	237,444375
105472,000000	238,263750
106496,000000	238,971953
107520,000000	240,125547
108544,000000	240,890078
109568,000000	241,732656
110592,000000	242,520625
111616,000000	243,539062
112640,000000	244,378437
113664,000000	244,977422
114688,000000	245,794375
115712,000000	246,735312
116736,000000	247,184375
117760,000000	247,909766
118784,000000	249,063828
119808,000000	249,342344
120832,000000	250,315391
121856,000000	250,826328
122880,000000	251,674219
123904,000000	252,167266
124928,000000	252,711953
125952,000000	253,228125
126976,000000	253,985781
128000,000000	254,424453
129024,000000	254,845781
130048,000000	255,441250
131072,000000	255,610391
132096,000000	256,388047
133120,000000	256,761406
134144,000000	257,322344
135168,000000	257,672500
136192,000000	258,209609
137216,000000	258,570469
138240,000000	258,830625
139264,000000	259,341563
140288,000000	259,786406
141312,000000	260,130078
142336,000000	260,418125
143360,000000	260,877109
144384,000000	261,287422
145408,000000	261,544688
