1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	3,688161
1024,000000	4,852460
2048,000000	7,220654
3072,000000	10,510137
4096,000000	13,929141
5120,000000	16,842031
6144,000000	20,126875
7168,000000	22,782109
8192,000000	26,388906
9216,000000	30,284609
10240,000000	32,469453
11264,000000	35,804141
12288,000000	39,096016
13312,000000	42,567422
14336,000000	45,632031
15360,000000	48,486875
16384,000000	51,888516
17408,000000	55,161953
18432,000000	58,312109
19456,000000	62,056094
20480,000000	64,657109
21504,000000	67,239297
22528,000000	69,806875
23552,000000	73,397812
24576,000000	75,983750
25600,000000	78,809844
26624,000000	82,358750
27648,000000	84,779844
28672,000000	86,880938
29696,000000	90,096016
30720,000000	93,055391
31744,000000	96,736172
32768,000000	98,516406
33792,000000	101,209766
34816,000000	104,196250
35840,000000	106,474922
36864,000000	109,750234
37888,000000	111,700078
38912,000000	114,817656
39936,000000	116,752031
40960,000000	119,650938
41984,000000	123,012578
43008,000000	124,781797
44032,000000	127,518828
45056,000000	129,576797
46080,000000	132,045156
47104,000000	134,725859
48128,000000	137,296016
49152,000000	139,322969
50176,000000	141,404688
51200,000000	143,830234
52224,000000	146,131563
53248,000000	148,103047
54272,000000	150,944531
55296,000000	152,703672
56320,000000	154,578437
57344,000000	156,506797
58368,000000	158,956641
59392,000000	161,143672
60416,000000	162,911484
61440,000000	165,217031
62464,000000	167,251875
63488,000000	169,066328
64512,000000	170,571094
65536,000000	173,306172
66560,000000	175,113906
67584,000000	176,304141
68608,000000	178,513047
69632,000000	180,187969
70656,000000	182,257109
71680,000000	184,230078
72704,000000	185,588047
73728,000000	187,018125
74752,000000	188,576641
75776,000000	190,387109
76800,000000	192,086641
77824,000000	193,426406
78848,000000	195,267031
79872,000000	196,670234
80896,000000	198,528750
81920,000000	199,756250
82944,000000	200,954297
83968,000000	202,239609
84992,000000	203,691016
86016,000000	205,423906
87040,000000	206,444531
88064,000000	208,171016
89088,000000	209,121094
90112,000000	210,311641
91136,000000	211,687891
92160,000000	212,625781
93184,000000	214,490781
94208,000000	215,386172
95232,000000	216,385859
96256,000000	218,098828
97280,000000	219,103516
98304,000000	220,092031
99328,000000	221,226172
100352,000000	222,187891
101376,000000	223,353828
102400,000000	224,444375
103424,000000	225,139766
104448,000000	226,511250
105472,000000	227,521328
106496,000000	228,417031
107520,000000	229,138750
108544,000000	230,172188
109568,000000	231,160000
110592,000000	231,728281
111616,000000	232,632422
112640,000000	233,721094
113664,000000	234,654531
114688,000000	235,151250
115712,000000	236,247891
116736,000000	236,797109
117760,000000	237,566797
118784,000000	238,359609
119808,000000	239,032500
120832,000000	239,927266
121856,000000	240,648047
122880,000000	241,460781
123904,000000	241,878203
124928,000000	242,427031
125952,000000	243,231328
126976,000000	243,968984
128000,000000	244,459453
129024,000000	245,117188
130048,000000	245,552734
131072,000000	246,203828
132096,000000	246,660859
133120,000000	247,254375
134144,000000	247,879219
135168,000000	248,333047
136192,000000	248,825469
137216,000000	249,393828
138240,000000	249,919922
139264,000000	250,349609
140288,000000	250,828047
141312,000000	251,333047
142336,000000	251,678750
143360,000000	252,105547
144384,000000	252,504219
145408,000000	252,695312
146432,000000	253,290781
147456,000000	253,955312
148480,000000	254,125859
149504,000000	254,523359
150528,000000	254,878516
151552,000000	255,296016
152576,000000	255,509609
153600,000000	255,939531
154624,000000	256,140625
155648,000000	256,544531
156672,000000	256,855859
157696,000000	257,178437
158720,000000	257,485469
159744,000000	257,741016
160768,000000	257,977266
161792,000000	258,380000
162816,000000	258,496328
163840,000000	258,958047
164864,000000	259,139766
165888,000000	259,554141
166912,000000	259,627891
167936,000000	259,885469
