1D 32 -4,000000 252,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	73,183047
8,000000	76,133047
16,000000	81,109922
24,000000	85,966016
32,000000	89,126094
40,000000	93,204375
48,000000	96,847109
56,000000	98,660859
64,000000	99,262266
72,000000	96,394766
80,000000	86,770234
88,000000	68,198203
96,000000	38,690625
104,000000	7,776875
112,000000	1,864926
120,000000	1,413910
128,000000	1,553795
136,000000	1,593223
144,000000	1,572255
152,000000	1,583700
160,000000	1,551178
168,000000	1,688053
176,000000	1,584731
184,000000	1,537476
192,000000	1,639273
200,000000	1,446139
208,000000	1,593753
216,000000	1,395574
224,000000	1,500647
232,000000	1,414249
240,000000	1,564213
248,000000	1,638463
