1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	1,722599
1024,000000	4,118344
2048,000000	7,288750
3072,000000	10,952031
4096,000000	13,913828
5120,000000	17,528906
6144,000000	20,846172
7168,000000	24,295078
8192,000000	27,528516
9216,000000	31,347969
10240,000000	34,975234
11264,000000	37,954062
12288,000000	41,310469
13312,000000	44,391562
14336,000000	48,137344
15360,000000	51,291562
16384,000000	54,299453
17408,000000	57,715469
18432,000000	61,046953
19456,000000	64,263203
20480,000000	67,471719
21504,000000	70,805547
22528,000000	73,852031
23552,000000	77,038594
24576,000000	80,561719
25600,000000	83,031641
26624,000000	86,350781
27648,000000	89,270625
28672,000000	92,317344
29696,000000	95,483906
30720,000000	98,289297
31744,000000	101,285625
32768,000000	104,362813
33792,000000	107,293750
34816,000000	109,724844
35840,000000	113,109922
36864,000000	115,773203
37888,000000	118,252031
38912,000000	121,494531
39936,000000	123,919844
40960,000000	126,435703
41984,000000	129,035703
43008,000000	131,810000
44032,000000	134,305859
45056,000000	136,761172
46080,000000	139,442812
47104,000000	141,721641
48128,000000	144,130781
49152,000000	146,592734
50176,000000	149,528125
51200,000000	151,742734
52224,000000	154,114141
53248,000000	156,169219
54272,000000	158,589844
55296,000000	160,726094
56320,000000	163,028906
57344,000000	165,285078
58368,000000	167,564297
59392,000000	169,548359
60416,000000	171,521016
61440,000000	173,715625
62464,000000	175,741094
63488,000000	177,959297
64512,000000	179,653594
65536,000000	182,136875
66560,000000	184,357344
67584,000000	186,245234
68608,000000	187,833281
69632,000000	189,446328
70656,000000	191,495938
71680,000000	193,371719
72704,000000	195,160469
73728,000000	196,482109
74752,000000	198,338594
75776,000000	200,052031
76800,000000	201,565234
77824,000000	203,272031
78848,000000	204,866875
79872,000000	206,653906
80896,000000	207,910781
81920,000000	209,419609
82944,000000	210,926328
83968,000000	212,421875
84992,000000	214,036563
86016,000000	215,468516
87040,000000	216,792109
88064,000000	218,190547
89088,000000	219,473672
90112,000000	220,692500
91136,000000	221,965781
92160,000000	223,193125
93184,000000	224,495391
94208,000000	225,731406
95232,000000	226,713750
96256,000000	228,032969
97280,000000	229,040469
98304,000000	230,375313
99328,000000	231,483672
100352,000000	232,455312
101376,000000	233,521250
102400,000000	234,588047
103424,000000	235,509219
104448,000000	236,392266
105472,000000	237,410234
106496,000000	238,351562
107520,000000	239,244531
108544,000000	240,292031
109568,000000	241,103281
110592,000000	242,035625
111616,000000	242,784219
112640,000000	243,791172
113664,000000	244,473203
114688,000000	245,106797
115712,000000	245,956953
116736,000000	246,661641
117760,000000	247,483750
118784,000000	248,226250
119808,000000	248,810391
120832,000000	249,589922
121856,000000	250,417656
122880,000000	250,785000
123904,000000	251,449375
124928,000000	252,040000
125952,000000	252,559766
126976,000000	252,975469
128000,000000	253,521328
129024,000000	254,203125
130048,000000	254,558906
131072,000000	255,109844
132096,000000	255,675938
133120,000000	256,116641
134144,000000	256,680625
135168,000000	257,164297
136192,000000	257,546563
137216,000000	258,022734
138240,000000	258,429922
139264,000000	258,832344
140288,000000	259,024531
141312,000000	259,507578
142336,000000	259,784375
143360,000000	260,382812
144384,000000	260,638203
145408,000000	261,025547
146432,000000	261,337891
147456,000000	261,716797
148480,000000	262,096562
149504,000000	262,278203
150528,000000	262,852266
151552,000000	263,130703
152576,000000	263,351016
153600,000000	263,638359
154624,000000	263,871641
155648,000000	264,301953
156672,000000	264,382734
157696,000000	264,663672
158720,000000	264,734141
159744,000000	265,041250
160768,000000	265,315938
161792,000000	265,563516
162816,000000	265,763125
163840,000000	266,117812
164864,000000	266,163750
165888,000000	266,515391
166912,000000	266,607188
167936,000000	266,858516
168960,000000	267,132578
169984,000000	267,215469
171008,000000	267,427891
172032,000000	267,557031
173056,000000	267,742734
174080,000000	268,000156
175104,000000	268,095625
176128,000000	268,306406
177152,000000	268,665937
178176,000000	268,657500
179200,000000	268,962812
180224,000000	269,132812
181248,000000	269,394844
182272,000000	269,403359
183296,000000	269,542734
184320,000000	269,833750
185344,000000	269,832344
186368,000000	269,926094
187392,000000	270,090625
188416,000000	270,291953
189440,000000	270,317109
190464,000000	270,349297
191488,000000	270,491250
192512,000000	270,567500
193536,000000	270,638516
194560,000000	270,760625
195584,000000	270,796953
196608,000000	270,933125
197632,000000	270,931484
198656,000000	271,056328
199680,000000	271,028516
200704,000000	271,193281
201728,000000	271,219531
202752,000000	271,233125
203776,000000	271,268203
204800,000000	271,376172
205824,000000	271,261250
206848,000000	271,415391
207872,000000	271,468359
208896,000000	271,458125
209920,000000	271,583281
210944,000000	271,539609
211968,000000	271,606250
212992,000000	271,738672
214016,000000	271,722813
215040,000000	271,785078
216064,000000	271,771797
217088,000000	271,774297
218112,000000	271,806328
219136,000000	271,778438
220160,000000	271,820078
221184,000000	271,898047
222208,000000	271,936484
223232,000000	272,108906
224256,000000	271,941094
225280,000000	272,056719
226304,000000	271,976875
227328,000000	272,010469
228352,000000	272,008203
229376,000000	272,078438
230400,000000	272,155156
231424,000000	271,925469
232448,000000	272,041719
233472,000000	272,128750
234496,000000	272,079766
235520,000000	272,123672
236544,000000	272,062500
237568,000000	272,111719
238592,000000	272,101016
239616,000000	272,118594
240640,000000	272,095000
241664,000000	272,102109
242688,000000	272,121641
243712,000000	272,119219
244736,000000	272,138750
245760,000000	272,107969
246784,000000	272,160391
247808,000000	272,155781
248832,000000	272,229688
249856,000000	272,274375
250880,000000	272,231406
251904,000000	272,184922
252928,000000	272,194922
253952,000000	272,279844
254976,000000	272,259297
256000,000000	272,315937
257024,000000	272,300078
258048,000000	272,334531
259072,000000	272,186563
260096,000000	272,309609
