1D 100 -5,000000 995,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	-3,713206
10,000000	1,964449
20,000000	-7,933162
30,000000	0,332582
40,000000	2,994883
50,000000	6,786737
60,000000	6,604411
70,000000	24,011786
80,000000	53,777188
90,000000	76,733735
100,000000	85,617992
110,000000	86,889150
120,000000	82,688723
130,000000	76,422815
140,000000	68,310302
150,000000	62,068240
160,000000	55,591150
170,000000	48,731821
180,000000	44,132160
190,000000	38,765581
200,000000	34,824596
210,000000	30,962700
220,000000	27,499678
230,000000	24,996087
240,000000	22,011992
250,000000	19,697513
260,000000	17,374904
270,000000	15,971198
280,000000	14,694464
290,000000	13,607014
300,000000	11,979779
310,000000	10,974753
320,000000	8,333521
330,000000	9,885131
340,000000	8,671662
350,000000	1,991835
360,000000	4,905123
370,000000	2,621468
380,000000	-1,689995
390,000000	0,371256
400,000000	-1,241476
410,000000	3,208816
420,000000	-1,377379
430,000000	5,600952
440,000000	1,725756
450,000000	5,071914
460,000000	5,130830
470,000000	2,477085
480,000000	2,931031
490,000000	6,515635
500,000000	-2,091411
510,000000	1,746506
520,000000	-3,001425
530,000000	-3,042247
540,000000	-4,777324
550,000000	3,822464
560,000000	5,478935
570,000000	7,088423
580,000000	-7,489953
590,000000	0,572923
600,000000	2,469571
610,000000	-2,312150
620,000000	5,991529
630,000000	3,485443
640,000000	-1,763817
650,000000	6,190739
660,000000	-1,221365
670,000000	3,842650
680,000000	-6,738179
690,000000	6,196551
700,000000	-0,720882
710,000000	5,677801
720,000000	-5,664418
730,000000	-6,851488
740,000000	-5,909365
750,000000	4,478598
760,000000	-1,554852
770,000000	5,007010
780,000000	-1,874136
790,000000	3,319194
800,000000	-1,708017
810,000000	4,540695
820,000000	10,055609
830,000000	4,787126
840,000000	-6,126706
850,000000	-2,338122
860,000000	-5,402041
870,000000	1,480146
880,000000	0,231598
890,000000	-1,568569
900,000000	7,418351
910,000000	-3,333307
920,000000	-2,534502
930,000000	4,236250
940,000000	-0,682049
950,000000	-7,745778
960,000000	-0,855788
970,000000	-1,688948
980,000000	-3,764558
990,000000	-0,718039
