1D 128 0,000000 128,000000	[nbin xmin xmax]
"X"	"Function_0"
0,500000	2,450211
1,500000	2,006591
2,500000	1,891240
3,500000	2,178923
4,500000	1,956201
5,500000	1,921725
6,500000	1,942396
7,500000	1,922702
8,500000	2,126700
9,500000	1,795498
10,500000	2,016629
11,500000	1,968689
12,500000	1,882365
13,500000	2,011378
14,500000	1,833961
15,500000	1,924155
16,500000	1,900679
17,500000	1,788779
18,500000	1,969909
19,500000	1,760372
20,500000	1,990608
21,500000	1,948709
22,500000	1,963360
23,500000	1,819291
24,500000	1,845367
25,500000	1,813269
26,500000	1,856728
27,500000	1,932834
28,500000	1,965242
29,500000	1,769845
30,500000	1,886164
31,500000	1,864152
32,500000	1,902825
33,500000	1,976812
34,500000	1,770903
35,500000	1,862963
36,500000	1,909093
37,500000	1,890016
38,500000	1,920097
39,500000	1,940323
40,500000	1,759963
41,500000	1,878915
42,500000	1,966800
43,500000	1,959816
44,500000	1,861890
45,500000	1,882464
46,500000	1,888669
47,500000	2,067910
48,500000	1,636780
49,500000	1,876360
50,500000	2,069866
51,500000	2,085430
52,500000	2,086303
53,500000	1,921180
54,500000	1,911229
55,500000	1,931538
56,500000	1,906218
57,500000	2,094532
58,500000	1,843726
59,500000	1,799351
60,500000	1,833277
61,500000	2,048899
62,500000	1,929662
63,500000	1,961053
64,500000	1,791089
65,500000	1,905869
66,500000	1,804107
67,500000	1,844856
68,500000	1,865026
69,500000	1,951127
70,500000	1,903687
71,500000	1,765240
72,500000	1,920706
73,500000	1,918494
74,500000	1,937044
75,500000	1,987071
76,500000	1,954999
77,500000	1,990830
78,500000	1,957824
79,500000	1,968620
80,500000	1,991613
81,500000	1,987379
82,500000	2,012104
83,500000	2,085538
84,500000	1,960631
85,500000	1,777859
86,500000	1,695906
87,500000	1,950796
88,500000	2,018296
89,500000	1,877288
90,500000	2,146692
91,500000	1,911453
92,500000	1,998333
93,500000	1,795495
94,500000	1,735065
95,500000	1,927208
96,500000	1,849894
97,500000	2,049605
98,500000	1,959615
99,500000	2,113499
100,500000	1,846304
101,500000	1,770463
102,500000	1,973931
103,500000	1,868011
104,500000	1,931214
105,500000	2,028591
106,500000	1,933327
107,500000	1,757932
108,500000	2,033696
109,500000	2,022842
110,500000	1,943437
111,500000	1,884422
112,500000	2,056918
113,500000	1,883722
114,500000	2,061665
115,500000	2,079298
116,500000	1,975011
117,500000	1,927420
118,500000	1,836001
119,500000	1,770454
120,500000	1,910653
121,500000	1,957549
122,500000	2,009041
123,500000	2,046130
124,500000	2,043881
125,500000	2,000624
126,500000	1,917934
127,500000	2,222541
