1D 128 0,000000 128,000000	[nbin xmin xmax]
"X"	"Function_0"
0,500000	516,884051
1,500000	513,263161
2,500000	512,836778
3,500000	517,906364
4,500000	511,220832
5,500000	512,484181
6,500000	513,634708
7,500000	514,004918
8,500000	513,718306
9,500000	512,056872
10,500000	511,891078
11,500000	514,315965
12,500000	513,698960
13,500000	513,860248
14,500000	513,918272
15,500000	513,283334
16,500000	512,874108
17,500000	512,906959
18,500000	512,824942
19,500000	513,077763
20,500000	515,516347
21,500000	512,119953
22,500000	513,570361
23,500000	512,011614
24,500000	513,101078
25,500000	512,859540
26,500000	510,738971
27,500000	510,893913
28,500000	511,472381
29,500000	511,669532
30,500000	511,103955
31,500000	510,560659
32,500000	512,251992
33,500000	511,468346
34,500000	512,340675
35,500000	510,967825
36,500000	512,000095
37,500000	513,426813
38,500000	512,472542
39,500000	510,614939
40,500000	513,085391
41,500000	514,842528
42,500000	511,478423
43,500000	510,275136
44,500000	508,865302
45,500000	510,170142
46,500000	510,576077
47,500000	511,389105
48,500000	509,799058
49,500000	511,842307
50,500000	516,008939
51,500000	510,831402
52,500000	511,527168
53,500000	512,547228
54,500000	511,291099
55,500000	509,446899
56,500000	510,836747
57,500000	510,459735
58,500000	510,927477
59,500000	513,131603
60,500000	509,692995
61,500000	510,755880
62,500000	510,762198
63,500000	510,332600
64,500000	508,019894
65,500000	507,848566
66,500000	508,321878
67,500000	508,188503
68,500000	511,194120
69,500000	508,707137
70,500000	509,575552
71,500000	508,422846
72,500000	508,331940
73,500000	508,866114
74,500000	507,763308
75,500000	509,075823
76,500000	509,497012
77,500000	511,345927
78,500000	508,811337
79,500000	508,698219
80,500000	508,503034
81,500000	507,885925
82,500000	507,439527
83,500000	508,626353
84,500000	508,251391
85,500000	509,966988
86,500000	509,058982
87,500000	509,923048
88,500000	512,273554
89,500000	508,571468
90,500000	507,096261
91,500000	509,461403
92,500000	511,910230
93,500000	511,079891
94,500000	509,987506
95,500000	507,821363
96,500000	509,015728
97,500000	510,100133
98,500000	511,842859
99,500000	510,735678
100,500000	509,666609
101,500000	511,819411
102,500000	510,972648
103,500000	513,135238
104,500000	509,454674
105,500000	509,703905
106,500000	513,506863
107,500000	509,730619
108,500000	511,152399
109,500000	511,040355
110,500000	511,233901
111,500000	511,659139
112,500000	512,467097
113,500000	512,571929
114,500000	511,649479
115,500000	514,133880
116,500000	513,250629
117,500000	514,496153
118,500000	512,374032
119,500000	512,752437
120,500000	513,994796
121,500000	513,350795
122,500000	513,782702
123,500000	512,468360
124,500000	513,133110
125,500000	512,382098
126,500000	511,554795
127,500000	511,817863
