1D 32 -4,000000 252,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	74,252656
8,000000	77,490547
16,000000	82,244453
24,000000	86,670234
32,000000	90,151562
40,000000	94,807031
48,000000	98,433984
56,000000	99,851875
64,000000	100,886953
72,000000	97,660156
80,000000	88,058203
88,000000	69,618047
96,000000	38,991719
104,000000	7,775391
112,000000	1,492692
120,000000	1,716105
128,000000	1,487840
136,000000	1,474424
144,000000	1,490708
152,000000	1,449973
160,000000	1,285308
168,000000	1,500430
176,000000	1,551357
184,000000	1,563280
192,000000	1,450549
200,000000	1,718782
208,000000	1,376187
216,000000	1,548021
224,000000	1,567786
232,000000	1,624804
240,000000	1,307583
248,000000	1,644490
