1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	4,430714
1024,000000	5,649604
2048,000000	7,718964
3072,000000	10,809599
4096,000000	13,288906
5120,000000	14,789375
6144,000000	18,225547
7168,000000	20,384297
8192,000000	23,070391
9216,000000	25,436875
10240,000000	27,963047
11264,000000	29,748281
12288,000000	31,594297
13312,000000	35,097578
14336,000000	36,823125
15360,000000	39,308828
16384,000000	41,912344
17408,000000	43,589375
18432,000000	46,498438
19456,000000	48,340625
20480,000000	50,566719
21504,000000	53,207109
22528,000000	55,488906
23552,000000	57,665078
24576,000000	59,732891
25600,000000	61,906250
26624,000000	64,447656
27648,000000	66,827422
28672,000000	69,042500
29696,000000	70,428828
30720,000000	72,709922
31744,000000	74,977344
32768,000000	77,167187
33792,000000	80,160391
34816,000000	81,606875
35840,000000	84,439297
36864,000000	85,813047
37888,000000	88,048516
38912,000000	90,518203
39936,000000	92,116797
40960,000000	94,153438
41984,000000	96,275000
43008,000000	98,545469
44032,000000	100,280937
45056,000000	102,623750
46080,000000	104,014922
47104,000000	106,013437
48128,000000	108,388906
49152,000000	109,125469
50176,000000	112,053203
51200,000000	113,365938
52224,000000	115,326641
53248,000000	116,506797
54272,000000	118,482500
55296,000000	120,483281
56320,000000	122,592422
57344,000000	124,836016
58368,000000	126,291484
59392,000000	127,793750
60416,000000	129,583594
61440,000000	131,408594
62464,000000	132,754531
63488,000000	134,495859
64512,000000	135,893984
65536,000000	138,201563
66560,000000	140,062813
67584,000000	141,397969
68608,000000	143,238437
69632,000000	144,782266
70656,000000	146,021172
71680,000000	147,488438
72704,000000	149,351719
73728,000000	150,822578
74752,000000	151,900313
75776,000000	153,762813
76800,000000	154,988203
77824,000000	156,145938
78848,000000	158,478281
79872,000000	158,893438
80896,000000	160,692812
81920,000000	162,142031
82944,000000	164,050703
83968,000000	164,812266
84992,000000	166,293984
86016,000000	167,629141
87040,000000	168,681719
88064,000000	169,974297
89088,000000	171,394766
90112,000000	172,561016
91136,000000	173,343594
92160,000000	175,275469
93184,000000	176,787969
94208,000000	177,088828
95232,000000	178,792344
96256,000000	179,736641
97280,000000	180,707188
98304,000000	182,372109
99328,000000	183,422734
100352,000000	184,061641
101376,000000	185,655859
102400,000000	186,781250
103424,000000	187,360547
104448,000000	188,543750
105472,000000	189,619766
106496,000000	191,155703
107520,000000	191,970078
108544,000000	192,897188
109568,000000	193,494063
110592,000000	194,724531
111616,000000	195,603438
112640,000000	196,557500
113664,000000	197,620000
114688,000000	198,340703
115712,000000	199,330078
116736,000000	200,402422
117760,000000	200,802031
118784,000000	202,323594
119808,000000	202,619922
120832,000000	204,234141
121856,000000	204,552656
122880,000000	205,157813
123904,000000	206,254453
124928,000000	206,754063
125952,000000	207,708359
126976,000000	208,155937
128000,000000	209,104609
129024,000000	209,966250
130048,000000	210,625469
131072,000000	211,597812
132096,000000	211,991641
133120,000000	212,100625
134144,000000	213,363828
135168,000000	214,033281
136192,000000	214,796250
137216,000000	215,208125
138240,000000	215,818672
139264,000000	216,351875
140288,000000	216,957891
141312,000000	217,780703
142336,000000	218,383047
143360,000000	219,406641
144384,000000	219,361641
145408,000000	220,477734
146432,000000	220,760312
147456,000000	221,390859
148480,000000	221,736797
149504,000000	222,542578
150528,000000	222,858359
151552,000000	223,819063
152576,000000	224,075000
153600,000000	224,435391
154624,000000	225,037734
155648,000000	225,663437
156672,000000	226,005547
157696,000000	226,511484
158720,000000	226,986250
159744,000000	227,472813
160768,000000	227,775625
161792,000000	228,127578
162816,000000	228,641953
163840,000000	228,935313
164864,000000	229,496875
165888,000000	229,793516
166912,000000	229,991484
167936,000000	230,684531
168960,000000	231,049688
169984,000000	231,326172
171008,000000	231,670781
172032,000000	231,849453
173056,000000	232,380703
174080,000000	232,510156
175104,000000	232,957188
176128,000000	233,117578
177152,000000	233,754609
178176,000000	233,871172
179200,000000	234,122344
180224,000000	234,538047
181248,000000	235,081875
182272,000000	235,333438
183296,000000	235,294844
184320,000000	235,836172
185344,000000	236,021172
186368,000000	236,220000
187392,000000	236,668359
188416,000000	236,818203
189440,000000	237,087734
190464,000000	237,412734
191488,000000	237,509375
192512,000000	237,843359
193536,000000	237,837500
194560,000000	238,345078
195584,000000	238,571016
196608,000000	238,680234
197632,000000	239,309922
198656,000000	239,151875
199680,000000	239,506719
200704,000000	239,794609
201728,000000	239,863438
202752,000000	240,175469
203776,000000	240,311797
204800,000000	240,532344
205824,000000	240,744453
206848,000000	240,740547
207872,000000	241,088437
208896,000000	241,250625
209920,000000	241,423906
210944,000000	241,489375
211968,000000	241,765078
212992,000000	241,790625
214016,000000	242,130078
215040,000000	242,192266
216064,000000	242,427578
217088,000000	242,692734
218112,000000	242,716016
219136,000000	243,145547
220160,000000	243,177109
221184,000000	243,398516
222208,000000	243,562891
223232,000000	243,539609
224256,000000	243,790312
225280,000000	243,948438
226304,000000	243,931016
227328,000000	244,399609
228352,000000	244,301484
229376,000000	244,429922
230400,000000	244,529297
231424,000000	244,672188
232448,000000	244,760625
233472,000000	245,044219
234496,000000	245,349453
235520,000000	245,338594
236544,000000	245,392969
237568,000000	245,477422
238592,000000	245,498359
239616,000000	245,686875
240640,000000	245,657344
241664,000000	245,877813
242688,000000	246,010781
243712,000000	246,213281
244736,000000	246,261328
245760,000000	246,439766
246784,000000	246,415312
247808,000000	246,590234
248832,000000	246,639688
249856,000000	246,713750
250880,000000	246,913906
251904,000000	247,202500
252928,000000	246,896562
253952,000000	247,160547
254976,000000	247,426641
256000,000000	247,436563
257024,000000	247,464063
258048,000000	247,673438
259072,000000	247,833438
260096,000000	247,749141
