1D 32 -512,000000 32256,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	3,946983
1024,000000	6,347096
2048,000000	8,822031
3072,000000	11,731250
4096,000000	13,884688
5120,000000	16,452422
6144,000000	19,569375
7168,000000	22,077813
8192,000000	24,634844
9216,000000	27,351875
10240,000000	29,976641
11264,000000	32,604453
12288,000000	35,441016
13312,000000	37,954141
14336,000000	40,616250
15360,000000	43,353594
16384,000000	45,652031
17408,000000	48,167266
18432,000000	50,831953
19456,000000	53,637969
20480,000000	55,576406
21504,000000	58,394766
22528,000000	60,575391
23552,000000	63,090313
24576,000000	65,754219
25600,000000	67,741250
26624,000000	70,456016
27648,000000	73,142578
28672,000000	75,347578
29696,000000	77,544766
30720,000000	79,569141
31744,000000	82,581250
