1D 100 -5,000000 995,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	7,471246
10,000000	7,304351
20,000000	7,215137
30,000000	2,198332
40,000000	2,261552
50,000000	4,163966
60,000000	4,334550
70,000000	23,264322
80,000000	52,438313
90,000000	73,685554
100,000000	80,184718
110,000000	81,259022
120,000000	78,045916
130,000000	72,146513
140,000000	67,022179
150,000000	61,690506
160,000000	56,177259
170,000000	51,490517
180,000000	46,439874
190,000000	41,680638
200,000000	36,738871
210,000000	35,438196
220,000000	31,264903
230,000000	28,812058
240,000000	26,187824
250,000000	23,590636
260,000000	19,105910
270,000000	19,945166
280,000000	16,210085
290,000000	15,173525
300,000000	16,443269
310,000000	13,681532
320,000000	10,460701
330,000000	13,632929
340,000000	9,815631
350,000000	8,594667
360,000000	10,849816
370,000000	3,872671
380,000000	7,697759
390,000000	8,386032
400,000000	8,106603
410,000000	6,236101
420,000000	5,888811
430,000000	1,776325
440,000000	7,089467
450,000000	4,810941
460,000000	3,018255
470,000000	5,881450
480,000000	4,122603
490,000000	4,110668
500,000000	3,732543
510,000000	4,280483
520,000000	6,894606
530,000000	1,278516
540,000000	8,046594
550,000000	3,553227
560,000000	8,562829
570,000000	4,296809
580,000000	2,193477
590,000000	2,782444
600,000000	7,472750
610,000000	4,071842
620,000000	7,481176
630,000000	1,278965
640,000000	7,243788
650,000000	5,061043
660,000000	4,090050
670,000000	6,322110
680,000000	3,999174
690,000000	3,956397
700,000000	0,463525
710,000000	6,701329
720,000000	8,239196
730,000000	6,753678
740,000000	6,058160
750,000000	4,088099
760,000000	0,715730
770,000000	6,511079
780,000000	6,287021
790,000000	7,430243
800,000000	1,657941
810,000000	7,329965
820,000000	5,991525
830,000000	5,962305
840,000000	3,934332
850,000000	6,265857
860,000000	4,016183
870,000000	7,098820
880,000000	5,180681
890,000000	0,376848
900,000000	2,786232
910,000000	8,787356
920,000000	7,003881
930,000000	8,061383
940,000000	1,418428
950,000000	6,404397
960,000000	7,517424
970,000000	6,175089
980,000000	7,011617
990,000000	7,753487
